longitude,latitude,Hazard_Index,zos_longterm_mean,zos_sampled_longitude,zos_sampled_latitude,zos_sample_distance_deg,zos_valid,zos_ge_threshold
-54.8,-35.0,0.561129950691904,0.13145143,-54.799988,-35.0,1.2207031247157829e-05,True,False
-54.6,-35.0,0.5624676631664323,0.124739826,-54.600006,-35.0,6.1035156235789145e-06,True,False
-54.4,-35.0,0.5551839480644952,0.11591469,-54.399994,-35.0,6.1035156235789145e-06,True,False
-54.2,-35.0,0.5438215201609815,0.10870332,-54.200012,-35.0,1.2207031247157829e-05,True,False
-54.0,-35.0,0.5300402145938814,0.10532941,-54.0,-35.0,0.0,True,False
-54.4,-34.8,0.5322631353807205,0.12998055,-54.399994,-34.8,6.15101451567705e-06,True,False
-54.2,-34.8,0.5521299132552255,0.12343823,-54.200012,-34.8,1.223084986719588e-05,True,False
-54.0,-34.8,0.5548641848619376,0.11655136,-54.0,-34.8,7.629394502828291e-07,True,False
-53.8,-34.8,0.5397543203732114,0.10452782,-53.799988,-34.8,1.223084986719588e-05,True,False
-53.6,-34.8,0.5283177792486402,0.09527006,-53.600006,-34.8,6.15101451567705e-06,True,False
-54.0,-34.6,0.5250888813255398,0.12608859,-54.0,-34.6,1.5258789076710855e-06,True,False
-53.8,-34.6,0.5408520671602607,0.11939556,-53.799988,-34.6,1.2302029032235419e-05,True,False
-53.6,-34.6,0.5516083340507113,0.10775198,-53.600006,-34.6,6.291359901336706e-06,True,False
-53.4,-34.6,0.5317681928479222,0.09832118,-53.399994,-34.6,6.291359901336706e-06,True,False
-53.8,-34.4,0.43630328422287246,0.12676418,-53.799988,-34.4,1.2302029032235419e-05,True,False
-53.6,-34.4,0.4959083048425008,0.12107103,-53.600006,-34.4,6.291359901336706e-06,True,False
-53.4,-34.4,0.5263185587676986,0.11373546,-53.399994,-34.4,6.291359901336706e-06,True,False
-53.6,-34.2,0.4045192585105257,0.12479369,-53.600006,-34.2,6.15101451567705e-06,True,False
-53.4,-34.2,0.5101885603772858,0.11981371,-53.399994,-34.2,6.15101451567705e-06,True,False
-53.2,-34.2,0.531086161180293,0.11407756,-53.200012,-34.2,1.223084986719588e-05,True,False
-53.4,-34.0,0.4503445090369671,0.12346684,-53.399994,-34.0,6.1035156235789145e-06,True,False
-53.2,-34.0,0.5099360843780922,0.120021895,-53.200012,-34.0,1.2207031247157829e-05,True,False
-53.0,-34.0,0.5473891223455353,0.11238835,-53.0,-34.0,0.0,True,False
-53.4,-33.8,0.375143944408243,0.124567986,-53.399994,-33.8,6.15101451567705e-06,True,False
-53.2,-33.8,0.47427562098802806,0.12210977,-53.200012,-33.8,1.223084986719588e-05,True,False
-53.0,-33.8,0.5363802046247029,0.11813037,-53.0,-33.8,7.629394502828291e-07,True,False
-52.8,-33.8,0.557563283474139,0.108563006,-52.799988,-33.8,1.223084986719588e-05,True,False
-53.0,-33.6,0.4313394406428162,0.12107534,-53.0,-33.6,1.5258789076710855e-06,True,False
-52.8,-33.6,0.510365133796218,0.114688426,-52.799988,-33.6,1.2302029032235419e-05,True,False
-52.6,-33.6,0.5545810343507179,0.1072047,-52.600006,-33.6,6.291359901336706e-06,True,False
-52.8,-33.4,0.4546535596485057,0.117572576,-52.799988,-33.4,1.2302029032235419e-05,True,False
-52.6,-33.4,0.5039497793611402,0.11225976,-52.600006,-33.4,6.291359901336706e-06,True,False
-52.4,-33.4,0.5315031274829117,0.106819436,-52.399994,-33.4,6.291359901336706e-06,True,False
-52.6,-33.2,0.41123724269172385,0.11464246,-52.600006,-33.2,6.15101451567705e-06,True,False
-52.4,-33.2,0.4758012769898022,0.111139335,-52.399994,-33.2,6.15101451567705e-06,True,False
-52.2,-33.2,0.5113515526434761,0.10700354,-52.200012,-33.2,1.223084986719588e-05,True,False
-52.4,-33.0,0.35122941405517333,0.11458124,-52.399994,-33.0,6.1035156235789145e-06,True,False
-52.2,-33.0,0.4524883453159209,0.1104314,-52.200012,-33.0,1.2207031247157829e-05,True,False
-52.4,-32.8,0.31090192331409994,0.11447001,-52.399994,-32.8,6.15101451567705e-06,True,False
-52.2,-32.8,0.38066314761890374,0.11283638,-52.200012,-32.8,1.223084986719588e-05,True,False
-52.0,-32.8,0.4562622756673563,0.10718182,-52.0,-32.8,7.629394502828291e-07,True,False
-52.2,-32.6,0.31761319245740244,0.11516651,-52.200012,-32.6,1.2302029032235419e-05,True,False
-52.0,-32.6,0.4282602103789295,0.1093489,-52.0,-32.6,1.5258789076710855e-06,True,False
-52.2,-32.4,0.29537873509255314,0.11744185,-52.200012,-32.4,1.2302029032235419e-05,True,False
-52.0,-32.4,0.385414343264695,0.11011387,-52.0,-32.4,1.5258789076710855e-06,True,False
-51.8,-32.4,0.4727225058478182,0.098789774,-51.799988,-32.4,1.2302029032235419e-05,True,False
-52.0,-32.2,0.38049240139948565,0.11442204,-52.0,-32.2,7.629394502828291e-07,True,False
-51.8,-32.2,0.4379247963644235,0.105251394,-51.799988,-32.2,1.223084986719588e-05,True,False
-51.6,-32.2,0.49440877926213256,0.09820614,-51.600006,-32.2,6.15101451567705e-06,True,False
-51.8,-32.0,0.34841026114648593,0.11158486,-51.799988,-32.0,1.2207031247157829e-05,True,False
-51.6,-32.0,0.41813845147835926,0.10278315,-51.600006,-32.0,6.1035156235789145e-06,True,False
-51.4,-32.0,0.49462879139009613,0.0933127,-51.399994,-32.0,6.1035156235789145e-06,True,False
-51.2,-32.0,0.5304387643311691,0.085130505,-51.200012,-32.0,1.2207031247157829e-05,True,False
-51.4,-31.8,0.421277969617,0.09802007,-51.399994,-31.8,6.151014516117709e-06,True,False
-51.2,-31.8,0.4971984297878899,0.08832275,-51.200012,-31.8,1.2230849867417494e-05,True,False
-51.0,-31.8,0.5245103086739644,0.082395844,-51.0,-31.8,7.629394538355427e-07,True,False
-51.2,-31.6,0.4118008209084419,0.09487656,-51.200012,-31.6,1.2212990257110953e-05,True,False
-51.0,-31.6,0.4881616686800759,0.086366795,-51.0,-31.6,3.8146972514141453e-07,True,False
-50.8,-31.6,0.5089218430475811,0.08949719,-50.799988,-31.6,1.2212990257110953e-05,True,False
-50.8,-31.4,0.4733006695464404,0.088923804,-50.799988,-31.4,1.2212990257110953e-05,True,False
-50.6,-31.4,0.49508734319115194,0.097127005,-50.600006,-31.4,6.11542493359794e-06,True,False
-50.8,-31.2,0.4321030926306944,0.0936507,-50.799988,-31.2,1.2230849867417494e-05,True,False
-50.6,-31.2,0.4825374572970072,0.09534233,-50.600006,-31.2,6.151014516117709e-06,True,False
-50.4,-31.2,0.4844394427521926,0.1048887,-50.399994,-31.2,6.151014516117709e-06,True,False
-50.6,-31.0,0.4025266755336485,0.097539224,-50.600006,-31.0,6.1035156235789145e-06,True,False
-50.4,-31.0,0.47592190138798857,0.1020531,-50.399994,-31.0,6.1035156235789145e-06,True,False
