grid_lat,grid_lon,compound_count_total,mean_overlap_duration,mean_compound_intensity_norm,compound_count_annual_mean,mean_compound_intensity_norm_abspeak,Hazard_Frequency,Hazard_Duration,Hazard_Intensity,Hazard_Index_raw,Hazard_Index,n_events,thr_hs_abs,thr_ssh_total_abs,intensity_abspeak,intensity_adopted,hs_term_abspeak,ssh_term_abspeak,hs_term_adopted,ssh_term_adopted,clipped_high_abspeak,clipped_high_adopted,hazard_adopted,hazard_abspeak_raw,hazard_abspeak,intensity_difference,hazard_difference,hs_term_difference,ssh_term_difference,hs_contribution,ssh_contribution
-35.000000,-54.800000,322,1.580000,0.484900,9.760000,0.334600,1.000000,0.256000,0.927460,0.727820,1.000000,322,2.140000,0.575292,0.334597,0.484898,0.562919,0.106275,0.435696,0.534101,0.027950,0.242236,1.000000,0.561133,0.790101,-0.150301,-0.209899,0.127223,-0.427826,0.063612,-0.213913
-35.000000,-54.600000,294,1.620000,0.504400,8.910000,0.380100,0.899642,0.288000,0.984728,0.724123,0.993637,294,2.340000,0.568502,0.380055,0.504358,0.659876,0.100234,0.483393,0.525323,0.071429,0.248299,0.993637,0.562450,0.792846,-0.124303,-0.200792,0.176483,-0.425089,0.088242,-0.212544
-35.000000,-54.400000,291,1.560000,0.484200,8.820000,0.403300,0.888889,0.240000,0.925404,0.684764,0.925892,291,2.498000,0.561985,0.403327,0.484207,0.721171,0.085484,0.498211,0.470203,0.130584,0.202749,0.925892,0.555205,0.777750,-0.080880,-0.148141,0.222960,-0.384719,0.111480,-0.192360
-35.000000,-54.200000,276,1.550000,0.476600,8.360000,0.420700,0.835125,0.232000,0.903084,0.656736,0.877650,276,2.600000,0.555906,0.420658,0.476556,0.766683,0.074634,0.525895,0.427217,0.199275,0.224638,0.877650,0.543807,0.754001,-0.055898,-0.123649,0.240787,-0.352583,0.120394,-0.176292
-35.000000,-54.000000,252,1.580000,0.476200,7.640000,0.433700,0.749104,0.256000,0.901909,0.635671,0.841392,252,2.670000,0.553987,0.433750,0.476210,0.798826,0.068675,0.551646,0.400774,0.265873,0.250000,0.841392,0.530075,0.725389,-0.042459,-0.116003,0.247180,-0.332099,0.123590,-0.166049
-34.800000,-54.400000,302,1.520000,0.493800,9.150000,0.355400,0.928315,0.208000,0.953598,0.696638,0.946329,302,2.190000,0.625770,0.355385,0.493800,0.578039,0.132730,0.427152,0.560448,0.046358,0.261589,0.946329,0.532260,0.729942,-0.138416,-0.216387,0.150887,-0.427718,0.075443,-0.213859
-34.800000,-54.200000,288,1.560000,0.504800,8.730000,0.404300,0.878136,0.240000,0.985903,0.701346,0.954433,288,2.430000,0.613323,0.404326,0.504798,0.688683,0.119969,0.477686,0.531909,0.104167,0.263889,0.954433,0.552150,0.771385,-0.100472,-0.183048,0.210997,-0.411941,0.105498,-0.205970
-34.800000,-54.000000,270,1.600000,0.501700,8.180000,0.429900,0.813620,0.272000,0.976799,0.687473,0.930554,270,2.580000,0.597247,0.429916,0.501729,0.757021,0.102811,0.518328,0.485131,0.166667,0.240741,0.930554,0.554880,0.777073,-0.071814,-0.153481,0.238693,-0.382320,0.119346,-0.191160
-34.800000,-53.800000,247,1.610000,0.497500,7.490000,0.448200,0.731183,0.280000,0.964464,0.658549,0.880770,247,2.700000,0.578266,0.448227,0.497520,0.811437,0.085017,0.559389,0.435651,0.246964,0.259109,0.880770,0.539777,0.745604,-0.049293,-0.135165,0.252048,-0.350633,0.126024,-0.175317
-34.800000,-53.600000,235,1.600000,0.470200,7.120000,0.458700,0.688172,0.272000,0.884288,0.614820,0.805503,235,2.850000,0.555919,0.458686,0.470249,0.852576,0.064797,0.564456,0.376043,0.340426,0.242553,0.805503,0.528319,0.721731,-0.011563,-0.083772,0.288120,-0.311246,0.144060,-0.155623
-34.600000,-54.000000,270,1.580000,0.497000,8.180000,0.383800,0.813620,0.256000,0.962996,0.677539,0.913455,270,2.300000,0.659708,0.383764,0.497006,0.623511,0.144017,0.442075,0.551937,0.055556,0.255556,0.913455,0.525076,0.714973,-0.113242,-0.198482,0.181436,-0.407921,0.090718,-0.203960
-34.600000,-53.800000,259,1.620000,0.509600,7.850000,0.418200,0.774194,0.288000,1.000000,0.687398,0.930425,259,2.470000,0.640632,0.418210,0.509622,0.706083,0.130338,0.487849,0.531394,0.092664,0.247104,0.930425,0.540865,0.747871,-0.091411,-0.182554,0.218234,-0.401056,0.109117,-0.200528
-34.600000,-53.600000,258,1.600000,0.498400,7.820000,0.450800,0.770609,0.272000,0.967107,0.669906,0.900317,258,2.690000,0.612657,0.450845,0.498388,0.796987,0.104703,0.534314,0.462461,0.220930,0.248062,0.900317,0.551640,0.770323,-0.047543,-0.129994,0.262674,-0.357759,0.131337,-0.178879
-34.600000,-53.400000,240,1.580000,0.478800,7.270000,0.464000,0.706093,0.256000,0.909545,0.623879,0.821096,240,2.850000,0.578163,0.463976,0.478831,0.849939,0.078013,0.558824,0.398838,0.316667,0.254167,0.821096,0.531764,0.728909,-0.014855,-0.092187,0.291115,-0.320825,0.145558,-0.160413
-34.400000,-53.800000,287,1.490000,0.418200,8.700000,0.223300,0.874552,0.184000,0.731571,0.596708,0.774328,287,1.590000,0.702734,0.223303,0.418153,0.288446,0.158161,0.300830,0.535477,0.000000,0.181185,0.774328,0.436305,0.530012,-0.194850,-0.244315,-0.012385,-0.377315,-0.006192,-0.188658
