grid_lat,grid_lon,compound_count_total,mean_integrated_severity,compound_count_annual_mean,mean_overlap_duration,mean_full_criterion_duration,mean_compound_intensity_norm,thr_hs_abs,thr_zos_abs,mhws_m,Hazard_Frequency,Hazard_Severity,Hazard_Index_raw,Hazard_Index
-35.0,-54.8,344,0.8789,10.43,1.56,1.56,0.5544,2.14,0.398495,0.099642,1.0,0.8378651685393258,0.918932584269663,0.9962108534544586
-35.0,-54.6,323,0.8944,9.79,1.59,1.59,0.5567,2.34,0.359741,0.11343,0.9373134328358209,0.8552808988764043,0.8962971658561126,0.9713896908733151
-35.0,-54.4,317,0.873,9.61,1.57,1.57,0.5493,2.498,0.321151,0.12276,0.9194029850746268,0.8312359550561796,0.8753194700654032,0.9483863256036337
-35.0,-54.2,307,0.8552,9.3,1.56,1.56,0.5441,2.6,0.293137,0.128753,0.8895522388059701,0.8112359550561796,0.8503940969310748,0.9210540833777744
-35.0,-54.0,295,0.865,8.94,1.63,1.63,0.5363,2.67,0.27192,0.132173,0.8537313432835821,0.8222471910112359,0.837989267147409,0.9074514058735909
-34.8,-54.4,325,0.8948,9.85,1.54,1.54,0.5741,2.19,0.401081,0.121316,0.9432835820895522,0.8557303370786516,0.8995069595841019,0.9749094319498335
-34.8,-54.2,315,0.9253,9.55,1.58,1.58,0.5813,2.43,0.36329,0.127185,0.9134328358208955,0.8899999999999999,0.9017164179104478,0.9773322422258592
-34.8,-54.0,298,0.9332,9.03,1.62,1.62,0.5776,2.58,0.324033,0.130959,0.8626865671641791,0.898876404494382,0.8807814858292806,0.9543757700582947
-34.8,-53.8,289,0.9142,8.76,1.63,1.63,0.5653,2.7,0.285091,0.132435,0.835820895522388,0.8775280898876403,0.8566744927050142,0.9279409330807847
-34.8,-53.6,284,0.8621,8.61,1.6,1.6,0.5437,2.85,0.25258,0.131122,0.8208955223880597,0.8189887640449437,0.8199421432165017,0.8876615973077843
-34.6,-54.0,291,0.9308,8.82,1.57,1.57,0.5926,2.3,0.386609,0.130876,0.8417910447761194,0.8961797752808988,0.868985410028509,0.9414406296548299
-34.6,-53.8,287,0.9643,8.7,1.62,1.62,0.5966,2.47,0.349696,0.131571,0.8298507462686567,0.9338202247191011,0.8818354854938789,0.9555315471045809
-34.6,-53.6,283,0.9812,8.58,1.68,1.68,0.592,2.69,0.30852,0.130563,0.817910447761194,0.9528089887640447,0.8853597182626194,0.959396090402545
