grid_lat,grid_lon,thr_hs_abs,thr_zos_abs,zos_mean,mhws_m,n_hs_episodes,n_zos_episodes,n_candidate_events,n_rejected_by_mhws,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-33.8,-53.4,1.7,0.41206,0.124568,0.133062,616,700,258,0,258,7.82,1.41,3.0,5,1.41,3.0,0.5681,0.8281,1.0,0.8055,1.7664,3.4827
-33.8,-53.2,2.12,0.383153,0.12211,0.129908,589,683,278,0,278,8.43,1.53,3.0,5,1.53,3.0,0.6065,0.9419,1.0,0.9355,2.0463,3.5891
-33.8,-53.0,2.49,0.350963,0.118129,0.125771,576,661,292,0,292,8.85,1.6,3.0,6,1.6,3.0,0.6145,0.9763,1.0,0.9872,2.2779,4.0368
-33.8,-52.8,2.74,0.317814,0.108563,0.120912,574,639,292,0,292,8.85,1.66,3.0,6,1.66,3.0,0.618,0.9719,1.0,1.0232,2.3067,3.9086
-33.6,-53.0,1.63,0.388721,0.121074,0.126795,606,687,298,0,298,9.03,1.53,3.0,7,1.53,3.0,0.5757,0.8494,1.0,0.8816,1.8911,4.0332
-33.6,-52.8,2.32,0.359737,0.114688,0.122539,580,665,289,0,289,8.76,1.6,3.0,7,1.6,3.0,0.6026,0.9465,1.0,0.969,2.1897,4.135
-33.6,-52.6,2.68,0.322467,0.107205,0.117234,583,646,289,0,289,8.76,1.66,3.0,6,1.66,3.0,0.6135,0.9621,1.0,1.0117,2.2934,3.9119
-33.4,-52.8,1.91,0.39731,0.117572,0.122588,609,689,294,0,294,8.91,1.53,3.0,7,1.53,3.0,0.5934,0.8993,1.0,0.9129,2.0523,4.2068
-33.4,-52.6,2.27,0.358655,0.11226,0.118178,591,669,292,0,292,8.85,1.59,3.0,7,1.59,3.0,0.5967,0.9498,1.0,0.9526,2.1487,4.1306
-33.4,-52.4,2.61,0.312581,0.106819,0.112311,586,631,283,0,283,8.58,1.64,3.0,7,1.64,3.0,0.5839,0.9311,1.0,0.9589,2.2278,3.9748
-33.2,-52.6,1.87,0.393234,0.114643,0.117468,601,687,268,0,268,8.12,1.48,3.0,7,1.48,3.0,0.5714,0.8528,1.0,0.855,1.7825,3.7965
-33.2,-52.4,2.3,0.347864,0.111139,0.112971,595,659,265,0,265,8.03,1.57,3.0,7,1.57,3.0,0.5801,0.9151,1.0,0.914,2.0307,3.7771
-33.2,-52.2,2.68,0.298496,0.107004,0.107193,598,610,271,0,271,8.21,1.59,3.0,7,1.59,3.0,0.552,0.903,1.0,0.8875,2.0966,3.6822
-33.0,-52.4,1.86,0.370603,0.11458,0.112674,600,675,227,0,227,6.88,1.46,3.0,6,1.46,3.0,0.5464,0.8093,1.0,0.8043,1.7403,3.3011
-33.0,-52.2,2.47,0.325951,0.110431,0.108007,584,636,246,0,246,7.46,1.54,3.0,7,1.54,3.0,0.5629,0.8941,1.0,0.8679,1.9478,3.4028
