hs_percentile,ssh_percentile,n_accepted_episodes,n_accepted_matched,n_accepted_unmatched,n_points_with_episodes,n_points,H,M,U,R_pos,B,F_soft,term_fsoft_raw,Score,degenerate,episodes_per_positive,min_thr_hs_abs,median_thr_hs_abs,median_thr_zos_abs
60,55,2876,53,2823,12,12,70,77,5907,0.47619,0.8243,4149.9631,28.23104149659864,-5.525357,False,19.5646,0.94,1.47,0.096
60,60,2902,53,2849,12,12,70,77,5969,0.47619,0.8329,4214.4824,28.669948299319728,-5.614849,False,19.7415,0.94,1.47,0.1141
60,65,2916,53,2863,12,12,70,77,5982,0.47619,0.8347,4246.9348,28.890712925170067,-5.65936,False,19.8367,0.94,1.47,0.1318
60,70,2937,53,2884,12,12,70,77,6004,0.47619,0.8377,4296.1023,29.22518571428571,-5.726862,False,19.9796,0.94,1.47,0.1509
60,75,2937,53,2884,12,12,69,78,5971,0.469388,0.833,4306.5931,29.296551700680272,-5.744279,False,19.9796,0.94,1.47,0.1729
60,80,2893,54,2839,12,12,69,78,5842,0.469388,0.8152,4253.4117,28.934773469387753,-5.668365,False,19.6803,0.94,1.47,0.1985
60,85,2791,56,2735,12,12,68,79,5557,0.462585,0.7758,4087.0612,27.80313741496599,-5.438231,False,18.9864,0.94,1.47,0.2312
60,90,2470,52,2418,12,12,63,84,4861,0.428571,0.6791,3622.2565,24.64120068027211,-4.806916,False,16.8027,0.94,1.47,0.2765
60,95,1738,50,1688,12,12,62,85,3301,0.421769,0.4638,2473.596,16.82718367346939,-3.205137,False,11.8231,0.94,1.47,0.3505
60,99,541,27,514,12,12,32,115,981,0.217687,0.1397,744.5614,5.065043537414966,-0.910338,False,3.6803,0.94,1.47,0.5023
65,50,2731,49,2682,12,12,66,81,5545,0.44898,0.7738,3892.1896,26.477480272108846,-5.180876,False,18.5782,0.98,1.535,0.0796
65,55,2746,48,2698,12,12,65,82,5570,0.442177,0.7771,3924.2532,26.695600000000002,-5.229244,False,18.6803,0.98,1.535,0.096
65,60,2768,48,2720,12,12,65,82,5617,0.442177,0.7836,3975.9877,27.04753537414966,-5.300927,False,18.8299,0.98,1.535,0.1141
65,65,2777,48,2729,12,12,65,82,5625,0.442177,0.7847,4002.8551,27.23030680272109,-5.337702,False,18.8912,0.98,1.535,0.1318
65,70,2794,48,2746,12,12,65,82,5642,0.442177,0.7871,4046.3647,27.52629047619048,-5.397368,False,19.0068,0.98,1.535,0.1509
65,75,2788,49,2739,12,12,65,82,5598,0.442177,0.781,4044.4031,27.5129462585034,-5.393485,False,18.966,0.98,1.535,0.1729
65,80,2748,50,2698,12,12,65,82,5481,0.442177,0.7649,3997.5935,27.194513605442175,-5.326572,False,18.6939,0.98,1.535,0.1985
