latitude_band,A_absolute_total_level_m,B_excess_over_local_datum_m,C_dimensionless_tidal_phase,D_surge_anomaly_only_m
RS,1.3273817805788966,0.9256657934322217,0.04621716799849903,0.38503392245279083
SC/PR,1.2350095716308227,0.7392765982260379,-0.011770884442398781,0.2667410460192469
SP/RJ,1.283178108805463,0.6406379168127276,-0.028155974320111736,0.2032466095773256
ES/BA-S,1.4884898714174086,0.32100252240914956,-0.007472605028413537,0.1491654754497879
BA-N,1.5244061154704223,0.3789202158386288,-0.0024231100886211304,0.09487926756760691
NE,1.516838372585258,0.26386289987351047,-0.02721788695906666,0.07957909855955968
N_equatorial,1.9205819448568509,0.0012081089852338386,-0.024678156980493315,0.09022262483789907
AP,2.2693521487058734,0.07633442301422268,0.015621687348605692,0.12124321972900494
