grid_lat,grid_lon,i_lat,i_lon,hs_q90,ssh_total_mean,ssh_total_q90,ssh_total_anomaly_q90,ssh_total_q90_minus_mean,threshold_translation_error,catalog_thr_ssh_total_abs,catalog_ssh_total_episode_count,ssh_total_exceedance_day_count,ssh_total_anomaly_exceedance_day_count,ssh_total_episode_count,ssh_total_anomaly_episode_count,ssh_total_mask_difference_day_count,compound_day_count_raw_ssh_total,compound_day_count_ssh_total_anomaly,compound_event_count_raw_ssh_total,compound_event_count_ssh_total_anomaly,delta_ssh_total_exceedance_day_count,delta_ssh_total_episode_count,delta_compound_day_count,delta_compound_event_count,delta_catalog_vs_recomputed_ssh_total_episode_count,ssh_total_episode_count_annual_mean,ssh_total_anomaly_episode_count_annual_mean,compound_event_count_raw_ssh_total_annual_mean,compound_event_count_ssh_total_anomaly_annual_mean
-35.0,-54.8,0,1,2.14,0.293926,0.575292,0.281366,0.281366,0.0,0.575292,656,1206,1206,656,656,0,510,510,322,322,0,0,0,0,0,19.87878787878788,19.87878787878788,9.757575757575758,9.757575757575758
-35.0,-54.6,0,2,2.34,0.315124,0.568502,0.253378,0.253378,0.0,0.568502,631,1206,1206,631,631,0,475,475,294,294,0,0,0,0,0,19.12121212121212,19.12121212121212,8.909090909090908,8.909090909090908
-35.0,-54.4,0,3,2.498,0.328593,0.561985,0.233392,0.233392,-0.0,0.561985,637,1206,1206,637,637,0,454,454,291,291,0,0,0,0,0,19.303030303030305,19.303030303030305,8.818181818181818,8.818181818181818
-35.0,-54.2,0,4,2.6,0.338284,0.555906,0.217622,0.217622,0.0,0.555906,624,1206,1206,624,624,0,429,429,276,276,0,0,0,0,0,18.90909090909091,18.90909090909091,8.363636363636363,8.363636363636363
-35.0,-54.0,0,5,2.67,0.347193,0.553987,0.206794,0.206794,0.0,0.553987,583,1206,1206,583,583,0,399,399,252,252,0,0,0,0,0,17.666666666666668,17.666666666666668,7.636363636363637,7.636363636363637
-34.8,-54.4,1,3,2.19,0.339181,0.62577,0.286589,0.286589,0.0,0.62577,644,1206,1206,644,644,0,459,459,302,302,0,0,0,0,0,19.515151515151516,19.515151515151516,9.151515151515152,9.151515151515152
-34.8,-54.2,1,4,2.43,0.350448,0.613323,0.262874,0.262874,0.0,0.613323,625,1206,1206,625,625,0,449,449,288,288,0,0,0,0,0,18.939393939393938,18.939393939393938,8.727272727272727,8.727272727272727
-34.8,-54.0,1,5,2.58,0.358933,0.597247,0.238314,0.238314,-0.0,0.597247,606,1206,1206,606,606,0,433,433,270,270,0,0,0,0,0,18.363636363636363,18.363636363636363,8.181818181818182,8.181818181818182
-34.8,-53.8,1,6,2.7,0.357671,0.578266,0.220595,0.220595,0.0,0.578266,573,1206,1206,573,573,0,397,397,247,247,0,0,0,0,0,17.363636363636363,17.363636363636363,7.484848484848484,7.484848484848484
-34.8,-53.6,1,7,2.85,0.352342,0.555919,0.203577,0.203577,-0.0,0.555919,544,1206,1206,544,544,0,376,376,235,235,0,0,0,0,0,16.484848484848484,16.484848484848484,7.121212121212121,7.121212121212121
-34.6,-54.0,2,5,2.3,0.372965,0.659708,0.286743,0.286743,-0.0,0.659708,622,1206,1206,622,622,0,426,426,270,270,0,0,0,0,0,18.848484848484848,18.848484848484848,8.181818181818182,8.181818181818182
-34.6,-53.8,2,6,2.47,0.377893,0.640632,0.262739,0.262739,0.0,0.640632,596,1206,1206,596,596,0,419,419,259,259,0,0,0,0,0,18.060606060606062,18.060606060606062,7.848484848484849,7.848484848484849
-34.6,-53.6,2,7,2.69,0.372685,0.612657,0.239971,0.239971,0.0,0.612657,572,1206,1206,572,572,0,414,414,258,258,0,0,0,0,0,17.333333333333332,17.333333333333332,7.818181818181818,7.818181818181818
-34.6,-53.4,2,8,2.85,0.362098,0.578163,0.216065,0.216065,0.0,0.578163,542,1206,1206,542,542,0,379,379,240,240,0,0,0,0,0,16.424242424242426,16.424242424242426,7.2727272727272725,7.2727272727272725
-34.4,-53.8,3,6,1.59,0.399115,0.702734,0.303619,0.303619,0.0,0.702734,637,1206,1206,637,637,0,428,428,287,287,0,0,0,0,0,19.303030303030305,19.303030303030305,8.696969696969697,8.696969696969697
-34.4,-53.6,3,7,2.25,0.403091,0.684484,0.281392,0.281392,0.0,0.684484,596,1206,1206,596,596,0,396,396,253,253,0,0,0,0,0,18.060606060606062,18.060606060606062,7.666666666666667,7.666666666666667
-34.4,-53.4,3,8,2.63,0.395054,0.647297,0.252243,0.252243,0.0,0.647297,568,1206,1206,568,568,0,388,388,249,249,0,0,0,0,0,17.21212121212121,17.21212121212121,7.545454545454546,7.545454545454546
-34.2,-53.6,4,7,1.95,0.42965,0.737133,0.307483,0.307483,0.0,0.737133,617,1206,1206,617,617,0,340,340,237,237,0,0,0,0,0,18.696969696969695,18.696969696969695,7.181818181818182,7.181818181818182
-34.2,-53.4,4,8,2.44,0.423826,0.704151,0.280325,0.280325,0.0,0.704151,583,1206,1206,583,583,0,390,390,251,251,0,0,0,0,0,17.666666666666668,17.666666666666668,7.606060606060606,7.606060606060606
-34.2,-53.2,4,9,2.69,0.406787,0.655482,0.248696,0.248696,0.0,0.655482,543,1206,1206,543,543,0,386,386,244,244,0,0,0,0,0,16.454545454545453,16.454545454545453,7.393939393939394,7.393939393939394
-34.0,-53.4,5,8,2.15,0.452041,0.760127,0.308086,0.308086,0.0,0.760127,602,1206,1206,602,602,0,355,355,238,238,0,0,0,0,0,18.242424242424242,18.242424242424242,7.212121212121212,7.212121212121212
-34.0,-53.2,5,9,2.45,0.437681,0.716269,0.278588,0.278588,0.0,0.716269,569,1206,1206,569,569,0,389,389,252,252,0,0,0,0,0,17.242424242424242,17.242424242424242,7.636363636363637,7.636363636363637
