grid_lat,grid_lon,thr_hs_pct,thr_zos_pct,thr_hs_abs,thr_zos_abs,zos_mean,hat_m,n_hs_episodes,n_zos_episodes,n_candidate_events,n_rejected_by_hat,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-31.6,-50.8,0.7,0.99,2.34,0.414176,0.089498,0.382144,1116,87,82,0,82,2.49,1.4,3.0,5.0,1.4,3.0,0.4291,0.7645,0.9095,0.6216,1.5281,2.3642
-31.4,-50.8,0.7,0.99,2.18,0.507877,0.088925,0.381983,1110,90,83,0,83,2.52,1.4,3.0,5.0,1.4,3.0,0.4843,0.832,0.9012,0.6851,1.6355,2.6188
-31.4,-50.6,0.7,0.99,2.36,0.387117,0.097127,0.38644,1113,85,81,4,77,2.33,1.45,3.0,5.0,1.44,3.0,0.4064,0.7397,0.853,0.5886,1.4448,2.1135
-31.2,-50.8,0.7,0.99,1.93,0.578968,0.093651,0.380958,1119,93,88,0,88,2.67,1.33,2.0,5.0,1.33,2.0,0.5036,0.8287,0.9124,0.6833,1.5768,2.7814
-31.2,-50.6,0.7,0.99,2.09,0.473308,0.095343,0.387122,1125,92,84,0,84,2.55,1.38,3.0,5.0,1.38,3.0,0.4266,0.7412,0.8694,0.6058,1.4278,2.3451
-31.2,-50.4,0.7,0.99,2.32,0.364967,0.104889,0.39104,1115,85,80,7,73,2.21,1.49,3.0,5.0,1.41,3.0,0.3606,0.6913,0.7622,0.5288,1.3125,2.2906
-31.0,-50.6,0.7,0.99,1.93,0.546302,0.09754,0.388655,1109,92,80,0,80,2.42,1.35,3.0,4.0,1.35,3.0,0.4454,0.7617,0.8266,0.6069,1.4074,2.1504
-31.0,-50.4,0.7,0.99,2.19,0.445466,0.102053,0.392952,1123,91,83,0,83,2.52,1.39,3.0,5.0,1.39,3.0,0.3956,0.703,0.824,0.5556,1.3359,2.0927
-31.0,-50.2,0.7,0.99,2.4,0.354679,0.107627,0.39588,1119,86,80,14,66,2.0,1.52,3.75,5.0,1.41,3.0,0.3679,0.6781,0.7471,0.5268,1.2875,2.1868
-30.8,-50.4,0.7,0.99,1.99,0.522757,0.102161,0.395301,1117,91,83,0,83,2.52,1.34,2.9,4.0,1.34,2.9,0.4225,0.7265,0.8151,0.5753,1.3903,2.1165
-30.8,-50.2,0.7,0.99,2.27,0.431327,0.103453,0.398879,1106,87,78,0,78,2.36,1.46,3.0,5.0,1.45,3.0,0.3972,0.7089,0.8006,0.5611,1.4264,2.0255
-30.6,-50.4,0.7,0.99,1.57,0.569709,0.104434,0.39741,1117,94,68,0,68,2.06,1.22,2.0,3.0,1.22,2.0,0.3934,0.6439,0.6819,0.4697,1.106,1.3314
-30.6,-50.2,0.7,0.99,2.03,0.501684,0.102945,0.404066,1113,89,80,0,80,2.42,1.4,3.0,4.0,1.4,3.0,0.4078,0.6976,0.7912,0.5596,1.3158,1.9802
-30.6,-50.0,0.7,0.99,2.3,0.413882,0.106092,0.406059,1113,90,82,1,81,2.45,1.41,3.0,4.0,1.41,3.0,0.385,0.6812,0.7921,0.5296,1.3712,1.9431
-30.4,-50.2,0.7,0.99,1.7,0.537201,0.1047,0.412557,1096,93,75,0,75,2.27,1.32,3.0,4.0,1.32,3.0,0.3751,0.6342,0.7234,0.4865,1.1241,1.7398
-30.4,-50.0,0.7,0.99,2.11,0.474951,0.106848,0.413877,1093,91,83,0,83,2.52,1.36,3.0,5.0,1.36,3.0,0.3942,0.6959,0.7955,0.528,1.3178,2.045
-30.4,-49.8,0.7,0.99,2.35,0.395837,0.104427,0.413275,1081,88,82,4,78,2.36,1.42,3.0,4.0,1.41,3.0,0.3898,0.6695,0.7904,0.5338,1.4743,1.8758
-30.2,-50.0,0.7,0.99,1.93,0.50421,0.105923,0.423298,1071,91,83,0,83,2.52,1.33,2.0,4.0,1.33,2.0,0.3754,0.6874,0.7564,0.4869,1.2184,1.8195
-30.2,-49.8,0.7,0.99,2.23,0.438044,0.103083,0.421627,1073,88,81,1,80,2.42,1.43,3.0,4.0,1.43,3.0,0.3996,0.7047,0.8193,0.546,1.4661,1.9266
-30.0,-50.0,0.7,0.99,1.69,0.527055,0.1054,0.431692,1066,92,71,0,71,2.15,1.32,2.0,4.0,1.32,2.0,0.3622,0.6157,0.7068,0.4684,1.1207,1.6539
-30.0,-49.8,0.7,0.99,2.11,0.471376,0.101242,0.430222,1056,86,80,1,79,2.39,1.39,3.0,4.0,1.39,3.0,0.4052,0.7401,0.8171,0.5518,1.3549,1.9447
-29.8,-49.8,0.7,0.99,1.94,0.502901,0.100544,0.438053,1032,90,82,0,82,2.49,1.37,2.95,5.0,1.37,2.95,0.399,0.7283,0.7747,0.5365,1.3482,2.0132
-29.8,-49.6,0.7,0.99,2.18,0.444113,0.096261,0.435056,1037,87,81,1,80,2.42,1.43,3.0,5.0,1.43,3.0,0.4183,0.7144,0.8359,0.5751,1.6733,2.0526
-29.6,-49.8,0.7,0.99,1.71,0.537439,0.100793,0.444409,1029,93,80,0,80,2.42,1.3,2.0,4.0,1.3,2.0,0.3832,0.6703,0.7209,0.4995,1.2216,1.8212
-29.6,-49.6,0.7,0.99,2.06,0.481749,0.09474,0.44245,1033,88,80,0,80,2.42,1.4,3.0,5.0,1.4,3.0,0.4251,0.7466,0.8023,0.5791,1.4209,2.1112
-29.6,-49.4,0.7,0.99,2.24,0.424741,0.093312,0.439253,1045,87,80,2,78,2.36,1.45,3.0,5.0,1.42,3.0,0.4168,0.6865,0.8417,0.586,1.7398,1.974
-29.4,-49.6,0.7,0.99,1.89,0.524958,0.096182,0.44899,1019,90,78,0,78,2.36,1.36,3.0,5.0,1.36,3.0,0.4072,0.6988,0.7583,0.5567,1.3862,2.0381
-29.4,-49.4,0.7,0.99,2.12,0.467442,0.090965,0.445521,1035,87,78,0,78,2.36,1.42,3.0,5.0,1.42,3.0,0.4206,0.7294,0.8164,0.5875,1.628,2.0892
-29.4,-49.2,0.7,0.99,2.27,0.409275,0.0926,0.441797,1033,87,82,2,80,2.42,1.45,3.0,5.0,1.4,3.0,0.4088,0.6626,0.8459,0.5577,1.6463,1.8978
-29.2,-49.4,0.7,0.99,1.99,0.513148,0.090743,0.449673,1020,88,80,0,80,2.42,1.38,3.0,5.0,1.38,3.0,0.4134,0.7021,0.7948,0.5708,1.4756,2.1418
-29.2,-49.2,0.7,0.99,2.16,0.452147,0.087951,0.446082,1016,87,81,1,80,2.42,1.43,3.0,5.0,1.43,3.0,0.4201,0.7156,0.8322,0.5887,1.5805,2.0727
