grid_lat,grid_lon,n_finite_days,hat_m,thr_hs_q50,thr_zos_q50,thr_hs_q55,thr_zos_q55,thr_hs_q60,thr_zos_q60,thr_hs_q65,thr_zos_q65,thr_hs_q70,thr_zos_q70,thr_hs_q75,thr_zos_q75,thr_hs_q80,thr_zos_q80,thr_hs_q85,thr_zos_q85,thr_hs_q90,thr_zos_q90,thr_hs_q95,thr_zos_q95,thr_hs_q99,thr_zos_q99
-33.8,-53.0,12053,0.642905,1.58,0.100223,1.65,0.119694,1.722,0.140324,1.8,0.161321,1.89,0.185675,2.0,0.213385,2.12,0.247237,2.28,0.29133,2.49,0.350963,2.82,0.455361,3.6548,0.668072
-33.8,-52.8,12053,0.607156,1.74,0.092825,1.82,0.11118,1.9,0.130096,1.98,0.149082,2.09,0.17031,2.2,0.195281,2.34,0.22595,2.51,0.266429,2.74,0.317814,3.13,0.410815,4.06,0.600591
-33.6,-53.0,12053,0.677149,1.06,0.100589,1.11,0.12266,1.15,0.147221,1.2,0.171819,1.26,0.199921,1.33,0.232612,1.4,0.269881,1.5,0.318577,1.63,0.388721,1.85,0.502152,2.4148,0.734285
-33.6,-52.8,12053,0.646935,1.51,0.09711,1.57,0.11786,1.64,0.139969,1.71,0.161481,1.79,0.187414,1.89,0.217388,1.996,0.251576,2.14,0.296319,2.32,0.359737,2.62,0.464744,3.3448,0.67697
-33.6,-52.6,12053,0.606629,1.72,0.09169,1.8,0.110563,1.87,0.130876,1.96,0.150274,2.06,0.172078,2.17,0.198579,2.3,0.22999,2.46,0.271411,2.68,0.322467,3.04,0.420552,3.94,0.608963
-33.4,-52.8,12053,0.680058,1.25,0.097171,1.3,0.121495,1.36,0.146373,1.42,0.171896,1.49,0.20159,1.56,0.23449,1.65,0.274562,1.76,0.324368,1.91,0.39731,2.17,0.510928,2.76,0.740723
-33.4,-52.6,12053,0.642206,1.49,0.094204,1.55,0.11665,1.61,0.138751,1.68,0.161013,1.76,0.186517,1.86,0.21706,1.96,0.253102,2.09,0.296968,2.27,0.358655,2.55,0.465467,3.2848,0.673067
-33.4,-52.4,12053,0.587714,1.69,0.091031,1.77,0.109446,1.84,0.128323,1.92,0.14717,2.01,0.168413,2.12,0.193365,2.24,0.22458,2.39,0.262123,2.61,0.312581,2.94,0.404028,3.77,0.586635
-33.2,-52.6,12053,0.663173,1.26,0.096011,1.31,0.120047,1.36,0.144909,1.42,0.17099,1.48,0.200236,1.55,0.234238,1.64,0.273613,1.73,0.321852,1.87,0.393234,2.11,0.502395,2.6548,0.723451
-33.2,-52.4,12053,0.613792,1.52,0.094009,1.58,0.114385,1.65,0.136576,1.72,0.158048,1.79,0.181821,1.89,0.21209,1.99,0.245465,2.12,0.288735,2.3,0.347864,2.6,0.447245,3.3148,0.649575
-33.2,-52.2,12053,0.559928,1.75,0.091615,1.82,0.107921,1.89,0.125584,1.98,0.142697,2.07,0.162112,2.18,0.18481,2.3,0.213309,2.46,0.246787,2.68,0.298496,3.03,0.382507,3.9096,0.563346
-33.0,-52.4,12053,0.633565,1.26,0.095583,1.31,0.118351,1.36,0.142107,1.41,0.165166,1.48,0.19196,1.55,0.224554,1.62,0.260566,1.72,0.307259,1.86,0.370603,2.09,0.47356,2.64,0.682233
-33.0,-52.2,12053,0.586189,1.63,0.093203,1.7,0.112016,1.77,0.131487,1.85,0.152275,1.93,0.17243,2.02,0.198861,2.14,0.230758,2.27,0.270385,2.47,0.325951,2.79,0.417484,3.55,0.612138
