percentile,n_points,thr_hs_min_m,thr_hs_p05_m,thr_hs_median_m,thr_hs_max_m,n_points_below_1m,n_points_below_1.5m,thr_zos_min_m,thr_zos_median_m
0.5,808,0.07,0.7605,1.465,2.04,83,436,-0.0095,0.1576
0.55,808,0.09,0.7935,1.51,2.12,78,384,-0.0012,0.1641
0.6,808,0.1,0.83,1.57,2.21,71,342,0.007,0.1704
0.65,808,0.12,0.85,1.63,2.29,65,291,0.0153,0.1781
0.7,808,0.14,0.8735,1.7,2.4,56,256,0.0244,0.1899
0.75,808,0.16,0.9035,1.76,2.51,50,218,0.0333,0.2015
0.8,808,0.17,0.94,1.84,2.64,47,192,0.0427,0.2146
0.85,808,0.19,0.98,1.93,2.82,44,160,0.0534,0.2311
0.9,808,0.2,1.03,2.065,3.08,35,129,0.0671,0.2513
0.95,808,0.23,1.1105,2.24,3.534,31,90,0.0906,0.2808
0.99,808,0.27,1.28,2.63,4.51,21,61,0.127,0.3357
