rank_published,rank_without_relative_term,municipality_name,state,pop_municipality,pop_eff,Exposure_absolute,Exposure_relative,Exposure_Index,Risk_Hazard,positions_gained
118,9,Itaboraí,RJ,223854,2991.6,0.368976,0.013364,0.070221,0.252394,109
159,72,Campos dos Goytacazes,RJ,483486,8825.1,0.48643,0.018253,0.094228,0.191218,87
67,11,Araruama,RJ,129723,10795.7,0.508313,0.083221,0.205675,0.32018,56
106,57,Araranguá,SC,71984,7641.9,0.4708,0.106161,0.223564,0.267738,49
100,51,Rio de Janeiro,RJ,6193495,1384424.0,1.0,0.223529,0.472788,0.274833,49
126,85,Rosário,MA,38345,2449.4,0.347265,0.063878,0.148938,0.239519,41
163,123,Tracuateua,PA,28849,773.0,0.222045,0.026795,0.077134,0.188675,40
53,13,Guapimirim,RJ,51557,5556.4,0.436198,0.107772,0.216818,0.337326,40
103,64,Paço do Lumiar,MA,145384,21676.1,0.583995,0.149095,0.295078,0.269005,39
156,122,Osório,RS,47228,2610.4,0.354177,0.055272,0.139915,0.197916,34
60,28,Itaguaí,RJ,116489,24218.9,0.596039,0.207907,0.352024,0.325045,32
131,99,Santa Vitória do Palmar,RS,30912,2410.3,0.345518,0.077973,0.164137,0.234787,32
183,153,Barreirinhas,MA,65690,1055.7,0.255885,0.016071,0.064127,0.141982,30
48,18,São Gonçalo,RJ,895560,255878.7,0.852009,0.285719,0.493392,0.347431,30
141,112,Augusto Corrêa,PA,44304,4604.8,0.415803,0.103936,0.207887,0.222441,29
135,106,Terra de Areia,RS,10368,372.5,0.142782,0.035928,0.071623,0.231011,29
93,65,Carapebus,RJ,13881,1329.9,0.280955,0.095807,0.164066,0.281632,28
102,74,Bequimão,MA,19566,1790.7,0.313256,0.091521,0.169321,0.269085,28
86,59,Paulo Lopes,SC,9090,966.2,0.246267,0.106293,0.161791,0.296219,27
177,151,Ceará-Mirim,RN,79575,3693.1,0.391848,0.04641,0.134855,0.16213,26
112,86,Quissamã,RJ,22189,2193.3,0.335275,0.098846,0.182046,0.258615,26
74,49,São José de Ribamar,MA,243840,76530.8,0.720959,0.313857,0.475687,0.310467,25
71,47,Nova Viçosa,BA,39480,8974.9,0.488257,0.227328,0.333158,0.315626,24
188,164,Linhares,ES,166694,3622.9,0.389764,0.021734,0.092038,0.129568,24
162,139,Bacabeira,MA,16990,591.9,0.193062,0.034838,0.082012,0.18871,23
130,107,Araquari,SC,45211,6006.9,0.444663,0.132864,0.243063,0.23612,23
181,159,São João Batista,MA,18979,222.9,0.087028,0.011745,0.03197,0.155519,22
25,3,Duque de Caxias,RJ,807233,154241.2,0.79705,0.191074,0.390251,0.385615,22
94,73,São Luís,MA,1038019,343827.2,0.884085,0.331234,0.541146,0.280474,21
142,121,Aracruz,ES,94786,15602.5,0.548299,0.164608,0.300423,0.221748,21
125,105,Caravelas,BA,21619,2609.2,0.354127,0.12069,0.206736,0.24388,20
64,44,Palhoça,SC,222130,77559.9,0.722409,0.349164,0.502235,0.321724,20
173,155,São Mateus,ES,123809,14554.9,0.540752,0.117559,0.252132,0.173327,18
175,157,Itajaí,SC,263998,36339.8,0.640096,0.137652,0.296834,0.170952,18
116,100,Bragança,PA,122951,27537.6,0.609982,0.223972,0.36962,0.254169,16
62,48,Curuçá,PA,41000,11662.0,0.516693,0.284439,0.383364,0.32354,14
134,120,Camamu,BA,30603,5330.1,0.431684,0.174169,0.274201,0.233191,14
51,37,Itanhaém,SP,112541,45350.7,0.664146,0.40297,0.517331,0.34147,14
155,142,Serrano do Maranhão,MA,10137,686.7,0.209192,0.067742,0.119042,0.199824,13
115,102,Presidente Kennedy,ES,13883,1728.3,0.309405,0.12449,0.19626,0.254609,13
95,84,Mucuri,BA,37290,8490.6,0.482235,0.227691,0.331362,0.280322,11
114,103,Porto Seguro,BA,167827,47241.9,0.668582,0.281492,0.43382,0.255039,11
24,14,São Francisco de Itabapoana,RJ,44839,13958.5,0.53621,0.311303,0.408563,0.386642,10
158,148,Extremoz,RN,61569,9307.2,0.492205,0.151167,0.272773,0.193027,10
111,101,Cururupu,MA,31127,6042.0,0.445295,0.194108,0.293999,0.258674,10
