band,median_ratio,n_above_0.99,n_at_ceiling,n_zero_population,share_at_ceiling
pop_1km,0.11387329771339916,0,0,14,0.0
pop_2km,0.3073429078877606,4,2,5,0.0070921985815602835
pop_5km,0.6714773315813367,36,18,2,0.06382978723404255
pop_10km,0.8991903480039245,92,59,0,0.20921985815602837
pop_eff,0.37348451215336864,0,0,0,0.0
