grid_lat,grid_lon,band,hat_m,zos_std_m,tide_daily_max_mean_m,phase_envelope_mean_m,phase_envelope_p95_m,phase_envelope_over_zos_std,median_abs_daily_zos_step_m,days_total,days_passing_gate_current,days_passing_gate_lower_bound,days_passing_gate_upper_bound,days_pass_now_fail_at_lower_bound,days_fail_now_pass_at_upper_bound,share_of_passing_days_at_risk,gate_passing_runs,gate_passing_runs_lost_at_lower_bound,share_of_runs_at_risk,spearman_current_vs_midpoint
-35.0,-54.79998779296875,RS,0.340699,0.21211405098438263,0.1624777615070343,0.15294288098812103,0.4113250732421875,0.7210407853126526,0.11981488764286041,12053,2189,1109,3287,1080,1098,0.49337597076290546,1099,519,0.47224749772520475,0.8808512383387448
-35.0,-54.600006103515625,RS,0.38758,0.18799808621406555,0.19038589298725128,0.1368601769208908,0.3695806860923767,0.7279870510101318,0.10742559283971786,12053,1770,840,2699,930,929,0.5254237288135594,946,491,0.5190274841437632,0.8853818245870505
-35.0,-54.399993896484375,RS,0.424577,0.16645608842372894,0.21268004179000854,0.12259294837713242,0.33047743439674376,0.7364882230758667,0.09558367729187012,12053,1383,618,2149,765,766,0.5531453362255966,778,421,0.5411311053984575,0.891925168762261
-35.0,-54.20001220703125,RS,0.457002,0.14991489052772522,0.22958171367645264,0.10953094810247421,0.29481091499328616,0.7306208610534668,0.08581848442554474,12053,1094,452,1743,642,649,0.5868372943327239,654,383,0.5856269113149847,0.9020624555675454
-35.0,-54.0,RS,0.481176,0.13651983439922333,0.2418641746044159,0.09649627655744553,0.2604449868202208,0.7068297266960144,0.07538072019815445,12053,879,378,1397,501,518,0.5699658703071673,524,293,0.5591603053435115,0.91557703369238
-34.79999923706055,-54.399993896484375,RS,0.414249,0.21392583847045898,0.2092006653547287,0.15206095576286316,0.4094710707664489,0.7108115553855896,0.1182706356048584,12053,1947,979,2928,968,981,0.4971751412429379,986,470,0.4766734279918864,0.8888905597462523
-34.79999923706055,-54.20001220703125,RS,0.45069,0.1920587569475174,0.22700975835323334,0.1370907872915268,0.3681794881820678,0.713796079158783,0.10677296668291092,12053,1567,744,2381,823,814,0.5252074026802808,824,429,0.5206310679611651,0.8947656576447651
-34.79999923706055,-54.0,RS,0.48048,0.16853827238082886,0.24238328635692596,0.12074784189462662,0.32525403499603267,0.7164416909217834,0.09411908686161041,12053,1208,554,1858,654,650,0.5413907284768212,663,350,0.5279034690799397,0.9026016983844412
-34.79999923706055,-53.79998779296875,RS,0.502553,0.1475476324558258,0.25314268469810486,0.1038103774189949,0.2794297039508819,0.7035719752311707,0.08037285506725311,12053,952,415,1483,537,531,0.5640756302521008,553,313,0.566003616636528,0.9147992448473016
-34.79999923706055,-53.600006103515625,RS,0.513066,0.1288825124502182,0.2570713758468628,0.08651166409254074,0.23377116918563823,0.6712443828582764,0.0671045333147049,12053,720,312,1142,408,422,0.5666666666666667,426,244,0.5727699530516432,0.9302928728126946
-34.599998474121094,-54.0,RS,0.487323,0.2063738852739334,0.24687838554382324,0.14627572894096375,0.39252942204475405,0.7087899446487427,0.11432239413261414,12053,1585,761,2418,824,833,0.5198738170347004,820,425,0.5182926829268293,0.8973190046716971
-34.599998474121094,-53.79998779296875,RS,0.511101,0.18456633388996124,0.2584976553916931,0.12914331257343292,0.34770767688751214,0.6997121572494507,0.10101549327373505,12053,1293,605,1961,688,668,0.5320959010054138,690,367,0.5318840579710145,0.9064866103520992
-34.599998474121094,-53.600006103515625,RS,0.526462,0.16183534264564514,0.2649329900741577,0.11073380708694458,0.2974740386009215,0.6842374801635742,0.08680751919746399,12053,1036,484,1580,552,544,0.5328185328185329,564,303,0.5372340425531915,0.91814851602251
-34.599998474121094,-53.399993896484375,RS,0.526763,0.13779990375041962,0.26377663016319275,0.09078725427389145,0.24615840315818785,0.658833920955658,0.07083287835121155,12053,790,357,1231,433,441,0.5481012658227848,450,249,0.5533333333333333,0.9316462301689115
-34.400001525878906,-53.79998779296875,RS,0.535219,0.2129969596862793,0.27235037088394165,0.1529780477285385,0.40741682052612305,0.7182170748710632,0.12073144316673279,12053,1523,712,2324,811,801,0.5325016414970453,808,426,0.5272277227722773,0.8982199407652643
-34.400001525878906,-53.600006103515625,RS,0.557542,0.19160890579223633,0.2820204794406891,0.1332901269197464,0.35739256143569936,0.6956363916397095,0.10408727824687958,12053,1248,585,1896,663,648,0.53125,672,367,0.5461309523809523,0.9108656462404229
-34.400001525878906,-53.399993896484375,RS,0.558083,0.16523486375808716,0.28131842613220215,0.11037924140691757,0.29778496026992785,0.6680142283439636,0.0857681930065155,12053,1017,478,1535,539,518,0.5299901671583087,544,291,0.5349264705882353,0.9247336341407028
-34.20000076293945,-53.600006103515625,RS,0.603595,0.20962148904800415,0.30485647916793823,0.1498790681362152,0.39927232265472407,0.7149986028671265,0.11791753768920898,12053,1276,572,1961,704,685,0.5517241379310345,704,396,0.5625,0.9054450658341192
-34.20000076293945,-53.399993896484375,RS,0.603226,0.1854068487882614,0.3040122985839844,0.1273224651813507,0.341974115371704,0.6867192983627319,0.09935550391674042,12053,1074,494,1644,580,570,0.5400372439478585,579,319,0.5509499136442142,0.9186892053436408
-34.20000076293945,-53.20001220703125,RS,0.581479,0.1595345437526703,0.2927089035511017,0.10474793612957001,0.2861547470092773,0.6565846800804138,0.08038631081581116,12053,904,434,1379,470,475,0.5199115044247787,486,249,0.5123456790123457,0.9312871088966652
-34.0,-53.399993896484375,RS,0.650568,0.20394761860370636,0.3285759389400482,0.1449059545993805,0.3854105412960052,0.7105057239532471,0.11361970007419586,12053,1119,498,1723,621,604,0.5549597855227882,618,347,0.5614886731391586,0.9119935358243778
-34.0,-53.20001220703125,RS,0.629783,0.18089361488819122,0.3176595866680145,0.12400899827480316,0.3339123606681822,0.6855354905128479,0.09637850522994995,12053,982,445,1509,537,527,0.5468431771894093,538,293,0.5446096654275093,0.922777281459733
-34.0,-53.0,RS,0.598559,0.15883880853652954,0.29936397075653076,0.1045350655913353,0.2835169553756714,0.6581204533576965,0.08087404817342758,12053,852,396,1315,456,463,0.5352112676056338,466,245,0.5257510729613734,0.9327115081063223
-33.79999923706055,-53.399993896484375,RS,0.689188,0.22025813162326813,0.35089540481567383,0.16050677001476288,0.42466783523559554,0.7287212014198303,0.12608975172042847,12053,1173,523,1813,650,640,0.5541346973572038,659,366,0.5553869499241275,0.90666849064462
-33.79999923706055,-53.20001220703125,RS,0.672814,0.2030680775642395,0.34065210819244385,0.14413976669311523,0.3849363923072813,0.7098100781440735,0.11302308738231659,12053,1063,487,1654,576,591,0.541862652869238,588,318,0.5408163265306123,0.914491589565042
-33.79999923706055,-53.0,RS,0.642905,0.18317122757434845,0.3230777382850647,0.12649859488010406,0.33932920694351193,0.6906029582023621,0.09866634011268616,12053,971,453,1485,518,514,0.533470648815654,532,284,0.5338345864661654,0.9221871014331097
-33.79999923706055,-52.79998779296875,RS,0.607156,0.1656801849603653,0.30268827080726624,0.11022119969129562,0.297674936056137,0.6652648448944092,0.08595145493745804,12053,880,416,1355,464,475,0.5272727272727272,478,251,0.5251046025104602,0.930367596364914
-33.599998474121094,-53.0,RS,0.677149,0.20710515975952148,0.34224528074264526,0.1480547934770584,0.39475100636482235,0.7148773670196533,0.1168554499745369,12053,1089,502,1683,587,594,0.5390266299357208,599,315,0.5258764607679466,0.9130081771544699
-33.599998474121094,-52.79998779296875,RS,0.646935,0.19085010886192322,0.32258903980255127,0.13263654708862305,0.3550054907798767,0.6949775815010071,0.10420212149620056,12053,1014,477,1559,537,545,0.5295857988165681,552,287,0.519927536231884,0.9198570971319701
-33.599998474121094,-52.600006103515625,RS,0.606629,0.17048241198062897,0.2975291907787323,0.11322222650051117,0.3051239490509033,0.6641284823417664,0.08849175274372101,12053,900,426,1384,474,484,0.5266666666666666,489,253,0.5173824130879345,0.9295151797407085
-33.400001525878906,-52.79998779296875,RS,0.680058,0.21446244418621063,0.3357003331184387,0.1546689122915268,0.40926026701927176,0.7211934328079224,0.12221921980381012,12053,1093,497,1689,596,596,0.5452881976212259,604,321,0.5314569536423841,0.9099126704580567
-33.400001525878906,-52.600006103515625,RS,0.642206,0.1917286217212677,0.31241005659103394,0.13254684209823608,0.3530132412910461,0.6913252472877502,0.10412344336509705,12053,978,455,1508,523,530,0.5347648261758691,534,279,0.5224719101123596,0.9205245594393513
-33.400001525878906,-52.399993896484375,RS,0.587714,0.16245245933532715,0.28201809525489807,0.10480310022830963,0.2835891366004944,0.6451308727264404,0.08111108094453812,12053,846,414,1293,432,447,0.5106382978723404,440,213,0.48409090909090907,0.9349234430825188
-33.20000076293945,-52.600006103515625,RS,0.663173,0.21270592510700226,0.31941476464271545,0.1534481644630432,0.4027172803878783,0.7214099168777466,0.12206904590129852,12053,1083,485,1682,598,599,0.5521698984302862,597,319,0.5343383584589615,0.9099815081480053
-33.20000076293945,-52.399993896484375,RS,0.613792,0.18378420174121857,0.292449027299881,0.12466569989919662,0.33272430300712585,0.6783265471458435,0.0975969135761261,12053,959,457,1485,502,526,0.5234619395203337,513,261,0.5087719298245614,0.9244691911627689
-33.20000076293945,-52.20001220703125,RS,0.559928,0.15000174939632416,0.26234856247901917,0.09328614920377731,0.2555588483810425,0.6219003796577454,0.07110268622636795,12053,784,383,1169,401,385,0.5114795918367347,405,198,0.4888888888888889,0.9416658766945856
-33.0,-52.399993896484375,RS,0.633565,0.19632454216480255,0.29779231548309326,0.1375490427017212,0.36260626316070554,0.700620710849762,0.10836992412805557,12053,999,456,1555,543,556,0.5435435435435435,549,290,0.5282331511839709,0.917928813836862
-33.0,-52.20001220703125,RS,0.586189,0.16745775938034058,0.2719358801841736,0.10915418714284897,0.2951411962509155,0.6518311500549316,0.08435362577438354,12053,851,413,1298,438,447,0.5146886016451234,444,219,0.49324324324324326,0.9328899159502321
-32.79999923706055,-52.399993896484375,RS,0.642113,0.21048623323440552,0.2982828915119171,0.1525057554244995,0.39741967916488635,0.7245402932167053,0.12215284258127213,12053,1080,479,1689,601,609,0.5564814814814815,613,328,0.5350734094616639,0.9095717270626434
-32.79999923706055,-52.20001220703125,RS,0.602867,0.18270161747932434,0.27776050567626953,0.12402775138616562,0.33073874711990353,0.6788541674613953,0.09711161255836487,12053,928,445,1429,483,501,0.5204741379310345,496,251,0.5060483870967742,0.9243262653540607
-32.79999923706055,-52.0,RS,0.555541,0.15756089985370636,0.2529464066028595,0.10031769424676895,0.2717611789703369,0.6366915702819824,0.07757805287837982,12053,817,408,1224,409,407,0.5006119951040392,418,200,0.4784688995215311,0.9365135803661849
-32.599998474121094,-52.20001220703125,RS,0.61308,0.19020287692546844,0.27884048223495483,0.1316521018743515,0.3493252992630005,0.6921667456626892,0.1038619726896286,12053,954,429,1470,525,516,0.550314465408805,526,281,0.5342205323193916,0.9196296189340105
-32.599998474121094,-52.0,RS,0.570541,0.16815704107284546,0.25665104389190674,0.11035102605819702,0.2977631092071533,0.6562379002571106,0.0861232653260231,12053,839,408,1280,431,441,0.5137067938021455,441,219,0.4965986394557823,0.9300105487500373
-32.400001525878906,-52.20001220703125,RS,0.612179,0.20396119356155396,0.27543267607688904,0.14482861757278442,0.3822248220443725,0.7100792527198792,0.11479343473911285,12053,1065,473,1645,592,580,0.5558685446009389,594,314,0.5286195286195287,0.9110888823990101
-32.400001525878906,-52.0,RS,0.572813,0.18321093916893005,0.25540077686309814,0.12478261440992355,0.3340432167053222,0.6810871362686157,0.09775073081254959,12053,949,439,1457,510,508,0.5374077976817703,514,265,0.5155642023346303,0.9197585764506991
-32.400001525878906,-51.79998779296875,RS,0.530149,0.16648200154304504,0.2342512160539627,0.10758602619171143,0.2890461981296539,0.6462321877479553,0.08388233184814453,12053,910,440,1366,470,456,0.5164835164835165,473,230,0.48625792811839325,0.9285330552659067
-32.20000076293945,-52.0,RS,0.562711,0.2054826021194458,0.2494361698627472,0.1447416990995407,0.3834345698356627,0.7043988108634949,0.11529892683029175,12053,1157,527,1778,630,621,0.5445116681071738,637,324,0.5086342229199372,0.9072959051124444
-32.20000076293945,-51.79998779296875,RS,0.522609,0.18663965165615082,0.2302015721797943,0.1259123980998993,0.334934115409851,0.6746283173561096,0.09909259527921677,12053,1094,512,1678,582,584,0.5319926873857403,592,297,0.5016891891891891,0.9157232582737941
-32.20000076293945,-51.600006103515625,RS,0.475387,0.1643531322479248,0.20877845585346222,0.1037505492568016,0.2790606796741485,0.6312660574913025,0.08058841526508331,12053,1031,509,1528,522,497,0.5063045586808923,527,249,0.47248576850094876,0.9277170027870156
-32.0,-51.79998779296875,RS,0.50218,0.2076088786125183,0.22195662558078766,0.1444920301437378,0.3816983461380004,0.6959819197654724,0.11548133939504623,12053,1375,642,2097,733,722,0.5330909090909091,737,375,0.508819538670285,0.9040374880495574
-32.0,-51.600006103515625,RS,0.460966,0.1872795969247818,0.20395398139953613,0.12427767366170883,0.3296625196933745,0.6635943055152893,0.09814810752868652,12053,1322,636,2001,686,679,0.518910741301059,696,350,0.5028735632183908,0.9137764026258562
-32.0,-51.399993896484375,RS,0.421791,0.16216298937797546,0.188431516289711,0.10046719759702682,0.2697205364704132,0.6195445656776428,0.07824888825416565,12053,1222,608,1823,614,601,0.502454991816694,624,305,0.48878205128205127,0.9275964069143041
-32.0,-51.20001220703125,RS,0.388714,0.13342630863189697,0.17771375179290771,0.07681244611740112,0.2094456672668457,0.5756918787956238,0.0591462105512619,12053,1074,570,1563,504,489,0.4692737430167598,516,243,0.47093023255813954,0.9423179304952258
-31.799999237060547,-51.399993896484375,RS,0.402355,0.19486738741397858,0.18185870349407196,0.12937836349010468,0.3407744884490966,0.6639302968978882,0.10384778678417206,12053,1725,873,2599,852,874,0.49391304347826087,867,398,0.4590542099192618,0.9095498091261693
-31.799999237060547,-51.20001220703125,RS,0.381555,0.16179780662059784,0.17353686690330505,0.09888383746147156,0.2664339959621429,0.6111568212509155,0.07781108468770981,12053,1455,743,2152,712,697,0.48934707903780067,709,328,0.46262341325811,0.9276629424630788
-31.799999237060547,-51.0,RS,0.383175,0.12506434321403503,0.17011459171772003,0.07171951234340668,0.1955872058868408,0.5734609365463257,0.05548272281885147,12053,926,480,1359,446,433,0.4816414686825054,459,214,0.4662309368191721,0.9433190664827222
-31.600000381469727,-51.20001220703125,RS,0.376494,0.19110338389873505,0.1686110496520996,0.12450461089611053,0.3270598173141479,0.6515039801597595,0.10026663541793823,12053,1781,934,2671,847,890,0.4755755193711398,876,383,0.4372146118721461,0.9117867417490384
-31.600000381469727,-51.0,RS,0.380624,0.15253514051437378,0.16753806173801422,0.0909213200211525,0.246626192331314,0.5960680246353149,0.0717184990644455,12053,1259,644,1849,615,590,0.48848292295472595,610,274,0.4491803278688525,0.9317040005793363
-31.600000381469727,-50.79998779296875,RS,0.382144,0.11011751741170883,0.16762126982212067,0.06520634144544601,0.1754494875669479,0.5921522974967957,0.051027871668338776,12053,712,354,1058,358,346,0.5028089887640449,372,182,0.489247311827957,0.9425194376712828
-31.39999961853028,-50.79998779296875,RS,0.381983,0.14292612671852112,0.16667324304580688,0.0849495679140091,0.2286930739879608,0.5943599939346313,0.06713957339525223,12053,1107,567,1629,540,522,0.4878048780487805,545,252,0.46238532110091746,0.9328162795476673
-31.39999961853028,-50.600006103515625,RS,0.38644,0.10129553079605103,0.1677672266960144,0.06215677037835121,0.1648776739835739,0.6136180758476257,0.049086667597293854,12053,559,262,849,297,290,0.5313059033989267,305,161,0.5278688524590164,0.9407837470713979
-31.200000762939453,-50.79998779296875,RS,0.380958,0.17199864983558655,0.16612745821475983,0.10622323304414749,0.28372464776039125,0.6175817847251892,0.08417490124702454,12053,1493,767,2211,726,718,0.48626925653047554,732,321,0.4385245901639344,0.9219784098504834
-31.200000762939453,-50.600006103515625,RS,0.387122,0.1297193467617035,0.16814614832401276,0.07731667906045914,0.20777701139450072,0.5960304141044617,0.06119019165635109,12053,908,442,1363,466,455,0.513215859030837,469,236,0.5031982942430704,0.9349025425968139
-31.200000762939453,-50.399993896484375,RS,0.39104,0.09235507994890213,0.1693369448184967,0.057778842747211456,0.15424382984638213,0.6256163120269775,0.04603978618979454,12053,427,195,665,232,238,0.5433255269320844,241,130,0.5394190871369294,0.9424370834974327
