band,n_points,median_tide_daily_max_m,median_zos_std_m,median_phase_envelope_m,median_phase_envelope_over_zos_std,median_spearman_current_vs_midpoint,total_days,total_days_passing_gate_current,total_days_pass_now_fail_at_lower_bound,total_days_fail_now_pass_at_upper_bound,total_runs,total_runs_lost,n_points_rho_below_0.99,share_of_runs_at_risk,share_of_passing_days_at_risk,gate_pass_rate
AP,88,1.0027506351470947,0.06170746311545372,0.010059123858809471,0.16570348292589188,0.9997409990579926,1060664,2811,386,330,1669,240,0.0,0.14379868184541642,0.13731768054073284,0.0026502266504755513
ES/BA-S,135,0.7181732058525085,0.054119616746902466,0.00958800408989191,0.1735840141773224,0.9996468817285723,1627155,5685,1093,1400,3079,595,1.0,0.1932445599220526,0.1922603342128408,0.0034938281847764962
N eq.,115,1.7648037672042847,0.06273699551820755,0.011156938038766384,0.1924331784248352,0.9997661717564202,1386095,2801,521,453,1850,328,0.0,0.1772972972972973,0.18600499821492325,0.0020207850111283857
NE,212,0.8808423578739166,0.04148257151246071,0.008503135293722153,0.19212153553962708,0.9997999585554211,2555236,1727,275,231,1250,179,0.0,0.1432,0.1592356687898089,0.0006758671214713632
RS,90,0.2197321578860283,0.1619991660118103,0.10477551817893982,0.6564112901687622,0.9276899726250472,1084770,92069,47812,47888,48661,24467,90.0,0.5028051211442428,0.5193061725445046,0.08487421296680402
SC/PR,54,0.30838827788829803,0.12684187293052673,0.07551401481032372,0.5930942296981812,0.9646444712889954,650862,32769,17086,17601,18353,8844,54.0,0.4818830708875933,0.5214074277518387,0.05034707818247186
SP/RJ,114,0.39735473692417145,0.10441489890217781,0.05228142440319061,0.49991603195667267,0.9800959090982035,1374042,45495,22749,23371,24769,10696,103.0,0.43183011021841816,0.5000329706561161,0.03311034160527844
