grid_lat,grid_lon,municipality,compound_count_total,production_mean_compound_intensity_norm,production_p95_compound_intensity_norm,production_max_compound_intensity_norm,global_mean_compound_intensity_norm,global_mean_compound_intensity_norm_recomputed,global_q90_compound_intensity_norm,global_q95_compound_intensity_norm,global_max_compound_intensity_norm,local_mean_compound_intensity_norm,local_q90_compound_intensity_norm,local_q95_compound_intensity_norm,local_p95_compound_intensity_norm,local_max_compound_intensity_norm,delta_mean_local_minus_global,delta_q90_local_minus_global,delta_q95_local_minus_global,delta_max_local_minus_global,delta_local_minus_global,local_hs_ref_low,local_hs_ref_high,local_ssh_ref_low,local_ssh_ref_high
-35.0,-54.8,,322,0.3346,0.5377,0.6195,0.3346,0.3346,0.4883,0.5377,0.6195,0.3982,0.7394,0.8513,0.8513,1.0,0.0636,0.2511,0.3136,0.3805,0.0636,2.1905,3.7375,0.587735,1.1520149999999998
-35.0,-54.6,,294,0.3801,0.5634,0.6167,0.3801,0.3801,0.5358,0.5634,0.6167,0.3999,0.7491,0.8476,0.8476,1.0,0.0198,0.2133,0.2842,0.3833,0.0198,2.43,4.098499999999996,0.58628,1.1131899999999997
-35.0,-54.4,,291,0.4033,0.5845,0.6286,0.4033,0.4033,0.5524,0.5845,0.6286,0.3962,0.7486,0.8603,0.8603,1.0,-0.0071,0.1962,0.2758,0.3714,-0.0071,2.57,4.359999999999999,0.5783,1.0526
-35.0,-54.2,,276,0.4207,0.5812,0.6162,0.4207,0.4207,0.5513,0.5812,0.6162,0.4031,0.7391,0.8631,0.8631,1.0,-0.0176,0.1878,0.2819,0.3838,-0.0176,2.6675,4.485,0.56885,1.0097749999999999
-35.0,-54.0,,252,0.4337,0.5734,0.6044,0.4337,0.4337,0.5523,0.5734,0.6044,0.3944,0.7293,0.8512,0.8512,1.0,-0.0393,0.177,0.2778,0.3956,-0.0393,2.74,4.679499999999999,0.57297,0.9875149999999999
-34.8,-54.4,,302,0.3554,0.5512,0.6368,0.3554,0.3554,0.5155,0.5512,0.6368,0.3824,0.7153,0.8065,0.8065,1.0,0.027,0.1998,0.2553,0.3632,0.027,2.25,3.9284999999999997,0.642885,1.2257399999999998
-34.8,-54.2,,288,0.4043,0.5836,0.6388,0.4043,0.4043,0.5601,0.5836,0.6388,0.3954,0.7247,0.8235,0.8235,1.0,-0.0089,0.1646,0.2399,0.3612,-0.0089,2.4735,4.33,0.6313300000000001,1.1668349999999998
-34.8,-54.0,,270,0.4299,0.5931,0.6331,0.4299,0.4299,0.5636,0.5931,0.6331,0.3985,0.7277,0.8351,0.8351,1.0,-0.0314,0.1641,0.242,0.3669,-0.0314,2.64,4.542999999999999,0.61887,1.09814
-34.8,-53.8,,247,0.4482,0.5854,0.6155,0.4482,0.4482,0.5605,0.5854,0.6155,0.3805,0.7107,0.8046,0.8046,1.0,-0.0677,0.1502,0.2192,0.3845,-0.0677,2.79,4.8149999999999995,0.60843,1.0488499999999998
-34.8,-53.6,,235,0.4587,0.5739,0.5997,0.4587,0.4587,0.5556,0.5739,0.5997,0.3763,0.6919,0.791,0.791,1.0,-0.0824,0.1363,0.2171,0.4003,-0.0824,2.927,5.018999999999999,0.57485,0.9804199999999998
-34.6,-54.0,,270,0.3838,0.5661,0.6438,0.3838,0.3838,0.5343,0.5661,0.6438,0.3912,0.713,0.8057,0.8057,1.0,0.0074,0.1787,0.2396,0.3562,0.0074,2.3645,3.9964999999999993,0.675405,1.24941
-34.6,-53.8,,259,0.4182,0.5834,0.6304,0.4182,0.4182,0.5603,0.5834,0.6304,0.3883,0.7125,0.7995,0.7995,1.0,-0.0299,0.1522,0.2161,0.3696,-0.0299,2.53,4.311999999999999,0.6794,1.1962899999999999
-34.6,-53.6,,258,0.4508,0.5933,0.6334,0.4508,0.4508,0.5661,0.5933,0.6334,0.3821,0.7158,0.7906,0.7906,1.0,-0.0687,0.1497,0.1973,0.3666,-0.0687,2.7569999999999997,4.7315000000000005,0.63983,1.120825
-34.6,-53.4,,240,0.464,0.586,0.6106,0.464,0.464,0.5616,0.586,0.6106,0.3883,0.7293,0.7827,0.7827,1.0,-0.0757,0.1677,0.1967,0.3894,-0.0757,2.9,4.951999999999999,0.594915,1.0237
-34.4,-53.8,,287,0.2233,0.3801,0.6066,0.2233,0.2233,0.3356,0.3801,0.6066,0.3815,0.7005,0.795,0.795,1.0,0.1582,0.3649,0.4149,0.3934,0.1582,1.62,2.72,0.7156399999999999,1.3036699999999999
-34.4,-53.6,,253,0.3721,0.5633,0.6258,0.3721,0.3721,0.5153,0.5633,0.6258,0.389,0.7071,0.8009,0.8009,0.9919,0.0169,0.1918,0.2376,0.3661,0.0169,2.3,3.8039999999999985,0.70848,1.2568999999999997
-34.4,-53.4,,249,0.4435,0.5911,0.6332,0.4435,0.4435,0.563,0.5911,0.6332,0.3954,0.7091,0.8062,0.8062,0.995,-0.0481,0.1461,0.2151,0.3618,-0.0481,2.694,4.478,0.6572,1.1700199999999998
-34.2,-53.6,,237,0.3062,0.4761,0.6336,0.3062,0.3062,0.4267,0.4761,0.6336,0.3869,0.6959,0.8015,0.8015,0.9989,0.0807,0.2692,0.3254,0.3653,0.0807,1.968,3.2,0.7543,1.3448999999999998
-34.2,-53.4,,251,0.4136,0.5901,0.6527,0.4136,0.4136,0.5556,0.5901,0.6527,0.389,0.6972,0.7961,0.7961,1.0,-0.0246,0.1416,0.206,0.3473,-0.0246,2.47,4.1,0.7250000000000001,1.2765
-34.2,-53.2,,244,0.4537,0.5991,0.6443,0.4537,0.4537,0.5728,0.5991,0.6443,0.384,0.7034,0.7996,0.7996,0.9912,-0.0697,0.1306,0.2005,0.3469,-0.0697,2.73,4.654,0.6823699999999999,1.1746349999999999
-34.0,-53.4,,238,0.3602,0.5445,0.6354,0.3602,0.3602,0.4909,0.5445,0.6354,0.3747,0.6909,0.7668,0.7668,0.9413,0.0145,0.2,0.2223,0.3059,0.0145,2.19,3.6514999999999995,0.78224,1.3609499999999999
-34.0,-53.2,,252,0.4159,0.5936,0.6596,0.4159,0.4159,0.559,0.5936,0.6596,0.3805,0.6768,0.8139,0.8139,1.0,-0.0354,0.1178,0.2203,0.3404,-0.0354,2.48,4.1735,0.74413,1.274495
-34.0,-53.0,,247,0.4626,0.6066,0.6415,0.4626,0.4626,0.5761,0.6066,0.6415,0.3802,0.69,0.7971,0.7971,0.9982,-0.0824,0.1139,0.1905,0.3567,-0.0824,2.7760000000000002,4.747,0.69684,1.17556
