Rank,Municipality,State,UF,Hazard index
1,São Sebastião,São Paulo,SP,1.000
2,Bertioga,São Paulo,SP,0.992
3,Ilhabela,São Paulo,SP,0.956
4,Praia Grande,São Paulo,SP,0.940
5,Santos,São Paulo,SP,0.940
6,São Vicente,São Paulo,SP,0.940
7,Laguna,Santa Catarina,SC,0.908
8,Guarujá,São Paulo,SP,0.892
9,Jaguaruna,Santa Catarina,SC,0.871
10,Santa Vitória do Palmar,Rio Grande do Sul,RS,0.863
