Rank,Municipality,State,UF,Risk index
1,Guaraqueçaba,Paraná,PR,0.332
2,Chaves,Pará,PA,0.305
3,São José do Norte,Rio Grande do Sul,RS,0.290
4,Magé,Rio de Janeiro,RJ,0.287
5,Itaboraí,Rio de Janeiro,RJ,0.283
6,São Sebastião,São Paulo,SP,0.273
7,Paulo Lopes,Santa Catarina,SC,0.255
8,Bertioga,São Paulo,SP,0.254
9,Paraty,Rio de Janeiro,RJ,0.252
10,Guapimirim,Rio de Janeiro,RJ,0.249
