grid_lat,grid_lon,thr_hs_pct,thr_zos_pct,thr_hs_abs,thr_zos_abs,zos_mean,hat_m,n_hs_episodes,n_zos_episodes,n_candidate_events,n_rejected_by_hat,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity,hs_max,hs_q70,hs_q90,hs_q99,hs_valid_days,zos_q99,zos_peak_month,zos_annual_range_m,zos_std_m,zos_seasonal_variance_fraction,zos_corr_with_offshore,zos_anomaly_corr_with_offshore,offshore_reference_offset_deg,seafloor_elevation_m,Hazard_Index_current,point_key,municipalities_served,n_municipalities_served
-35.0,-54.79998779296875,0.7,0.99,1.59,0.765303,0.131448,0.340699,1147,96,94,0,94,2.85,1.27,2.0,4.0,1.27,2.0,0.7297,0.9826,1.0,0.9483,1.8404,3.1838,5.24,1.590000033378601,2.140000104904175,3.2799999713897705,12053,0.7653032255172728,6.0,0.17637056,0.21211387,0.080267884,0.6067257575715145,0.6143579041489762,2.0,-25.5,1.0,-35.0|-54.8,,0
-35.0,-54.600006103515625,0.7,0.99,1.73,0.693086,0.124738,0.38758,1146,97,95,0,95,2.88,1.25,2.0,4.0,1.25,2.0,0.7041,0.9813,1.0,0.907,1.7835,2.6759,5.73,1.7300000190734863,2.3399999141693115,3.5847999191284137,12053,0.6930861806869495,6.0,0.16258153,0.18799788,0.08978683,0.5522105859601931,0.5385490182251637,2.0,-32.75,0.9829788612956518,-35.0|-54.6,,0
-35.0,-54.399993896484375,0.7,0.99,1.85,0.613392,0.115913,0.424577,1129,98,95,0,95,2.88,1.24,2.0,4.0,1.24,2.0,0.6476,0.9532,1.0,0.8269,1.6659,2.5603,6.04,1.850000023841858,2.4980000019073594,3.8399999141693115,12053,0.6133924221992487,5.0,0.15066344,0.16645592,0.09717599,0.4808571760602837,0.4635555975652575,2.0,-38.75,0.9398655269077999,-35.0|-54.4,,0
-35.0,-54.20001220703125,0.7,0.99,1.934,0.550924,0.108703,0.457002,1133,99,98,0,98,2.97,1.21,2.0,4.0,1.21,2.0,0.5834,0.9106,0.9757,0.731,1.5041,2.552,6.17,1.9339999914169275,2.5999999046325684,3.9800000190734863,12053,0.5509240841865539,5.0,0.14104033,0.14991474,0.105105326,0.3746346046977413,0.35302457290307737,2.0,-36.0,0.9038729392948784,-35.0|-54.2,,0
-35.0,-54.0,0.7,0.99,2.0,0.503555,0.105329,0.481176,1147,98,97,0,97,2.94,1.24,2.0,4.0,1.24,2.0,0.5319,0.8716,0.9306,0.6858,1.657,3.0563,6.24,2.0,2.6700000762939453,4.090000152587891,12053,0.503555417060852,5.0,0.13680315,0.1365195,0.11736161,0.3008980455800946,0.25235687575469085,2.0,-36.5,0.8743359828113466,-35.0|-54.0,,0
-34.79999923706055,-54.399993896484375,0.7,0.99,1.62,0.775673,0.12998,0.414249,1128,98,94,0,94,2.85,1.28,2.0,4.0,1.28,2.0,0.711,0.9861,1.0,0.9238,1.8032,3.0147,5.49,1.6200000047683716,2.190000057220459,3.3447999095916705,12053,0.7756728434562679,6.0,0.18419033,0.21392593,0.08339871,0.5214507107754297,0.5059893632477138,2.0,-28.0,0.9868130250623923,-34.8|-54.4,,0
-34.79999923706055,-54.20001220703125,0.7,0.99,1.8,0.698369,0.123438,0.45069,1120,97,95,0,95,2.88,1.27,2.0,4.0,1.27,2.0,0.6914,0.9706,1.0,0.9002,1.8473,3.2879,5.96,1.7999999523162842,2.430000066757202,3.7100000381469727,12053,0.6983694314956664,6.0,0.17163594,0.19205885,0.091079354,0.38124867788342354,0.3818372523964511,2.0,-33.75,0.979318802945622,-34.8|-54.2,,0
-34.79999923706055,-54.0,0.7,0.99,1.92,0.617392,0.11655,0.48048,1123,96,93,0,93,2.82,1.29,2.0,4.0,1.29,2.0,0.625,0.9394,1.0,0.8368,1.8296,3.3088,6.16,1.9199999570846558,2.5799999237060547,3.940000057220459,12053,0.617391879558562,5.0,0.15428035,0.16853835,0.09798987,0.26700601715873784,0.26251291717767267,2.0,-50.5,0.9347774746036768,-34.8|-54.0,,0
-34.79999923706055,-53.79998779296875,0.7,0.99,2.02,0.539174,0.104528,0.502553,1128,97,95,0,95,2.88,1.26,2.0,4.0,1.26,2.0,0.5585,0.8816,0.9428,0.7357,1.7017,3.195,6.43,2.0199999809265137,2.700000047683716,4.104800014495845,12053,0.5391737604141231,5.0,0.14187305,0.14754751,0.10655514,0.23797029747154302,0.21118633525863428,2.0,-53.5,0.8907776855073992,-34.8|-53.8,,0
-34.79999923706055,-53.600006103515625,0.7,0.99,2.13,0.467457,0.09527,0.513066,1120,94,91,0,91,2.76,1.32,2.0,4.0,1.32,2.0,0.5104,0.8301,0.8599,0.6836,1.6004,2.9559,6.54,2.130000114440918,2.8499999046325684,4.304800071716304,12053,0.46745725512504555,5.0,0.13184892,0.1288825,0.12304925,0.24370183520677502,0.19481893149079996,2.0,-51.5,0.841901846286337,-34.8|-53.6,,0
