grid_lat,grid_lon,surge_q90_anomaly_cm,surge_q99_anomaly_cm,springneap_swing_cm,surge_q99_over_swing,zos_seasonal_amplitude_cm,zos_synoptic_residual_std_cm,seasonal_over_synoptic,latitude_band,thr_hs_abs,thr_ssh_total_abs,compound_count_total,domain
-35.0,-54.8,26.70471222341516,63.385493587856025,30.098847299814224,2.10591099906498,18.509886778042866,20.035065505946744,0.9238745325064606,RS,2.14,0.575292,322,surge_competitive
-35.0,-54.6,23.50029709070272,56.83478870122962,33.54601636528969,1.6942336187505411,17.607706656943016,17.663669097383632,0.9968317771278388,RS,2.34,0.568502,294,surge_competitive
-35.0,-54.4,20.523804686948115,49.74792899934887,36.422547698020935,1.3658552776650488,16.48336301296088,15.574377400700378,1.0583641701285358,RS,2.498,0.561985,291,surge_competitive
-35.0,-54.2,18.443464564964717,44.22215073077433,38.768020272254944,1.14068632909849,15.533355899676096,13.964833821210904,1.112319423098526,RS,2.6,0.555906,276,surge_competitive
-35.0,-54.0,16.65911945235981,39.82267054450764,40.94554781913757,0.9725763279663556,14.881190713407866,12.631303928233867,1.178119915248416,RS,2.67,0.553987,252,surge_competitive
-34.8,-54.4,27.11002901893137,64.56925073962681,35.60515306890011,1.8134804985861963,18.965528404121933,20.17361342220085,0.9401155859986176,RS,2.19,0.62577,302,surge_competitive
-34.8,-54.2,23.98511675873885,57.49310223141798,38.50049898028374,1.4933079766280544,18.054147072907742,18.03341663866595,1.0011495566623434,RS,2.43,0.613323,288,surge_competitive
-34.8,-54.0,20.74834962338605,50.08420439213898,41.11306890845299,1.2182064176153362,16.672505606024014,15.763068093935594,1.0576941942183389,RS,2.58,0.597247,270,surge_competitive
-34.8,-53.8,18.056293876359103,43.46456626195628,42.78350919485092,1.015918681751971,15.299851315901403,13.734350035812138,1.113984373196201,RS,2.7,0.578266,247,surge_competitive
-34.8,-53.6,15.730945004930224,37.21870340298623,43.98342818021774,0.8461983283905538,14.340842365744711,11.888129537237552,1.2063161257474908,RS,2.85,0.555919,235,surge_competitive
-34.6,-54.0,26.052185495737238,61.65192254388621,41.61398559808731,1.481519293521356,18.854610053747813,19.41463738032971,0.9711543761744786,RS,2.3,0.659708,270,surge_competitive
-34.6,-53.8,23.03005860370071,55.123394232210174,43.61196309328079,1.2639512262795372,17.765519369468873,17.29364027769425,1.0272862788977553,RS,2.47,0.640632,259,surge_competitive
-34.6,-53.6,20.076775537176665,47.909833775206096,45.7632452249527,1.0469063882970204,16.359484904552435,15.09404741537004,1.0838368566335508,RS,2.69,0.612657,258,surge_competitive
-34.6,-53.4,17.025474668655278,40.34530460945114,45.68012356758118,0.8832135611402742,14.885345257529195,12.757979742251582,1.1667478361195585,RS,2.85,0.578163,240,surge_competitive
-34.4,-53.8,27.248446433144707,62.87072738845927,45.99733278155327,1.3668341963878587,18.962265731074734,20.08455201917921,0.9441219158369688,RS,1.59,0.702734,287,surge_competitive
-34.4,-53.6,24.200550706086503,56.384509951768166,48.15605282783508,1.1708706723400073,18.08499253542327,17.978078616060966,1.0059469046523577,RS,2.25,0.684484,253,surge_competitive
-34.4,-53.4,20.672948486438347,49.180752284160185,48.293936252594,1.0183628857032452,16.72696486205507,15.3936587967754,1.0866139806579944,RS,2.63,0.647297,249,surge_competitive
-34.2,-53.6,26.895816422117115,61.70737621845041,52.71440073847771,1.1705980785893386,18.667208256100988,19.766763566887214,0.9443735284703778,RS,1.95,0.737133,237,surge_competitive
-34.2,-53.4,23.57911822643933,55.37415704575235,52.668989449739456,1.0513616764679783,17.675124095889544,17.374609910836156,1.0172961687540372,RS,2.44,0.704151,251,surge_competitive
-34.2,-53.2,20.024556708308328,48.03085727688895,51.010166108608246,0.9415938221926996,16.384525444794075,14.835341480830294,1.1044252311930658,RS,2.69,0.655482,244,surge_competitive
