log10_lower,log10_upper,ratio_lower,ratio_upper,n_points
-1.5522460130884692,-1.4480412338672608,0.028038449050077793,0.035641729196241076,3
-1.4480412338672608,-1.3438364546460524,0.035641729196241076,0.04530681628749572,0
-1.3438364546460524,-1.2396316754248442,0.04530681628749572,0.057592817419346014,10
-1.2396316754248442,-1.1354268962036358,0.057592817419346014,0.07321045463116267,114
-1.1354268962036358,-1.0312221169824274,0.07321045463116267,0.09306317883835852,148
-1.0312221169824274,-0.9270173377612191,0.09306317883835852,0.11829943276726727,118
-0.9270173377612191,-0.8228125585400108,0.11829943276726727,0.1503790862051326,70
-0.8228125585400108,-0.7186077793188024,0.1503790862051326,0.1911578867193675,64
-0.7186077793188024,-0.614403000097594,0.1911578867193675,0.2429948111612301,10
-0.614403000097594,-0.5101982208763856,0.2429948111612301,0.3088885280363349,13
-0.5101982208763856,-0.40599344165517737,0.3088885280363349,0.3926508648332678,25
-0.40599344165517737,-0.30178866243396896,0.3926508648332678,0.49912731506874697,56
-0.30178866243396896,-0.19758388321276055,0.49912731506874697,0.6344773409668257,61
-0.19758388321276055,-0.09337910399155236,0.6344773409668257,0.8065306867545143,24
-0.09337910399155236,0.010825675229656051,0.8065306867545143,1.0252403146272808,55
0.010825675229656051,0.11503045445086446,1.0252403146272808,1.3032581648774597,27
0.11503045445086446,0.21923523367207287,1.3032581648774597,1.6566670468252467,7
0.21923523367207287,0.32344001289328117,1.6566670468252467,2.10591099906498,3
