indicator,pc1_loading,pc2_loading
pop_house,0.3500741698151032,-0.13053423055850025
pop_rent,-0.33836100599848973,-0.2579069781922179
pop_poverty,0.4181556748549924,-0.1027826839435981
pop_agevul,-0.13734087553309143,0.6128236090457014
pop_nonwhite,0.3469881100243363,-0.33530180838007184
pop_illiterate,0.37057986492664724,-0.12136730817219957
pop_nowater,0.2537138559957584,0.2516808212929026
pop_nosewage,0.3201175158416169,0.29319558296140075
pop_nogarbage,0.3485845286329063,0.036479449753324636
pop_nopaving,0.15217068600733522,0.5025264044852257
