indicator,meaning,sidra_source,encoding,expected_sign,expected_rationale,observed_min,observed_median,observed_max,argmin_municipality,argmax_municipality,value_at_Balneário Camboriú,value_at_Chaves,expected_high_at,reversal_test_rationale,reversal_test_passes,pc1_loading,implemented_sign,r_with_svi,rho_with_svi,r_with_poverty,verdict
pop_house,mean residents per occupied household (crowding),t/9605 v/93 (population) / t/9930 v/381 c63/95826 (households),"pop_total / dom_total, then Min-Max rescaled to 0-1 over the 282",1,crowding raises exposure per dwelling and lowers coping capacity,0.0,0.2346915,1.0,Balneário Camboriú,Fernando de Noronha,0.0,0.959343,high,crowding rises with deprivation and falls with income,True,0.3500741698151032,1,0.7866625379370419,0.821884796610428,0.6892094230865713,encoding confirmed; positive PC1 loading
pop_rent,proportion of households NOT owned by a resident,t/9930 v/381 c63/all,1 - (owned by a resident / total),1,tenure insecurity impedes recovery and rebuilding,0.036871,0.23077199999999998,0.502606,Icatu,Balneário Camboriú,0.502606,0.097494,low,"non-ownership is an urban-affluence trait in Brazil: rental and second-home stock concentrate in the wealthy resort towns, while self-built owner occupancy dominates the poor rural coast. A value near 0.9 at Chaves would instead mean 90 % of Amazon-estuary households do not own their home, which is not the case, and would be the signature of a reversed column",True,-0.33836100599848973,-1,-0.7603415433228473,-0.7504701570347239,-0.7005407016730814,"encoding confirmed; negative PC1 loading is empirical, not an encoding error"
pop_poverty,proportion of households up to 1/2 minimum wage per capita,t/10296 v/13604 c386/all,(up to 1/4 + 1/4 to 1/2 MW) / total,1,material deprivation is the canonical vulnerability axis,0.042194,0.43289,0.81488,Fernando de Noronha,Primeira Cruz,0.052811,0.730412,high,definitional,True,0.4181556748549924,1,0.9396505963498323,0.9408799434714593,0.9999999999999999,encoding confirmed; positive PC1 loading
pop_agevul,proportion in vulnerable age groups (0-9 and 60+),t/9514 v/93 c287 age-class list,sum(vulnerable classes) / total,1,children and the elderly evacuate less easily,0.193559,0.2835255,0.410462,Fernando de Noronha,Cidreira,0.281068,0.298935,neither,"the indicator sums two age tails that move in opposite directions with income: the 0-9 share falls with development while the 60+ share rises. Their sum is therefore nearly flat across the deprivation gradient, and no anchor ordering is predicted. The reversal test is the level instead: 0-9 plus 60+ is about 0.25-0.40 in Brazil, so a reversed column would sit near 0.60-0.75",True,-0.13734087553309143,-1,-0.30862293384180717,-0.2447802796488285,-0.2934974628621526,"encoding confirmed; negative PC1 loading is empirical, not an encoding error"
pop_nonwhite,proportion not self-declared white,"t/9605 v/93 c86/2776,95251",1 - (white / total),1,racial inequality proxies historical disadvantage in Brazil,0.127927,0.7208764999999999,0.972848,Terra de Areia,Serrano do Maranhão,0.211512,0.873778,high,racial inequality gradient,True,0.3469881100243363,1,0.7797277185096001,0.822583109235626,0.8440802229314563,encoding confirmed; positive PC1 loading
pop_illiterate,illiteracy rate (15+),"t/9543 v/2513 (literacy rate, %)",1 - literacy_rate/100,1,literacy conditions access to warnings and to aid,0.0119,0.10235,0.2779,Balneário Camboriú,Barroquinha,0.0119,0.1914,high,definitional,True,0.37057986492664724,1,0.8327415062915265,0.8543245623067982,0.8385505536066593,encoding confirmed; positive PC1 loading
pop_nowater,proportion of households without a general water network,t/6909 v/382 c301/all,1 - (general network / total),1,sanitation deficit compounds flood impact,0.004776,0.2417935,0.970677,Vitória,Cajueiro da Praia,0.03607,0.803178,high,service-coverage gradient,True,0.2537138559957584,1,0.5701282725369864,0.5862013425260885,0.4072571057620238,encoding confirmed; positive PC1 loading
pop_nosewage,proportion of households without adequate sewage,t/9397 v/382 c11558 sewage-type list,1 - (general network or septic-to-network / total),1,sanitation deficit compounds flood impact,0.003491,0.7602439999999999,0.999353,Vitória,Paulino Neves,0.023857,0.991741,high,service-coverage gradient,True,0.3201175158416169,1,0.7193460365063116,0.7409242423006074,0.6002872671848081,encoding confirmed; positive PC1 loading
pop_nogarbage,proportion of households without waste collection,t/9541 v/382 c67/all,1 - (collected / total),1,uncollected waste blocks drainage and worsens flooding,0.002036,0.1321525,0.984364,Imbé,Serrano do Maranhão,0.043284,0.876014,high,service-coverage gradient,True,0.3485845286329063,1,0.7833151034063144,0.8040256518855378,0.7013679577118836,encoding confirmed; positive PC1 loading
pop_nopaving,proportion of households on unpaved streets,"t/6591 v/allxp c14/200,72246,72247",(no paved street) / total,1,unpaved streets mark infrastructure deficit,0.002754,0.255257,0.81716,Vitória,Itapoá,0.011424,0.542067,high,service-coverage gradient,True,0.15217068600733522,1,0.3419474380344216,0.3624662582563428,0.20458636791917773,encoding confirmed; positive PC1 loading
