grid_lat,grid_lon,hs_prime_trend_mm_per_year,hs_prime_trend_low_mm_per_year,hs_prime_trend_high_mm_per_year,hs_star_trend_mm_per_year,hs_star_trend_low_mm_per_year,hs_star_trend_high_mm_per_year,zos_prime_trend_mm_per_year,zos_prime_trend_low_mm_per_year,zos_prime_trend_high_mm_per_year,zos_star_trend_mm_per_year,zos_star_trend_low_mm_per_year,zos_star_trend_high_mm_per_year
-24.200001,-46.600006,1.995156,0.712090,3.586301,1.997385,0.712089,3.592050,3.791943,2.853954,4.793180,3.791942,2.857218,4.793180
-24.200001,-46.399994,2.223047,0.561222,3.740507,2.189529,0.626714,3.700002,3.610149,2.726577,4.493037,3.612872,2.726580,4.493045
-24.200001,-46.200012,2.241201,0.605953,3.875059,2.241202,0.582196,3.879874,3.481084,2.573742,4.195259,3.482664,2.577779,4.195259
-24.200001,-46.000000,2.221226,0.651802,3.911720,2.192308,0.632041,3.872604,3.307255,2.412525,3.970428,3.308192,2.412525,3.970427
-24.200001,-45.799988,2.289168,0.626106,4.007610,2.289168,0.631962,4.007608,3.185618,2.373260,3.910169,3.182943,2.373258,3.910170
-24.200001,-45.600006,2.438460,0.666666,4.050030,2.391128,0.666667,4.131125,3.134552,2.310296,3.791040,3.136982,2.310320,3.791042
-24.200001,-45.399994,2.534935,0.679061,4.436074,2.534245,0.712516,4.436074,3.078949,2.364301,3.773899,3.074044,2.365322,3.773896
-24.200001,-45.200012,2.437630,0.616444,4.413697,2.437631,0.616438,4.372603,3.039057,2.339833,3.748120,3.040240,2.339835,3.745754
-24.200001,-45.000000,2.530463,0.785804,4.354726,2.578799,0.780827,4.382947,3.047819,2.396319,3.651101,3.047818,2.398459,3.648062
-24.000000,-46.399994,2.021548,0.727739,3.246575,2.022122,0.727740,3.246574,3.885643,3.012853,5.006698,3.882665,3.012854,5.011084
-24.000000,-46.200012,1.669575,0.370813,2.991800,1.671999,0.367504,2.991803,3.842810,2.922169,4.920226,3.842810,2.930871,4.924504
-24.000000,-46.000000,2.311640,0.754337,3.812784,2.311644,0.763836,3.812785,3.690065,2.785049,4.683482,3.690065,2.790309,4.690656
-24.000000,-45.799988,2.187953,0.477492,3.755916,2.162635,0.477493,3.755916,3.564244,2.693818,4.413551,3.564243,2.693819,4.413547
-24.000000,-45.600006,2.483275,0.790633,4.158293,2.497118,0.825835,4.158297,3.453262,2.623694,4.240758,3.453263,2.623827,4.240758
-24.000000,-45.399994,2.648018,1.019178,4.229451,2.646767,1.033280,4.229452,3.439663,2.640123,4.273486,3.433506,2.640124,4.273484
-24.000000,-45.200012,2.545397,1.036569,4.231895,2.510654,1.075910,4.255704,3.322456,2.541766,4.127564,3.322614,2.541766,4.124999
-24.000000,-45.000000,2.466589,1.041101,4.256538,2.463188,1.041081,4.256539,3.095391,2.352574,3.799069,3.095394,2.358235,3.801578
-24.000000,-44.799988,2.561301,0.913567,4.361305,2.535960,0.875487,4.361304,3.005667,2.397970,3.622571,3.006818,2.396219,3.619759
-23.799999,-45.799988,2.590502,0.931488,4.049633,2.573450,0.916842,4.045877,3.860354,2.978225,4.924389,3.860353,2.980444,4.920356
-23.799999,-45.600006,2.259106,0.847944,3.754026,2.272715,0.840181,3.778910,3.830742,2.874900,4.902131,3.830742,2.874913,4.902130
-23.799999,-45.399994,1.768840,0.670090,2.782342,1.766455,0.670091,2.764841,3.667719,2.750930,4.627896,3.667721,2.750930,4.619851
-23.799999,-45.200012,1.743104,0.460701,3.007379,1.743105,0.541975,3.007377,3.458248,2.654679,4.304585,3.458247,2.650904,4.301652
-23.799999,-45.000000,2.412099,1.061973,4.068494,2.418093,1.028005,4.068490,3.265223,2.429121,3.952364,3.265224,2.426036,3.952294
-23.799999,-44.799988,2.488328,1.000281,4.082193,2.473121,0.969700,4.127442,3.084791,2.324924,3.798903,3.085536,2.324925,3.798904
-23.799999,-44.600006,2.526704,1.054797,4.203527,2.485056,1.051370,4.176129,3.009313,2.316773,3.629613,3.008846,2.319756,3.627734
