grid_lat,grid_lon,hs_prime_trend_mm_per_year,hs_prime_trend_low_mm_per_year,hs_prime_trend_high_mm_per_year,hs_star_trend_mm_per_year,hs_star_trend_low_mm_per_year,hs_star_trend_high_mm_per_year,zos_prime_trend_mm_per_year,zos_prime_trend_low_mm_per_year,zos_prime_trend_high_mm_per_year,zos_star_trend_mm_per_year,zos_star_trend_low_mm_per_year,zos_star_trend_high_mm_per_year
-35.000000,-54.799988,0.769603,-0.843578,2.466456,0.769602,-0.843579,2.491589,3.137166,2.191403,4.075639,3.135031,2.191405,4.075637
-35.000000,-54.600006,1.121960,-0.700712,3.189974,1.129838,-0.707014,3.202053,3.279036,2.334046,4.149217,3.279037,2.334045,4.149219
-35.000000,-54.399994,1.052904,-1.000001,3.122096,1.052905,-1.000001,3.127398,3.268000,2.454679,4.153204,3.268001,2.454166,4.154231
-35.000000,-54.200012,1.028933,-1.121291,3.051059,1.040857,-1.113711,3.051059,3.220763,2.472597,4.158157,3.220762,2.472013,4.158154
-35.000000,-54.000000,1.059378,-1.036474,3.215953,1.047996,-1.026577,3.226791,3.302187,2.538750,4.203541,3.302187,2.538749,4.203542
-34.799999,-54.399994,1.104585,-0.545660,3.010275,1.113446,-0.545663,3.010274,3.156577,2.260211,4.066186,3.156576,2.260212,4.066187
-34.799999,-54.200012,1.101441,-0.844748,3.168925,1.101440,-0.844749,3.152815,3.265197,2.339606,4.045528,3.265199,2.339607,4.045527
-34.799999,-54.000000,1.071190,-0.816441,3.283239,1.067372,-0.816433,3.283245,3.304963,2.385751,4.172829,3.304963,2.385751,4.172830
-34.799999,-53.799988,1.413247,-0.617351,3.563411,1.413245,-0.617352,3.565297,3.296099,2.517385,4.172820,3.295939,2.517384,4.172027
-34.799999,-53.600006,1.614148,-0.385591,3.739709,1.623767,-0.385591,3.739736,3.307953,2.589285,4.197489,3.307268,2.592875,4.197490
-34.599998,-54.000000,0.773922,-0.970319,2.832012,0.773918,-0.970319,2.832009,3.134007,2.342888,4.092703,3.132699,2.342890,4.094489
-34.599998,-53.799988,1.145969,-0.691780,3.107878,1.145966,-0.691780,3.107877,3.241837,2.353747,4.113478,3.243540,2.353748,4.113476
-34.599998,-53.600006,1.572683,-0.495108,3.476757,1.567985,-0.495107,3.440524,3.343040,2.404255,4.208202,3.341322,2.404256,4.208201
-34.599998,-53.399994,1.733385,-0.439371,3.532533,1.729300,-0.460509,3.532536,3.338090,2.545493,4.261197,3.338090,2.545490,4.261176
-34.400002,-53.799988,0.109249,-1.150685,1.418787,0.109250,-1.150685,1.418787,3.190741,2.302978,4.122167,3.192516,2.302977,4.124267
-34.400002,-53.600006,1.257249,-0.479848,2.921764,1.257247,-0.471831,2.907579,3.204610,2.330032,4.089908,3.204618,2.330032,4.089907
-34.400002,-53.399994,1.897175,-0.158945,3.864217,1.901724,-0.147873,3.851270,3.337112,2.395766,4.239712,3.337894,2.395760,4.238231
-34.200001,-53.600006,0.552113,-1.038293,2.132794,0.550342,-1.034775,2.138305,3.210467,2.370793,4.133917,3.210468,2.370794,4.142915
-34.200001,-53.399994,1.603966,-0.223031,3.452053,1.600046,-0.233755,3.452056,3.284894,2.367900,4.105236,3.284895,2.359986,4.105237
-34.200001,-53.200012,2.060982,0.085235,4.019180,2.055779,0.085237,4.019178,3.311751,2.332065,4.228598,3.311751,2.332063,4.228600
-34.000000,-53.399994,-5.079014,-7.053722,-2.485121,-5.076972,-7.043323,-2.468961,3.190015,2.337296,4.139454,3.199454,2.337297,4.144019
-34.000000,-53.200012,2.087906,0.202614,4.057522,2.081400,0.220480,4.068490,3.281925,2.344665,4.178088,3.281924,2.347617,4.175034
-34.000000,-53.000000,2.183104,0.249498,4.058190,2.183106,0.233156,4.157444,3.317314,2.380097,4.144335,3.317949,2.380096,4.142468
-33.799999,-53.399994,-1.642716,-3.043978,-0.156937,-1.638695,-3.043983,-0.147215,3.299330,2.366907,4.240060,3.299332,2.366908,4.238035
-33.799999,-53.200012,0.699332,-0.823723,2.356164,0.699333,-0.817084,2.356165,3.299592,2.314466,4.213985,3.300800,2.314467,4.216291
-33.799999,-53.000000,2.311889,0.341959,4.087668,2.311888,0.341959,4.095892,3.273958,2.315239,4.145967,3.274893,2.315239,4.143362
-33.799999,-52.799988,2.527100,0.438360,4.241899,2.518212,0.438360,4.328450,3.346762,2.366197,4.168657,3.345559,2.368202,4.168657
-33.599998,-53.000000,1.459842,0.165561,2.701111,1.456088,0.158469,2.707189,3.315686,2.290161,4.265211,3.315685,2.290163,4.265213
-33.599998,-52.799988,2.873939,1.132513,4.454991,2.862789,1.132514,4.454992,3.289935,2.300418,4.236236,3.289932,2.300417,4.236236
-33.599998,-52.600006,2.472779,0.457652,4.366460,2.470256,0.457652,4.353372,3.441627,2.376346,4.204528,3.441624,2.376346,4.204525
-33.400002,-52.799988,1.587375,0.295249,3.128647,1.590623,0.286844,3.138174,3.356214,2.288420,4.356601,3.346102,2.288420,4.359357
-33.400002,-52.600006,2.644275,0.999499,4.244619,2.644274,0.968037,4.244618,3.332781,2.302617,4.323720,3.332783,2.307984,4.326156
-33.400002,-52.399994,2.174018,0.195355,3.969069,2.183751,0.195354,3.936679,3.420741,2.369799,4.268602,3.420742,2.369800,4.268594
-33.200001,-52.600006,1.975210,0.813490,3.680365,1.971117,0.813489,3.680365,3.354577,2.338208,4.410708,3.356111,2.326651,4.406273
-33.200001,-52.399994,2.916773,1.260274,4.554552,2.922929,1.244334,4.562086,3.384378,2.302788,4.335192,3.384378,2.302789,4.337777
-33.200001,-52.200012,3.101175,1.090614,4.975342,3.083743,1.095627,4.991615,3.361097,2.364523,4.310910,3.361097,2.367196,4.308985
-33.000000,-52.399994,1.960211,0.644609,3.576111,1.960209,0.641364,3.571917,3.372555,2.374644,4.431650,3.372555,2.377022,4.436595
-33.000000,-52.200012,3.317784,1.440518,5.007932,3.322932,1.440522,5.007929,3.407682,2.389768,4.355800,3.407682,2.389772,4.358404
-32.799999,-52.399994,4.800949,3.244617,6.249409,4.800948,3.244618,6.251059,3.385916,2.409637,4.475007,3.385910,2.409637,4.474843
-32.799999,-52.200012,3.845351,1.728543,5.264009,3.843032,1.768614,5.264010,3.443095,2.371552,4.442208,3.441806,2.371552,4.446812
-32.799999,-52.000000,2.476073,0.690446,4.673975,2.484351,0.759336,4.673972,3.427857,2.414835,4.374515,3.426715,2.410105,4.355444
-32.599998,-52.200012,3.290305,1.479462,5.154109,3.290304,1.479469,5.154110,3.459156,2.401491,4.480383,3.457780,2.401492,4.480384
-32.599998,-52.000000,2.412914,0.609291,4.887445,2.412914,0.609289,4.868587,3.475692,2.401388,4.471633,3.475691,2.394118,4.474472
-32.400002,-52.200012,-7.069559,-9.774121,-2.993607,-7.068906,-9.765075,-2.993610,3.468435,2.402795,4.521073,3.468436,2.402795,4.524506
-32.400002,-52.000000,2.595556,1.027395,4.804483,2.571947,1.027397,4.804484,3.410072,2.403887,4.498279,3.410072,2.403886,4.498278
-32.400002,-51.799988,2.502474,0.761643,4.895834,2.496569,0.761642,4.895834,3.467464,2.464015,4.452506,3.467463,2.464014,4.454966
-32.200001,-52.000000,1.972890,0.357688,3.786864,1.972890,0.357687,3.820053,3.459501,2.382254,4.529673,3.459501,2.382253,4.533319
-32.200001,-51.799988,2.346308,0.726966,4.262750,2.346309,0.742648,4.282917,3.464560,2.370380,4.467440,3.461399,2.370381,4.467439
-32.200001,-51.600006,3.093614,1.293992,5.094179,3.113768,1.294801,5.118576,3.398273,2.426874,4.415452,3.401743,2.426874,4.428922
-32.000000,-51.799988,1.869712,0.746575,3.230904,1.860806,0.746576,3.226109,3.475307,2.362476,4.545681,3.468167,2.362484,4.549577
-32.000000,-51.600006,3.156737,1.520775,4.785962,3.146319,1.500043,4.793191,3.414133,2.338965,4.510405,3.419749,2.338966,4.510406
-32.000000,-51.399994,4.574001,2.430012,6.803655,4.573999,2.403749,6.803651,3.414848,2.471698,4.432816,3.414846,2.471697,4.432818
-32.000000,-51.200012,3.016128,1.249999,5.542309,3.001770,1.249999,5.566920,3.418600,2.511627,4.400794,3.419350,2.511628,4.400795
-31.799999,-51.399994,2.820870,1.371570,4.547949,2.820181,1.357125,4.547944,3.438826,2.393760,4.523194,3.438827,2.393763,4.523193
-31.799999,-51.200012,3.138095,1.308843,5.442923,3.140042,1.308842,5.450539,3.415899,2.408640,4.400580,3.414432,2.399964,4.400580
-31.799999,-51.000000,2.857028,0.888214,5.302232,2.866471,0.905951,5.227335,3.462395,2.549085,4.334296,3.462395,2.549086,4.334296
-31.600000,-51.200012,3.965756,2.184569,5.654494,3.970235,2.184571,5.684929,3.439919,2.410787,4.522335,3.443972,2.410789,4.517114
-31.600000,-51.000000,2.970253,1.256059,5.359907,2.972313,1.256059,5.375433,3.377972,2.430974,4.356213,3.377973,2.430974,4.356214
-31.600000,-50.799988,2.797584,0.571774,5.151954,2.797584,0.669327,5.166343,3.376705,2.632804,4.227317,3.378410,2.634572,4.227748
-31.400000,-50.799988,2.831279,1.056996,5.128764,2.815950,1.093661,5.167679,3.413227,2.446666,4.359153,3.411799,2.446664,4.364643
-31.400000,-50.600006,2.993945,0.877006,5.371969,3.010084,0.861303,5.371972,3.350831,2.661155,4.148513,3.348617,2.661155,4.148512
-31.200001,-50.799988,2.535564,0.787672,4.406878,2.533742,0.787672,4.406875,3.374643,2.455622,4.436046,3.374646,2.455622,4.430826
-31.200001,-50.600006,3.315850,1.446651,5.356167,3.315849,1.391090,5.369865,3.351137,2.514290,4.310513,3.353397,2.517238,4.310512
-31.200001,-50.399994,3.708076,1.583331,5.874750,3.723850,1.583334,5.874755,3.282336,2.727172,4.129724,3.282336,2.734717,4.128215
-31.000000,-50.600006,2.636057,0.743650,4.752509,2.591474,0.735430,4.722863,3.429235,2.474135,4.403918,3.414864,2.474133,4.403915
-31.000000,-50.399994,3.023100,0.927181,5.143379,2.983731,0.969902,5.143379,3.342578,2.561584,4.201611,3.342576,2.561585,4.201710
-31.000000,-50.200012,3.070831,0.884542,5.286897,3.057710,0.884540,5.286876,3.298501,2.786130,4.111486,3.297265,2.786662,4.111486
-30.799999,-50.399994,2.357444,0.761652,4.581569,2.372611,0.761645,4.581569,3.407773,2.531774,4.385030,3.407773,2.518344,4.391580
-30.799999,-50.200012,2.894028,0.905642,5.141969,2.898121,0.870260,5.141969,3.295630,2.523099,4.232131,3.290311,2.523100,4.232133
-30.600000,-50.399994,2.522246,0.821918,4.515069,2.513859,0.821918,4.450776,3.498697,2.588375,4.455417,3.483745,2.588373,4.455416
-30.600000,-50.200012,2.821553,1.081598,5.165298,2.841328,1.058542,5.131716,3.319555,2.531649,4.295640,3.320709,2.531647,4.295639
-30.600000,-50.000000,3.218532,1.079908,5.426768,3.190830,1.079909,5.484046,3.309212,2.518966,4.215874,3.309213,2.516777,4.215872
-30.400000,-50.200012,1.890413,0.291564,4.050236,1.892490,0.271803,4.034234,3.355940,2.513176,4.317487,3.358086,2.513178,4.317488
-30.400000,-50.000000,2.957533,0.956797,5.115457,2.957534,0.956797,5.115459,3.263064,2.420142,4.253003,3.278095,2.420141,4.247335
-30.400000,-49.799988,3.074040,1.046596,5.274592,3.037957,1.027702,5.274588,3.352659,2.663873,4.225719,3.352659,2.663872,4.225722
-30.200001,-50.000000,3.098181,1.076320,5.142464,3.098172,1.076320,5.142467,3.282565,2.344105,4.202155,3.280395,2.337265,4.204498
-30.200001,-49.799988,3.289042,1.128118,5.276334,3.289041,1.092767,5.381889,3.327493,2.446942,4.220388,3.327494,2.446942,4.217512
-30.000000,-50.000000,2.631694,0.827394,4.818875,2.671829,0.815652,4.818873,3.231588,2.336666,4.214651,3.234811,2.336666,4.211276
-30.000000,-49.799988,3.002706,1.073058,5.173521,3.076601,1.112916,5.173516,3.256482,2.357173,4.156097,3.256482,2.357172,4.153293
-29.799999,-49.799988,2.551890,0.868778,4.610664,2.551891,0.785802,4.610663,3.200419,2.317789,4.206384,3.203953,2.317790,4.206385
-29.799999,-49.600006,2.709280,0.864183,4.512425,2.723232,0.901619,4.450532,3.227964,2.368015,4.174781,3.230230,2.368016,4.174784
-29.600000,-49.799988,1.639024,0.017123,3.672142,1.620603,0.017123,3.682191,3.305904,2.393448,4.276624,3.298661,2.393449,4.276622
-29.600000,-49.600006,2.074810,0.389989,4.116443,2.075228,0.403750,4.092845,3.254911,2.360626,4.253256,3.250031,2.360625,4.253257
-29.600000,-49.399994,2.418003,0.586551,4.284923,2.405687,0.586550,4.284934,3.190689,2.331235,4.143262,3.193181,2.319606,4.143262
-29.400000,-49.600006,1.974333,0.440706,3.694977,1.991910,0.479441,3.694979,3.416926,2.369303,4.391969,3.416926,2.369303,4.391968
-29.400000,-49.399994,1.508722,0.080822,3.426140,1.523041,0.071994,3.449303,3.275888,2.314103,4.250720,3.275888,2.314102,4.250717
-29.400000,-49.200012,2.141607,0.363554,4.087956,2.130322,0.371384,4.116392,3.165549,2.361564,3.992760,3.165548,2.361563,3.992761
-29.200001,-49.399994,1.667580,0.246069,3.196346,1.676256,0.253240,3.196347,3.386718,2.371438,4.428938,3.386717,2.355628,4.424995
-29.200001,-49.200012,1.942009,0.405280,3.559108,1.930738,0.405282,3.604695,3.224118,2.325509,4.120965,3.224119,2.313814,4.111866
-29.200001,-49.000000,2.501369,0.750098,4.229139,2.485284,0.731009,4.280275,3.081987,2.296593,3.869648,3.081423,2.296593,3.869647
-29.000000,-49.399994,1.415348,0.183440,2.708219,1.415348,0.168312,2.708216,3.543596,2.555460,4.587994,3.543596,2.555460,4.583598
-29.000000,-49.200012,1.713272,0.556374,3.126957,1.739041,0.556376,3.120621,3.367320,2.400460,4.336275,3.367317,2.400461,4.329306
-29.000000,-49.000000,2.261831,0.835625,3.826543,2.245894,0.835615,3.859101,3.141984,2.248169,3.924058,3.141983,2.219045,3.927372
-29.000000,-48.799988,2.983848,1.157789,4.521044,3.009443,1.157788,4.498629,3.033235,2.234849,3.706020,3.031129,2.230589,3.708859
-29.000000,-48.600006,3.288016,1.297944,4.984631,3.318089,1.319389,4.983346,3.040824,2.389759,3.653859,3.040824,2.389757,3.653859
-28.799999,-49.000000,2.382300,1.343606,3.634706,2.382302,1.335611,3.634702,3.362400,2.435497,4.338297,3.362400,2.435497,4.338297
-28.799999,-48.799988,2.229941,0.763617,3.829745,2.229942,0.753070,3.918235,3.160792,2.243002,3.919283,3.158687,2.243003,3.919284
-28.799999,-48.600006,2.688975,0.845415,4.486300,2.712289,0.819034,4.456621,3.053684,2.276037,3.719742,3.053685,2.276036,3.719742
-28.799999,-48.399994,3.204175,1.167058,4.739085,3.226352,1.130959,4.740704,3.034507,2.404574,3.652451,3.034599,2.404573,3.652451
-28.600000,-48.799988,2.235973,1.095604,3.738960,2.192231,1.096311,3.810871,3.389107,2.492431,4.279392,3.391441,2.492904,4.279391
-28.600000,-48.600006,2.632494,1.144458,4.378416,2.650756,1.144459,4.356163,3.101069,2.260986,3.910428,3.098138,2.260987,3.908084
-28.600000,-48.399994,3.133880,1.235617,4.806972,3.110073,1.235618,4.806974,3.013200,2.352199,3.694876,3.012633,2.353133,3.694874
-28.400000,-48.600006,1.615634,0.220673,3.351883,1.607306,0.188978,3.351884,3.252636,2.365975,4.052188,3.252637,2.365974,4.058117
-28.400000,-48.399994,2.694324,1.034772,4.618799,2.651584,1.034772,4.618801,3.087852,2.294189,3.745720,3.089209,2.293039,3.745719
-28.200001,-48.600006,1.045949,-0.505123,3.047945,1.045949,-0.526868,3.047946,3.355018,2.438753,4.152671,3.355570,2.438752,4.135423
-28.200001,-48.399994,2.505716,0.950187,4.470891,2.507025,0.964085,4.470891,3.129567,2.272994,3.859413,3.130475,2.275771,3.859414
-28.200001,-48.200012,3.014973,1.501374,5.148580,3.061338,1.501371,5.148401,3.008502,2.297729,3.723117,3.008501,2.297729,3.723116
-28.000000,-48.399994,2.603210,0.915890,4.611169,2.603210,0.937411,4.611172,3.204086,2.338373,3.956180,3.204084,2.338370,3.954851
-28.000000,-48.200012,3.072037,1.527186,5.166441,3.072041,1.550525,5.118097,3.064968,2.308530,3.749698,3.064968,2.309656,3.749698
-27.799999,-48.399994,2.005137,0.446186,4.003495,2.005138,0.431067,3.979193,3.285040,2.416329,4.053045,3.286556,2.411883,4.056094
-27.799999,-48.200012,3.098249,1.372147,5.114150,3.109006,1.363473,5.114156,3.114757,2.356573,3.817194,3.115962,2.356572,3.816046
-27.600000,-48.399994,2.137098,0.622309,3.981735,2.138650,0.619689,3.997019,3.361188,2.457506,4.162105,3.359413,2.455333,4.153821
-27.600000,-48.200012,2.989628,1.343031,5.186340,2.971916,1.376186,5.244912,3.169850,2.371450,3.875999,3.169850,2.371451,3.875997
-27.600000,-48.000000,3.371152,1.700662,5.466542,3.380731,1.665752,5.469863,2.985912,2.225769,3.622687,2.985912,2.225770,3.622688
-27.400000,-48.399994,0.947952,-0.244215,2.499499,0.942231,-0.257107,2.515975,3.375908,2.503592,4.212099,3.375906,2.503595,4.213714
-27.400000,-48.200012,3.186866,1.317026,5.342992,3.208982,1.318261,5.283273,3.203196,2.371771,3.943652,3.203196,2.371770,3.943652
-27.400000,-48.000000,3.290710,1.407098,5.430139,3.278602,1.407101,5.440568,3.022283,2.218519,3.662398,3.022282,2.218518,3.662398
-27.200001,-48.399994,1.602270,0.077627,3.073972,1.612276,0.095367,3.073974,3.400716,2.515139,4.207286,3.400716,2.515139,4.207284
-27.200001,-48.200012,2.686452,0.803820,4.619615,2.688242,0.827577,4.645631,3.198872,2.385065,3.998102,3.198871,2.384819,4.000622
-27.200001,-48.000000,3.420994,1.493956,5.511416,3.406385,1.493957,5.511415,3.072439,2.237365,3.709060,3.072178,2.237832,3.709058
-27.000000,-48.399994,2.339856,0.712370,4.602733,2.339855,0.697700,4.602747,3.311251,2.448203,4.161573,3.311251,2.448206,4.164154
-27.000000,-48.200012,2.862529,0.949772,4.870755,2.875538,0.948890,4.870753,3.186508,2.408993,3.987849,3.186509,2.408993,3.990381
-26.799999,-48.399994,2.226325,0.428973,4.228710,2.220743,0.411076,4.228707,3.284202,2.526891,4.116273,3.285359,2.526881,4.116270
-26.799999,-48.200012,2.900114,0.989549,4.887843,2.900115,0.974896,4.888349,3.161221,2.427896,3.989038,3.161221,2.427898,3.989038
-26.600000,-48.600006,1.753613,0.004628,3.691781,1.753615,-0.008011,3.691781,3.517587,2.691959,4.352635,3.517588,2.691959,4.357750
-26.600000,-48.399994,2.332643,0.471872,4.273392,2.339563,0.451249,4.285104,3.313843,2.562368,4.119808,3.315147,2.562374,4.119808
-26.600000,-48.200012,2.945139,1.023227,5.024653,2.939497,1.023228,5.024658,3.185694,2.435931,3.964084,3.184870,2.435932,3.964083
-26.400000,-48.399994,1.872214,0.442574,3.525780,1.861397,0.442572,3.538450,3.384710,2.639217,4.237718,3.384710,2.639216,4.237718
-26.400000,-48.200012,3.148901,1.067351,5.249372,3.134244,1.053708,5.289348,3.204885,2.471405,4.002138,3.206835,2.471406,4.002138
-26.200001,-48.399994,1.645891,0.417810,2.960894,1.645891,0.379548,2.952118,3.463092,2.687336,4.380081,3.463091,2.687335,4.369329
-26.200001,-48.200012,2.816700,0.853667,4.608823,2.816703,0.801896,4.613063,3.292967,2.482480,4.058637,3.294080,2.482480,4.058637
-26.000000,-48.399994,1.985273,0.682902,3.296805,1.985273,0.682902,3.296804,3.577570,2.697892,4.476698,3.577572,2.697890,4.476700
-26.000000,-48.200012,2.959980,1.057506,4.438356,2.968486,1.006552,4.438357,3.344556,2.580860,4.182636,3.339826,2.585286,4.182637
-25.799999,-48.200012,2.617201,0.835380,4.060271,2.617199,0.867752,4.060274,3.422801,2.579272,4.338424,3.422800,2.583708,4.327340
-25.799999,-48.000000,2.997207,1.055849,4.808870,2.991076,1.055850,4.808872,3.235919,2.436499,4.070760,3.235863,2.438406,4.070759
-25.600000,-48.399994,1.868885,0.821914,3.108061,1.868883,0.821923,3.115430,3.670081,2.806250,4.552939,3.670081,2.806247,4.552939
-25.600000,-48.200012,2.326550,0.864259,3.682581,2.332037,0.859464,3.692684,3.548531,2.697233,4.418269,3.546847,2.697234,4.418991
-25.600000,-48.000000,2.777756,0.994494,4.302225,2.785617,1.009784,4.324045,3.298390,2.463488,4.174209,3.298389,2.466718,4.178599
-25.600000,-47.799988,3.089770,1.182649,4.764839,3.083741,1.182646,4.764842,3.196975,2.337479,4.006630,3.196975,2.341057,4.006630
-25.400000,-48.000000,2.306885,1.003402,3.936074,2.323986,0.988838,3.936071,3.443566,2.609194,4.395620,3.440874,2.604520,4.398959
-25.400000,-47.799988,2.611303,0.970816,4.147946,2.616544,0.970817,4.147945,3.284773,2.436926,4.192033,3.286226,2.436923,4.192033
-25.400000,-47.600006,2.947567,1.088585,4.607724,2.947567,1.088585,4.607723,3.182388,2.337825,4.017195,3.182388,2.339523,4.017195
-25.200001,-47.799988,2.418270,0.922375,3.779631,2.399064,0.913462,3.803704,3.501884,2.732087,4.451989,3.504594,2.732088,4.445586
-25.200001,-47.600006,2.738281,0.961948,4.178024,2.738281,0.934385,4.214432,3.305133,2.454101,4.159911,3.305134,2.454101,4.162637
-25.000000,-47.799988,1.113010,0.239883,2.246584,1.115162,0.241134,2.246565,3.715142,2.840454,4.630409,3.709484,2.840454,4.634047
-25.000000,-47.600006,2.188942,0.746752,3.727854,2.176797,0.728780,3.727854,3.504233,2.672917,4.392255,3.504232,2.668731,4.395535
-25.000000,-47.399994,2.353518,0.771888,3.773516,2.313713,0.771889,3.773515,3.329431,2.464250,4.169885,3.329433,2.464249,4.169888
-25.000000,-47.200012,2.515617,0.945203,4.104112,2.501205,0.958909,4.104108,3.244707,2.370263,4.007410,3.244269,2.370265,4.007408
-24.799999,-47.399994,1.551712,0.246155,2.918723,1.518385,0.172777,2.918722,3.649665,2.728528,4.581542,3.648403,2.728528,4.581542
-24.799999,-47.200012,1.989325,0.491054,3.637712,1.998549,0.530985,3.679832,3.491871,2.591209,4.277399,3.490720,2.591208,4.277396
-24.799999,-47.000000,2.239565,0.683167,4.001096,2.226715,0.661612,4.001094,3.296187,2.427097,4.067273,3.292187,2.427105,4.067271
-24.799999,-46.799988,2.383606,0.768677,4.111632,2.383606,0.743678,4.087668,3.164521,2.321835,3.853999,3.164523,2.321836,3.858934
-24.600000,-47.200012,1.583424,0.321914,3.273425,1.585165,0.321917,3.273425,3.799601,2.869392,4.809094,3.799709,2.869392,4.809095
-24.600000,-47.000000,1.714623,0.392762,3.590869,1.684902,0.392760,3.606577,3.599102,2.691324,4.448710,3.599103,2.691325,4.448708
-24.600000,-46.799988,1.645866,0.097628,3.521795,1.652824,0.234834,3.544784,3.351593,2.455069,4.082978,3.353127,2.455079,4.088840
-24.600000,-46.600006,2.126413,0.581502,3.915299,2.118332,0.594022,3.915302,3.217369,2.343263,3.867329,3.217371,2.343265,3.867326
-24.400000,-46.799988,1.807529,0.466999,3.502285,1.802070,0.466998,3.502283,3.614707,2.770495,4.536633,3.614707,2.770495,4.536631
-24.400000,-46.600006,1.954752,0.517908,3.744293,1.954753,0.527397,3.742409,3.386565,2.498767,4.203589,3.388152,2.501007,4.204908
-24.400000,-46.399994,2.144349,0.541719,3.974830,2.130463,0.541719,3.959959,3.256043,2.372053,3.966281,3.252350,2.367631,3.979537
-24.400000,-46.200012,2.235294,0.526636,4.054793,2.235294,0.526636,4.058446,3.171231,2.328504,3.843536,3.171232,2.328504,3.843535
-24.400000,-46.000000,2.303331,0.544900,4.098629,2.344522,0.544901,4.202378,3.087501,2.258048,3.717087,3.087502,2.258048,3.717085
-24.400000,-45.200012,2.526638,0.572431,4.484936,2.526636,0.451385,4.484933,3.025755,2.444025,3.636024,3.026598,2.445317,3.636025
