point,grid_lat,grid_lon,date,VHM0,zos,tide_daily_max,total_m,datum_m,B_m,C,compound_event,is_annotated_day
RS,-32.0,-51.79998779296875,2020-03-04,0.78,0.05420125,0.23128617,0.44148741140961645,0.3930867552757263,0.04840065613389016,0.060899677329216556,False,False
RS,-32.0,-51.79998779296875,2020-03-05,0.7,0.13470854,0.2763897,0.5510982245206832,0.3930867552757263,0.15801146924495696,0.15323960237143555,False,False
RS,-32.0,-51.79998779296875,2020-03-06,0.89,0.017274063,0.2990018,0.4942758731544018,0.3930867552757263,0.10118911787867552,0.1995331486613744,False,False
RS,-32.0,-51.79998779296875,2020-03-07,1.09,-0.048828777,0.30385697,0.4730281986296177,0.3930867552757263,0.07994144335389142,0.2094730543377636,False,False
RS,-32.0,-51.79998779296875,2020-03-08,1.14,-0.16858283,0.28443965,0.34385682344436647,0.3930867552757263,-0.04922993183135982,0.1697202041813749,False,False
RS,-32.0,-51.79998779296875,2020-03-09,0.8,0.04406856,0.25791463,0.4619831949472427,0.3930867552757263,0.06889643967151643,0.11541583047674887,False,False
RS,-32.0,-51.79998779296875,2020-03-10,0.92,0.31336203,0.25934508,0.7567071199417115,0.3930867552757263,0.3636203646659852,0.11834437835938078,False,False
RS,-32.0,-51.79998779296875,2020-03-11,1.06,0.06445543,0.26286674,0.5393221512436867,0.3930867552757263,0.14623539596796037,0.12555421455353397,False,False
RS,-32.0,-51.79998779296875,2020-03-12,1.05,-0.15137035,0.2578781,0.31650773882865907,0.3930867552757263,-0.07657901644706722,0.11534102736611704,False,False
RS,-32.0,-51.79998779296875,2020-03-13,0.71,0.10840103,0.24088977,0.4912907987833023,0.3930867552757263,0.098204043507576,0.08056102821085527,False,False
RS,-32.0,-51.79998779296875,2020-03-14,0.83,-0.051636394,0.26364508,0.37800868526101117,0.3930867552757263,-0.015078070014715117,0.1271477160546527,False,False
RS,-32.0,-51.79998779296875,2020-03-15,0.84,0.19543932,0.34189904,0.7053383558988571,0.3930867552757263,0.3122516006231308,0.2873561494921862,False,False
RS,-32.0,-51.79998779296875,2020-03-16,0.94,0.33680075,0.37941,0.904210752248764,0.3930867552757263,0.5111239969730377,0.3641519149283625,False,False
RS,-32.0,-51.79998779296875,2020-03-17,0.96,0.07928759,0.37177038,0.6430579662322998,0.3930867552757263,0.24997121095657354,0.3485114142850542,False,False
RS,-32.0,-51.79998779296875,2020-03-18,1.51,-0.012572704,0.32620144,0.615628733113408,0.3930867552757263,0.22254197783768176,0.2552186342846482,False,False
RS,-32.0,-51.79998779296875,2020-03-19,1.18,0.086855635,0.25845602,0.581311646103859,0.3930867552757263,0.1882248908281327,0.11652421000997716,False,False
RS,-32.0,-51.79998779296875,2020-03-20,1.02,0.27747232,0.18703708,0.6685093939304352,0.3930867552757263,0.2754226386547089,-0.029690977581016582,False,False
RS,-32.0,-51.79998779296875,2020-03-21,0.67,0.27075928,0.14327149,0.5480307787656784,0.3930867552757263,0.15494402348995212,-0.1192917725684638,False,False
RS,-32.0,-51.79998779296875,2020-03-22,0.61,0.148259,0.15265691,0.4229159146547318,0.3930867552757263,0.029829159379005488,-0.10007710486213965,False,False
RS,-32.0,-51.79998779296875,2020-03-23,0.97,0.19605094,0.14482789,0.5348788350820541,0.3930867552757263,0.14179207980632785,-0.116105379705791,False,False
RS,-32.0,-51.79998779296875,2020-03-24,1.14,0.01764104,0.15401526,0.3996562946587801,0.3930867552757263,0.006569539383053824,-0.09729618024718614,False,False
RS,-32.0,-51.79998779296875,2020-03-25,0.99,-0.07269375,0.15027393,0.2755801856517792,0.3930867552757263,-0.11750656962394707,-0.10495575031447738,False,False
