grid_lat,grid_lon,i_lat,i_lon,region,method,season,compound_event_count,mean_compound_intensity_norm,p95_compound_intensity_norm,mean_peak_hs,mean_peak_ssh_total
-35.0,-54.79998779296875,0,1,S,Global q90,DJF,65,0.30523493675308544,0.48614456804628814,2.640307697883019,0.7749543987787687
-35.0,-54.79998779296875,0,1,S,Global q90,MAM,105,0.35573693225127434,0.5452678244864666,2.8321904772803896,0.8662281706219628
-35.0,-54.79998779296875,0,1,S,Global q90,JJA,103,0.36275875209506686,0.5498312710130868,2.880291276765101,0.8603044389521034
-35.0,-54.79998779296875,0,1,S,Global q90,SON,49,0.31270953828161785,0.48590827687904203,2.726122471750999,0.7660834789276123
-35.0,-54.79998779296875,0,1,S,Seasonal q90,DJF,98,0.2702177290768307,0.45632512409175346,2.5008163208864174,0.7214722523883897
-35.0,-54.79998779296875,0,1,S,Seasonal q90,MAM,83,0.37590579688847975,0.5465148820974621,2.903132530580084,0.9065585596015654
-35.0,-54.79998779296875,0,1,S,Seasonal q90,JJA,87,0.38201401485896064,0.5539692333679941,2.932873572426281,0.9120844958842486
-35.0,-54.79998779296875,0,1,S,Seasonal q90,SON,79,0.29240700125419977,0.46576086322729415,2.679113934311686,0.6801651312580591
-35.0,-54.600006103515625,0,2,S,Global q90,DJF,57,0.3507684111918079,0.52458648179431,2.90614036091587,0.7662940035786545
-35.0,-54.600006103515625,0,2,S,Global q90,MAM,104,0.39607561108519146,0.5807539592008282,3.100288462180358,0.8395966778580959
-35.0,-54.600006103515625,0,2,S,Global q90,JJA,94,0.4080160277265123,0.5701288391262257,3.1843617063887577,0.8420630839276821
-35.0,-54.600006103515625,0,2,S,Global q90,SON,39,0.35798790467867947,0.5143577761518356,3.0110256427373643,0.7607169900185022
-35.0,-54.600006103515625,0,2,S,Seasonal q90,DJF,96,0.30251264115804605,0.5187189172534794,2.6988541781902313,0.7057630947480599
-35.0,-54.600006103515625,0,2,S,Seasonal q90,MAM,81,0.4136932166348591,0.589636377914303,3.1655555536717546,0.8755829613885762
-35.0,-54.600006103515625,0,2,S,Seasonal q90,JJA,86,0.41962071647322663,0.5715616480315238,3.219651169555132,0.8702731666176818
-35.0,-54.600006103515625,0,2,S,Seasonal q90,SON,68,0.333007361473357,0.5001229378063774,2.939411766388837,0.6737721224918085
-35.0,-54.399993896484375,0,3,S,Global q90,DJF,56,0.37343560094120637,0.5329640950991162,3.0787500143051147,0.7399743518659047
-35.0,-54.399993896484375,0,3,S,Global q90,MAM,102,0.4161882427419238,0.5972846913825404,3.280588238847022,0.8010056194137124
-35.0,-54.399993896484375,0,3,S,Global q90,JJA,97,0.42877964577369804,0.5849446604106668,3.393917511418923,0.7940690806231547
-35.0,-54.399993896484375,0,3,S,Global q90,SON,36,0.38944597773857575,0.5344129798299134,3.2341666486528187,0.7378697743018469
-35.0,-54.399993896484375,0,3,S,Seasonal q90,DJF,90,0.32904506074906453,0.5230504704476409,2.8754444546169706,0.6889116002453698
-35.0,-54.399993896484375,0,3,S,Seasonal q90,MAM,80,0.44163286994431494,0.6006648428332028,3.394375002384186,0.8368850782513618
-35.0,-54.399993896484375,0,3,S,Seasonal q90,JJA,83,0.4465870219149183,0.5851245892317598,3.4739758910903014,0.8239756427615522
-35.0,-54.399993896484375,0,3,S,Seasonal q90,SON,63,0.35717219672946415,0.5250437212856764,3.1011111055101668,0.6527863636849418
-35.0,-54.20001220703125,0,4,S,Global q90,DJF,52,0.3864203588951497,0.5489104273519203,3.172307688456315,0.7271588318623029
-35.0,-54.20001220703125,0,4,S,Global q90,MAM,96,0.4372523186480218,0.5869816485347809,3.447291672229767,0.7790261600166559
-35.0,-54.20001220703125,0,4,S,Global q90,JJA,92,0.4434427592976575,0.5815632269452651,3.5577174036399177,0.7579812984103742
-35.0,-54.20001220703125,0,4,S,Global q90,SON,36,0.40626463245629657,0.5429313435203809,3.3916666640175714,0.7010902133252885
-35.0,-54.20001220703125,0,4,S,Seasonal q90,DJF,85,0.34285579291994556,0.5301417000369775,2.9792941205641803,0.675389112444485
-35.0,-54.20001220703125,0,4,S,Seasonal q90,MAM,78,0.44920521635171196,0.5906435140085055,3.5006410280863443,0.8030388615070245
-35.0,-54.20001220703125,0,4,S,Seasonal q90,JJA,80,0.46469476187509473,0.5818217082980899,3.6698750078678133,0.7814143769443035
-35.0,-54.20001220703125,0,4,S,Seasonal q90,SON,56,0.3801393373221909,0.5321713098065357,3.27017856495721,0.6411365542028632
-35.0,-54.0,0,5,S,Global q90,DJF,46,0.4031039552315246,0.548925870438352,3.280217383218848,0.7293306381806083
-35.0,-54.0,0,5,S,Global q90,MAM,92,0.4422378206105042,0.5771063595007921,3.525326088718746,0.7554969664501108
-35.0,-54.0,0,5,S,Global q90,JJA,84,0.4590220663704357,0.576709319075787,3.705476179009392,0.7400672400281543
-35.0,-54.0,0,5,S,Global q90,SON,30,0.42328862241861637,0.5398569228318432,3.5353333234786986,0.6863304038842519
-35.0,-54.0,0,5,S,Seasonal q90,DJF,76,0.355266788737103,0.5403667323628676,3.0565789341926575,0.6716547247610594
-35.0,-54.0,0,5,S,Seasonal q90,MAM,75,0.4585233838264483,0.5828063250006692,3.6093333371480307,0.7791821678479512
-35.0,-54.0,0,5,S,Seasonal q90,JJA,73,0.4696533208612603,0.575608094923696,3.735342450337867,0.7559702706663576
-35.0,-54.0,0,5,S,Seasonal q90,SON,53,0.3880840107155682,0.5296361639163524,3.3547169802323826,0.6206809197956661
-34.79999923706055,-54.399993896484375,1,3,S,Global q90,DJF,56,0.3287612924878274,0.48567069092147674,2.7030357122421265,0.834535573210035
-34.79999923706055,-54.399993896484375,1,3,S,Global q90,MAM,102,0.3706919414149703,0.5622933166955638,2.8571568587247063,0.926147961733388
-34.79999923706055,-54.399993896484375,1,3,S,Global q90,JJA,99,0.38160203739221493,0.5705998321501307,2.9138384009852554,0.92845316547336
