region,method,season,compound_event_count,n_analysis_points,events_per_point
S,Global q90,DJF,3844,142,27.070422535211268
S,Seasonal q90,DJF,7800,142,54.929577464788736
S,Global q90,MAM,9340,142,65.77464788732394
S,Seasonal q90,MAM,7703,142,54.24647887323944
S,Global q90,JJA,11638,142,81.95774647887323
S,Seasonal q90,JJA,9146,142,64.40845070422536
S,Global q90,SON,6452,142,45.436619718309856
S,Seasonal q90,SON,7384,142,52.0
SE,Global q90,DJF,1543,179,8.620111731843576
SE,Seasonal q90,DJF,4616,179,25.787709497206706
SE,Global q90,MAM,9180,179,51.28491620111732
SE,Seasonal q90,MAM,7205,179,40.25139664804469
SE,Global q90,JJA,10596,179,59.19553072625698
SE,Seasonal q90,JJA,8663,179,48.39664804469274
SE,Global q90,SON,6778,179,37.865921787709496
SE,Seasonal q90,SON,6611,179,36.93296089385475
NE,Global q90,DJF,2617,297,8.811447811447811
NE,Seasonal q90,DJF,5030,297,16.936026936026938
NE,Global q90,MAM,2588,297,8.713804713804715
NE,Seasonal q90,MAM,5396,297,18.16835016835017
NE,Global q90,JJA,6967,297,23.457912457912457
NE,Seasonal q90,JJA,6551,297,22.05723905723906
NE,Global q90,SON,8933,297,30.077441077441076
NE,Seasonal q90,SON,6188,297,20.835016835016834
N,Global q90,DJF,5823,190,30.647368421052633
N,Seasonal q90,DJF,4227,190,22.24736842105263
N,Global q90,MAM,4215,190,22.18421052631579
N,Seasonal q90,MAM,4045,190,21.289473684210527
N,Global q90,JJA,1438,190,7.568421052631579
N,Seasonal q90,JJA,4700,190,24.736842105263158
N,Global q90,SON,4079,190,21.46842105263158
N,Seasonal q90,SON,3953,190,20.805263157894736
