grid_lat,grid_lon,compound_count_total,mean_integrated_severity,compound_count_annual_mean,mean_overlap_duration,mean_full_criterion_duration,mean_compound_intensity_norm,thr_hs_abs,thr_zos_abs,hat_m,Hazard_Frequency,Hazard_Severity,Hazard_Index,Hazard_Index_raw
-34.400002,-53.600006,95,0.756200,2.880000,1.270000,1.270000,0.577900,1.710000,0.684916,0.557542,0.959596,0.756200,0.857898,0.857898
-34.400002,-53.399994,94,0.742300,2.850000,1.280000,1.280000,0.561600,2.000000,0.605543,0.558083,0.949495,0.742300,0.845897,0.845897
-34.200001,-53.600006,95,0.660900,2.880000,1.230000,1.230000,0.526400,1.500000,0.741867,0.603595,0.959596,0.660900,0.810248,0.810248
-34.200001,-53.399994,95,0.728000,2.880000,1.260000,1.260000,0.559900,1.870000,0.673555,0.603226,0.959596,0.728000,0.843798,0.843798
-34.200001,-53.200012,92,0.752000,2.790000,1.320000,1.320000,0.556400,2.040000,0.594386,0.581479,0.929293,0.752000,0.840646,0.840646
-34.000000,-53.399994,96,0.662900,2.910000,1.230000,1.230000,0.522300,1.660000,0.726610,0.650568,0.969697,0.662900,0.816298,0.816298
-34.000000,-53.200012,96,0.703900,2.910000,1.250000,1.250000,0.549000,1.870000,0.663485,0.629783,0.969697,0.703900,0.836798,0.836798
-34.000000,-53.000000,94,0.727300,2.850000,1.290000,1.290000,0.546700,2.060000,0.597089,0.598559,0.949495,0.727300,0.838397,0.838397
-33.799999,-53.399994,93,0.585300,2.820000,1.170000,1.170000,0.490800,1.320000,0.769351,0.689188,0.939394,0.585300,0.762347,0.762347
-33.799999,-53.200012,94,0.691100,2.850000,1.270000,1.270000,0.527400,1.630000,0.726764,0.672814,0.949495,0.691100,0.820297,0.820297
-33.799999,-53.000000,93,0.750400,2.820000,1.290000,1.290000,0.561400,1.890000,0.668072,0.642905,0.939394,0.750400,0.844897,0.844897
-33.799999,-52.799988,97,0.716800,2.940000,1.250000,1.250000,0.553700,2.090000,0.600591,0.607156,0.979798,0.716800,0.848299,0.848299
-33.599998,-53.000000,96,0.627600,2.910000,1.240000,1.240000,0.475000,1.260000,0.734285,0.677149,0.969697,0.627600,0.798648,0.798648
-33.599998,-52.799988,93,0.716400,2.820000,1.280000,1.280000,0.534600,1.790000,0.676970,0.646935,0.939394,0.716400,0.827897,0.827897
-33.599998,-52.600006,92,0.743000,2.790000,1.320000,1.320000,0.547200,2.060000,0.608963,0.606629,0.929293,0.743000,0.836146,0.836146
-33.400002,-52.799988,97,0.640200,2.940000,1.220000,1.220000,0.496400,1.490000,0.740723,0.680058,0.979798,0.640200,0.809999,0.809999
