rank,thr_hs_pct,thr_ssh_pct,H,M,U,R_pos,B,F_soft,Score
1,0.9,0.9,15,41,1267,0.2679,0.4335,972.3539,-3.398685
2,0.9,0.85,15,41,1673,0.2679,0.5708,1284.4173,-4.540657
3,0.85,0.9,20,36,1747,0.3571,0.5975,1340.3475,-4.69218
4,0.9,0.8,17,39,1897,0.3036,0.6473,1447.5705,-5.117204
5,0.9,0.75,18,38,2087,0.3214,0.7119,1586.663,-5.616167
6,0.8,0.9,24,32,2132,0.4286,0.7291,1632.4483,-5.718849
7,0.9,0.7,18,38,2268,0.3214,0.7731,1718.146,-6.097991
8,0.85,0.85,22,34,2289,0.3929,0.7815,1754.3538,-6.186138
9,0.75,0.9,29,27,2454,0.5179,0.8397,1875.721,-6.556225
10,0.9,0.65,19,37,2470,0.3393,0.8417,1872.3072,-6.651582
11,0.85,0.8,25,31,2601,0.4464,0.888,1980.913,-6.98444
12,0.9,0.6,19,37,2622,0.3393,0.8931,1984.7343,-7.063388
13,0.7,0.9,34,22,2701,0.6071,0.9249,2059.2884,-7.175296
14,0.8,0.85,27,29,2762,0.4821,0.9432,2109.9472,-7.434872
15,0.9,0.55,19,37,2776,0.3393,0.9452,2100.7842,-7.488267
16,0.65,0.9,37,19,2907,0.6607,0.9956,2213.0753,-7.706527
17,0.85,0.75,29,27,2909,0.5179,0.9935,2212.7389,-7.790634
18,0.9,0.5,19,37,2936,0.3393,0.9993,2222.8357,-7.934987
19,0.6,0.9,42,14,3096,0.75,1.0,2352.3038,-8.151085
20,0.75,0.85,31,25,3163,0.5536,1.0,2409.9484,-8.474816
21,0.8,0.8,31,25,3180,0.5536,1.0,2421.02,-8.514357
22,0.85,0.7,29,27,3189,0.5179,1.0,2422.5992,-8.541426
23,0.55,0.9,43,13,3271,0.7679,1.0,2483.297,-8.608204
24,0.5,0.9,43,13,3424,0.7679,1.0,2595.9396,-9.010499
25,0.7,0.85,37,19,3521,0.6607,1.0,2681.9013,-9.38179
26,0.85,0.65,30,26,3510,0.5357,1.0,2672.1511,-9.421968
27,0.8,0.75,35,21,3603,0.625,1.0,2745.4467,-9.630167
28,0.75,0.8,33,23,3663,0.5893,1.0,2784.0949,-9.789625
29,0.85,0.6,30,26,3706,0.5357,1.0,2814.9022,-9.931794
30,0.65,0.85,41,15,3812,0.7321,1.0,2900.1242,-10.118301
31,0.85,0.55,30,26,3909,0.5357,1.0,2964.0665,-10.464523
32,0.8,0.7,35,21,3928,0.625,1.0,2985.1307,-10.486181
33,0.6,0.85,44,12,4064,0.7857,1.0,3086.4071,-10.751454
34,0.7,0.8,39,17,4132,0.6964,1.0,3145.0265,-11.01438
35,0.85,0.5,30,26,4137,0.5357,1.0,3139.228,-11.0901
36,0.75,0.75,37,19,4172,0.6607,1.0,3174.4369,-11.140846
37,0.55,0.85,45,11,4287,0.8036,1.0,3254.5933,-11.341405
38,0.8,0.65,37,19,4294,0.6607,1.0,3263.4022,-11.458579
39,0.65,0.8,43,13,4464,0.7679,1.0,3390.5899,-11.848535
40,0.5,0.85,45,11,4500,0.8036,1.0,3414.0141,-11.910765
41,0.8,0.6,37,19,4557,0.6607,1.0,3458.1456,-12.154091
42,0.75,0.7,37,19,4572,0.6607,1.0,3472.5366,-12.205488
43,0.7,0.75,39,17,4670,0.6964,1.0,3548.3105,-12.45468
44,0.6,0.8,46,10,4766,0.8214,1.0,3615.7776,-12.620634
