event_idx,disaster_id,municipality,date,thr_hs_pct,thr_ssh_pct,captured,lag_from_event_day,hs_at_capture,ssh_total_at_capture,capture_time,n_admissible,n_compound,coastal_sector
35,28,Balneário Barra do Sul,2012-01-27,0.5,0.5,True,-2.0,1.3799999952316284,0.6061643920838833,2012-01-25,4,3,North
36,29,Balneário Barra do Sul,2015-07-27,0.5,0.5,False,,,,,4,0,North
37,30,Balneário Barra do Sul,2015-08-18,0.5,0.5,True,-2.0,1.3700000047683716,0.6975406929850578,2015-08-16,4,2,North
38,31,Balneário Barra do Sul,2016-07-01,0.5,0.5,False,,,,,4,0,North
39,32,Florianópolis,2016-09-15,0.5,0.5,True,-1.0,1.7699999809265137,0.49064844846725464,2016-09-14,4,3,Central
40,32,Porto Belo,2016-09-15,0.5,0.5,True,-1.0,1.5399999618530273,0.565626434981823,2016-09-14,4,3,Central
41,34,Balneário Barra do Sul,2016-12-12,0.5,0.5,False,,,,,4,0,North
42,35,Balneário Barra do Sul,2017-03-25,0.5,0.5,True,0.0,1.2300000190734863,0.6477705985307693,2017-03-25,4,2,North
43,36,Balneário Barra do Sul,2017-05-02,0.5,0.5,False,,,,,4,0,North
44,37,Balneário Barra do Sul,2017-05-21,0.5,0.5,False,,,,,4,0,North
45,38,Florianópolis,2017-05-22,0.5,0.5,True,1.0,2.299999952316284,0.43489816784858704,2017-05-23,4,1,Central
46,38,Barra Velha,2017-05-22,0.5,0.5,True,1.0,2.1599998474121094,0.6982354819774628,2017-05-23,4,1,Central
47,39,Itapoá,2017-08-15,0.5,0.5,False,,,,,4,0,North
48,40,Balneário Barra do Sul,2017-08-26,0.5,0.5,False,,,,,4,0,North
49,41,Navegantes,2017-09-07,0.5,0.5,True,-2.0,1.9399999380111694,0.6348292976617813,2017-09-05,4,3,Central-north
50,42,Balneário Barra do Sul,2017-09-09,0.5,0.5,True,-1.0,1.1399999856948853,0.5689397603273392,2017-09-08,4,2,North
51,43,Florianópolis,2017-09-13,0.5,0.5,False,,,,,4,0,Central
52,43,Barra Velha,2017-09-13,0.5,0.5,False,,,,,4,0,Central
