event_idx,disaster_id,municipality,date,thr_hs_pct,thr_ssh_pct,captured,lag_from_event_day,hs_at_capture,ssh_total_at_capture,capture_time,n_admissible,n_compound,coastal_sector
0,1,São Francisco do Sul,1998-02-15,0.9,0.55,False,,,,,4,0,North
1,2,Balneário Piçarras,1998-09-19,0.9,0.55,True,0.0,2.0225000381469727,0.16994445025920868,1998-09-19,4,1,Central-north
2,3,Itapoá,2000-08-10,0.9,0.55,True,1.0,1.6762499809265137,0.3989589102566242,2000-08-11,4,1,North
3,4,Balneário Camboriú,2001-05-05,0.9,0.55,True,0.0,1.934999942779541,0.19989360868930817,2001-05-05,4,2,Central-north
4,4,Itapoá,2001-05-05,0.9,0.55,True,0.0,1.934999942779541,0.19989360868930817,2001-05-05,4,2,Central-north
5,5,Bombinhas,2001-05-06,0.9,0.55,True,-1.0,1.934999942779541,0.19989360868930817,2001-05-05,4,2,Central-north
6,5,Navegantes,2001-05-06,0.9,0.55,True,-1.0,1.934999942779541,0.19989360868930817,2001-05-05,4,2,Central-north
7,5,Balneário Barra do Sul,2001-05-06,0.9,0.55,True,-1.0,1.934999942779541,0.19989360868930817,2001-05-05,4,2,Central-north
8,5,Barra Velha,2001-05-06,0.9,0.55,True,-1.0,1.934999942779541,0.19989360868930817,2001-05-05,4,2,Central-north
9,6,Barra Velha,2001-05-22,0.9,0.55,False,,,,,4,0,North
10,7,Balneário Camboriú,2002-09-21,0.9,0.55,True,0.0,1.877500057220459,0.11689230799674988,2002-09-21,4,1,Central-north
11,8,Içara/Balneário Rincão,2004-03-27,0.9,0.55,True,0.0,2.2962498664855957,0.152476254850626,2004-03-27,4,1,South
12,9,Florianópolis,2004-03-28,0.9,0.55,True,-1.0,1.7887499332427979,0.11290816031396389,2004-03-27,4,1,Central
13,9,Araranguá,2004-03-28,0.9,0.55,True,-1.0,2.0774998664855957,0.16264818608760834,2004-03-27,4,1,Central
14,9,Balneário Arroio do Silva,2004-03-28,0.9,0.55,True,-1.0,2.0774998664855957,0.16264818608760834,2004-03-27,4,1,Central
15,9,Balneário Gaivota,2004-03-28,0.9,0.55,True,-1.0,2.2412500381469727,0.15813376381993294,2004-03-27,4,1,Central
16,9,Passo de Torres,2004-03-28,0.9,0.55,True,-1.0,2.0974998474121094,0.16348087042570114,2004-03-27,4,2,Central
17,10,Itajaí,2005-08-08,0.9,0.55,True,0.0,1.683750033378601,0.07520832121372223,2005-08-08,4,2,Central-north
18,11,Palhoça,2005-08-09,0.9,0.55,True,-1.0,1.683750033378601,0.07520832121372223,2005-08-08,4,3,Central
19,11,Bombinhas,2005-08-09,0.9,0.55,True,-1.0,1.683750033378601,0.07520832121372223,2005-08-08,4,3,Central
20,11,Barra Velha,2005-08-09,0.9,0.55,True,-1.0,1.683750033378601,0.07520832121372223,2005-08-08,4,3,Central
21,12,Itajaí,2006-04-24,0.9,0.55,True,0.0,1.683750033378601,0.3635848555713892,2006-04-24,4,1,Central-north
22,14,Florianópolis,2010-05-13,0.9,0.55,True,-2.0,1.84499990940094,0.07777900621294975,2010-05-11,4,1,Central
23,14,Barra Velha,2010-05-13,0.9,0.55,True,-2.0,1.84499990940094,0.07777900621294975,2010-05-11,4,1,Central
24,15,Balneário Barra do Sul,2010-05-28,0.9,0.55,False,,,,,4,0,North
25,16,Navegantes,2010-06-01,0.9,0.55,True,0.0,2.016249895095825,0.34862016700208187,2010-06-01,4,2,Central-north
26,17,Garopaba,2010-06-09,0.9,0.55,False,,,,,4,0,South
27,18,Florianópolis,2010-06-24,0.9,0.55,False,,,,,4,0,Central
28,19,Florianópolis,2010-07-16,0.9,0.55,False,,,,,4,0,Central
29,20,Balneário Piçarras,2010-09-23,0.9,0.55,False,,,,,4,0,Central-north
30,21,Bombinhas,2010-09-28,0.9,0.55,False,,,,,4,0,Central-north
31,24,Balneário Piçarras,2011-01-23,0.9,0.55,False,,,,,4,0,Central-north
32,25,Navegantes,2011-05-03,0.9,0.55,True,0.0,2.117499828338623,0.19761747121810913,2011-05-03,4,2,Central-north
33,26,Barra Velha,2011-05-29,0.9,0.55,True,-1.0,2.03125,0.36543072015047073,2011-05-28,4,3,North
34,27,Penha,2011-06-04,0.9,0.55,False,,,,,4,0,Central-north
35,28,Balneário Barra do Sul,2012-01-27,0.9,0.55,False,,,,,4,0,North
36,29,Balneário Barra do Sul,2015-07-27,0.9,0.55,True,-2.0,2.0637500286102295,0.14938393980264664,2015-07-25,4,2,North
37,30,Balneário Barra do Sul,2015-08-18,0.9,0.55,False,,,,,4,0,North
38,31,Balneário Barra do Sul,2016-07-01,0.9,0.55,False,,,,,4,0,North
39,32,Florianópolis,2016-09-15,0.9,0.55,False,,,,,4,0,Central
40,32,Porto Belo,2016-09-15,0.9,0.55,False,,,,,4,0,Central
41,34,Balneário Barra do Sul,2016-12-12,0.9,0.55,False,,,,,4,0,North
