thr_hs_pct,thr_ssh_pct,municipality,F
0.5,0.5,São Francisco do Sul,672
0.5,0.5,Itapoá,672
0.5,0.5,Balneário Piçarras,690
0.5,0.5,Balneário Barra do Sul,690
0.5,0.5,Barra Velha,690
0.5,0.5,Penha,690
0.5,0.5,Araquari,690
0.5,0.5,Balneário Camboriú,708
0.5,0.5,Navegantes,708
0.5,0.5,Itajaí,708
0.5,0.5,Itapema,708
0.5,0.5,Bombinhas,754
0.5,0.5,Porto Belo,754
0.5,0.5,Içara/Balneário Rincão,732
0.5,0.5,Balneário Rincão,732
0.5,0.5,Florianópolis,752
0.5,0.5,Palhoça,752
0.5,0.5,Araranguá,768
0.5,0.5,Balneário Arroio do Silva,768
0.5,0.5,Balneário Gaivota,731
0.5,0.5,Passo de Torres,729
0.5,0.5,Garopaba,735
0.5,0.55,São Francisco do Sul,644
0.5,0.55,Itapoá,644
0.5,0.55,Balneário Piçarras,663
0.5,0.55,Balneário Barra do Sul,663
0.5,0.55,Barra Velha,663
0.5,0.55,Penha,663
0.5,0.55,Araquari,663
0.5,0.55,Balneário Camboriú,670
0.5,0.55,Navegantes,670
0.5,0.55,Itajaí,670
0.5,0.55,Itapema,670
0.5,0.55,Bombinhas,711
0.5,0.55,Porto Belo,711
0.5,0.55,Içara/Balneário Rincão,704
0.5,0.55,Balneário Rincão,704
0.5,0.55,Florianópolis,726
0.5,0.55,Palhoça,726
0.5,0.55,Araranguá,737
0.5,0.55,Balneário Arroio do Silva,737
0.5,0.55,Balneário Gaivota,699
0.5,0.55,Passo de Torres,711
0.5,0.55,Garopaba,717
0.5,0.6,São Francisco do Sul,612
0.5,0.6,Itapoá,612
0.5,0.6,Balneário Piçarras,636
0.5,0.6,Balneário Barra do Sul,636
0.5,0.6,Barra Velha,636
0.5,0.6,Penha,636
0.5,0.6,Araquari,636
0.5,0.6,Balneário Camboriú,647
0.5,0.6,Navegantes,647
0.5,0.6,Itajaí,647
0.5,0.6,Itapema,647
0.5,0.6,Bombinhas,678
0.5,0.6,Porto Belo,678
0.5,0.6,Içara/Balneário Rincão,671
