thr_hs_pct,thr_ssh_pct,H,M,F,POD,FAR,CSI
0.5,0.5,71,20,6930,0.7802197802197802,0.9898585916297672,0.010112519584104829
0.5,0.55,70,21,6563,0.7692307692307693,0.9894467058646164,0.010519987977156597
0.5,0.6,67,24,6190,0.7362637362637363,0.989291992967876,0.010667091227511543
0.5,0.65,62,29,5809,0.6813186813186813,0.9894396184636348,0.010508474576271187
0.5,0.7,58,33,5331,0.6373626373626373,0.989237335312674,0.010697159719660641
0.5,0.75,54,37,4800,0.5934065934065934,0.9888751545117429,0.011040686976078512
0.5,0.8,41,50,4238,0.45054945054945056,0.9904183220378593,0.009471009471009472
0.5,0.85,36,55,3530,0.3956043956043956,0.9899046550757151,0.009942004971002486
0.5,0.9,25,66,2753,0.27472527472527475,0.9910007199424046,0.008790436005625879
0.55,0.5,69,22,6747,0.7582417582417582,0.9898767605633803,0.010090669786487276
0.55,0.55,69,22,6359,0.7582417582417582,0.9892657125077785,0.010697674418604652
0.55,0.6,66,25,6010,0.7252747252747253,0.989137590520079,0.010817898705130306
0.55,0.65,61,30,5612,0.6703296703296703,0.989247311827957,0.01069612484657198
0.55,0.7,57,34,5156,0.6263736263736264,0.989065797045847,0.010863350485991996
0.55,0.75,53,38,4635,0.5824175824175825,0.9886945392491467,0.011214557765552264
0.55,0.8,40,51,4062,0.43956043956043955,0.9902486591906388,0.00963159162051529
0.55,0.85,35,56,3393,0.38461538461538464,0.9897899649941657,0.010045924225028703
0.55,0.9,22,69,2642,0.24175824175824176,0.9917417417417418,0.00804976216611782
0.6,0.5,66,25,6448,0.7252747252747253,0.9898679766656432,0.010093286435234746
0.6,0.55,66,25,6084,0.7252747252747253,0.9892682926829268,0.01068825910931174
0.6,0.6,63,28,5748,0.6923076923076923,0.9891584925141972,0.010789518753211167
0.6,0.65,58,33,5353,0.6373626373626373,0.98928109406764,0.0106539309331374
0.6,0.7,54,37,4896,0.5934065934065934,0.9890909090909091,0.010828153198315621
0.6,0.75,50,41,4389,0.5494505494505495,0.9887362018472629,0.011160714285714286
0.6,0.8,37,54,3847,0.4065934065934066,0.9904737384140062,0.009395632300660234
0.6,0.85,31,60,3215,0.34065934065934067,0.9904497843499692,0.009376890502117362
0.6,0.9,18,73,2485,0.1978021978021978,0.9928086296444267,0.006987577639751553
0.65,0.5,66,25,6009,0.7252747252747253,0.9891358024691358,0.010819672131147541
0.65,0.55,66,25,5655,0.7252747252747253,0.9884635553224961,0.01148625130525583
0.65,0.6,63,28,5339,0.6923076923076923,0.9883376527212143,0.011602209944751382
0.65,0.65,57,34,4949,0.6263736263736264,0.9886136636036756,0.01130952380952381
0.65,0.7,53,38,4531,0.5824175824175825,0.9884380453752182,0.011466897446992644
0.65,0.75,49,42,4021,0.5384615384615384,0.9879606879606879,0.011916342412451361
0.65,0.8,36,55,3518,0.3956043956043956,0.9898705683736635,0.00997506234413965
0.65,0.85,30,61,2935,0.32967032967032966,0.9898819561551433,0.00991407799074686
0.65,0.9,18,73,2291,0.1978021978021978,0.9922044174967518,0.007556675062972292
0.7,0.5,64,27,5500,0.7032967032967034,0.9884974838245866,0.011446968341978178
0.7,0.55,64,27,5167,0.7032967032967034,0.9877652456509272,0.012171928489920122
0.7,0.6,61,30,4870,0.6703296703296703,0.9876292841208679,0.012295908083047773
0.7,0.65,55,36,4509,0.6043956043956044,0.9879491673970202,0.011956521739130435
0.7,0.7,51,40,4106,0.5604395604395604,0.9877315371662256,0.012151536812008578
0.7,0.75,47,44,3641,0.5164835164835165,0.9872559652928417,0.012593783494105037
0.7,0.8,35,56,3159,0.38461538461538464,0.9890419536631183,0.010769230769230769
0.7,0.85,29,62,2637,0.31868131868131866,0.9891222805701425,0.01063049853372434
0.7,0.9,17,74,2076,0.18681318681318682,0.9918776875298615,0.007844946931241348
0.75,0.5,61,30,4943,0.6703296703296703,0.9878097521982414,0.012117600317838697
0.75,0.55,58,33,4624,0.6373626373626373,0.9876121315677061,0.012301166489925769
0.75,0.6,55,36,4367,0.6043956043956044,0.9875621890547264,0.012337371018393899
0.75,0.65,50,41,4032,0.5494505494505495,0.9877511024007839,0.01212709192335678
0.75,0.7,46,45,3659,0.5054945054945055,0.9875843454790824,0.012266666666666667
0.75,0.75,41,50,3253,0.45054945054945056,0.9875531268973892,0.012260765550239234
0.75,0.8,31,60,2826,0.34065934065934067,0.9891494574728736,0.01062735687350017
0.75,0.85,26,65,2363,0.2857142857142857,0.9891167852658016,0.010594947025264874
0.75,0.9,16,75,1869,0.17582417582417584,0.9915119363395225,0.00816326530612245
0.8,0.5,60,31,4231,0.6593406593406593,0.9860172453973433,0.013882461823229986
0.8,0.55,57,34,3955,0.6263736263736264,0.9857926221335992,0.014087988136431043
0.8,0.6,53,38,3701,0.5824175824175825,0.985881726158764,0.013976793248945147
0.8,0.65,48,43,3408,0.5274725274725275,0.9861111111111112,0.01371820520148614
0.8,0.7,44,47,3095,0.4835164835164835,0.9859827970691303,0.013810420590081607
0.8,0.75,36,55,2756,0.3956043956043956,0.9871060171919771,0.012644889357218124
0.8,0.8,23,68,2420,0.25274725274725274,0.9905853458862055,0.009159697331740343
0.8,0.85,19,72,2026,0.2087912087912088,0.9907090464547678,0.008974964572508267
0.8,0.9,11,80,1615,0.12087912087912088,0.9932349323493235,0.006447831184056272
0.85,0.5,54,37,3406,0.5934065934065934,0.9843930635838151,0.015441807263368601
0.85,0.55,52,39,3190,0.5714285714285714,0.9839605181986428,0.01584882657726303
0.85,0.6,44,47,2980,0.4835164835164835,0.9854497354497355,0.014327580592640833
0.85,0.65,39,52,2756,0.42857142857142855,0.986046511627907,0.0136986301369863
0.85,0.7,34,57,2498,0.37362637362637363,0.9865718799368088,0.01313248358439552
0.85,0.75,29,62,2226,0.31868131868131866,0.987139689578714,0.012516184721622789
0.85,0.8,17,74,1953,0.18681318681318682,0.9913705583756345,0.008317025440313111
0.85,0.85,15,76,1667,0.16483516483516483,0.9910820451843044,0.008532423208191127
0.85,0.9,11,80,1335,0.12087912087912088,0.9918276374442794,0.007713884992987377
0.9,0.5,44,47,2481,0.4835164835164835,0.9825742574257426,0.017107309486780714
0.9,0.55,42,49,2335,0.46153846153846156,0.9823306689103912,0.01731244847485573
0.9,0.6,34,57,2175,0.37362637362637363,0.9846084200995926,0.01500441306266549
0.9,0.65,30,61,1999,0.32967032967032966,0.9852143913257763,0.014354066985645933
0.9,0.7,25,66,1828,0.27472527472527475,0.9865083648138154,0.013027618551328817
0.9,0.75,20,71,1620,0.21978021978021978,0.9878048780487805,0.011689070718877849
0.9,0.8,10,81,1441,0.10989010989010989,0.9931082012405238,0.006527415143603133
0.9,0.85,9,82,1211,0.0989010989010989,0.9926229508196721,0.0069124423963133645
0.9,0.9,5,86,962,0.054945054945054944,0.9948293691830403,0.004748338081671415
