municipality_code,municipality_name,state,grid_lat,grid_lon,has_association,has_svi,has_hazard_value,has_risk_value,absence_reason,compound_count_total,mean_integrated_severity,n_candidate_events,n_rejected_by_hat,point_accepted_zero_events,pop_municipality,pop_10km,degenerate_exposure,Exposure_Index,exposure_at_floor,SVI_Coast_2022,Hazard_Index_mun,Risk_Hazard,risk_rank
2605459,Fernando de Noronha,PE,,,False,True,False,False,no grid-point association in the delivered/archived file,,,,,False,3161,3161,False,0.612337,False,39.21867,,,
4207007,Içara,SC,,,False,True,False,False,no grid-point association in the delivered/archived file,,,,,False,59141,9870,False,0.288457,False,20.549148,,,
4318507,São José do Norte,RS,-32.0,-51.8,True,True,True,True,,93.0,0.608,93.0,0.0,False,24947,24947,False,0.774115,False,37.959069,0.968758,1.0,1.0
3302502,Magé,RJ,-23.0,-43.0,True,True,True,True,,56.0,0.6881,66.0,10.0,False,228147,166026,False,0.765404,False,40.132702,0.790201,0.944752,2.0
4321352,Tavares,RS,-31.2,-50.8,True,True,True,True,,88.0,0.6833,88.0,0.0,False,5220,5151,False,0.649858,False,37.170627,0.98605,0.938392,3.0
3302700,Maricá,RJ,-23.0,-42.8,True,True,True,True,,55.0,0.6893,67.0,12.0,False,197166,194972,False,0.901854,False,33.24067,0.784756,0.934247,4.0
4312500,Mostardas,RS,-31.0,-50.6,True,True,True,True,,80.0,0.6069,80.0,0.0,False,12037,11668,False,0.707748,False,35.490701,0.887235,0.916327,5.0
3301702,Duque de Caxias,RJ,-23.0,-43.0,True,True,True,True,,56.0,0.6881,66.0,10.0,False,807233,649287,False,0.875569,False,31.709625,0.790201,0.911194,6.0
3305505,Saquarema,RJ,-23.0,-42.6,True,True,True,True,,48.0,0.6836,67.0,19.0,False,89580,87708,False,0.848755,False,34.539612,0.737578,0.906462,7.0
3550704,São Sebastião,SP,-23.8,-45.6,True,True,True,True,,76.0,0.6605,80.0,4.0,False,81344,81344,False,0.852984,False,27.303847,0.896803,0.895275,8.0
3303807,Paraty,RJ,-23.2,-44.4,True,True,True,True,,68.0,0.5385,75.0,7.0,False,44399,44292,False,0.812396,False,32.719805,0.768691,0.888254,9.0
3506359,Bertioga,SP,-23.8,-45.8,True,True,True,True,,77.0,0.6606,80.0,3.0,False,64183,64183,False,0.837768,False,25.647745,0.903084,0.871935,10.0
3518701,Guarujá,SP,-24.0,-46.2,True,True,True,True,,70.0,0.5471,78.0,8.0,False,287487,287487,False,0.929868,False,26.327825,0.78665,0.869569,11.0
4315602,Rio Grande,RS,-32.4,-52.2,True,True,True,True,,81.0,0.4931,81.0,0.0,False,190452,188623,False,0.900574,False,24.835359,0.820341,0.854556,12.0
4109500,Guaraqueçaba,PR,-25.4,-48.0,True,True,True,True,,45.0,0.3724,73.0,28.0,False,7308,6831,False,0.654742,False,53.971081,0.518997,0.854423,13.0
4202073,Balneário Gaivota,SC,-29.2,-49.4,True,True,True,True,,80.0,0.5708,80.0,0.0,False,15715,15715,False,0.740998,False,28.249471,0.864042,0.850161,14.0
3304904,São Gonçalo,RJ,-23.0,-43.0,True,True,True,True,,56.0,0.6881,66.0,10.0,False,895560,837612,False,0.957758,False,23.894201,0.790201,0.850107,15.0
4212254,Passo de Torres,SC,-29.4,-49.6,True,True,True,True,,78.0,0.5567,78.0,0.0,False,12883,12883,False,0.726295,False,29.256007,0.84255,0.847039,16.0
4313656,Palmares do Sul,RS,-30.4,-50.2,True,True,True,True,,75.0,0.4865,75.0,0.0,False,12857,10953,False,0.659071,False,34.390362,0.778801,0.842745,17.0
3300100,Angra dos Reis,RJ,-23.2,-44.2,True,True,True,True,,64.0,0.6168,71.0,7.0,False,166050,166027,False,0.897181,False,24.331508,0.794128,0.837271,18.0
4212304,Paulo Lopes,SC,-28.0,-48.4,True,True,True,True,,72.0,0.5331,72.0,0.0,False,9090,8316,False,0.662653,False,33.06963,0.790089,0.83689,19.0
4301057,Arroio do Sal,RS,-29.6,-49.8,True,True,True,True,,80.0,0.4995,80.0,0.0,False,11070,11070,False,0.714868,False,29.317089,0.818235,0.834002,20.0
3555406,Ubatuba,SP,-23.6,-45.0,True,True,True,True,,66.0,0.4374,73.0,7.0,False,92691,92676,False,0.861175,False,28.643555,0.691307,0.832317,21.0
3300209,Araruama,RJ,-23.0,-42.4,True,True,True,True,,43.0,0.7077,68.0,25.0,False,129723,81680,False,0.677055,False,34.622273,0.721977,0.830049,22.0
4207304,Imbituba,SC,-28.2,-48.6,True,True,True,True,,68.0,0.5386,68.0,0.0,False,52489,52485,False,0.824595,False,26.646654,0.768756,0.829476,23.0
4208807,Jaguaruna,SC,-28.8,-49.0,True,True,True,True,,80.0,0.6574,80.0,0.0,False,20353,18296,False,0.713041,False,25.350729,0.919678,0.824715,24.0
3302601,Mangaratiba,RJ,-23.0,-44.0,True,True,True,True,,64.0,0.3592,76.0,12.0,False,39932,39932,False,0.806431,False,31.880772,0.628634,0.816364,25.0
4209409,Laguna,SC,-28.6,-48.8,True,True,True,True,,79.0,0.7171,79.0,0.0,False,42793,42793,False,0.811075,False,20.375638,0.951816,0.808412,26.0
4301636,Balneário Pinhal,RS,-30.2,-50.0,True,True,True,True,,83.0,0.4869,83.0,0.0,False,14943,13408,False,0.690803,False,27.321755,0.828791,0.806788,27.0
4220000,Balneário Rincão,SC,-29.0,-49.2,True,True,True,True,,79.0,0.6093,79.0,0.0,False,16025,16025,False,0.742428,False,23.616552,0.882559,0.803643,28.0
3302007,Itaguaí,RJ,-23.0,-44.0,True,True,True,True,,64.0,0.3592,76.0,12.0,False,116489,107362,False,0.835671,False,28.825207,0.628634,0.797371,29.0
3522109,Itanhaém,SP,-24.2,-46.6,True,True,True,True,,68.0,0.4914,79.0,11.0,False,112541,111936,False,0.870715,False,23.415333,0.738432,0.7957,30.0
4201950,Balneário Arroio do Silva,SC,-29.0,-49.4,True,True,True,True,,77.0,0.5663,77.0,0.0,False,15765,15765,False,0.741231,False,24.044719,0.842501,0.794943,31.0
4205704,Garopaba,SC,-28.0,-48.4,True,True,True,True,,72.0,0.5331,72.0,0.0,False,29979,29979,False,0.786895,False,24.044055,0.790089,0.793657,32.0
3300704,Cabo Frio,RJ,-23.0,-42.0,True,True,True,True,,39.0,0.5631,65.0,26.0,False,221296,220886,False,0.913506,False,26.898822,0.604212,0.791697,33.0
4201406,Araranguá,SC,-29.0,-49.2,True,True,True,True,,79.0,0.6093,79.0,0.0,False,71984,57934,False,0.745597,False,22.549432,0.882559,0.791532,34.0
3300258,Arraial do Cabo,RJ,-23.0,-42.2,True,True,True,True,,43.0,0.6432,68.0,25.0,False,30935,30935,False,0.789058,False,27.326435,0.680539,0.788346,35.0
4211900,Palhoça,SC,-27.8,-48.4,True,True,True,True,,70.0,0.4653,70.0,0.0,False,222130,221990,False,0.914361,False,21.611157,0.734097,0.785069,36.0
3551009,São Vicente,SP,-24.0,-46.4,True,True,True,True,,72.0,0.5442,80.0,8.0,False,328987,328987,False,0.937707,False,19.398694,0.797219,0.784983,37.0
3520301,Iguape,SP,-24.6,-47.2,True,True,True,True,,59.0,0.4484,83.0,24.0,False,29078,25098,False,0.719582,False,29.470371,0.654856,0.772761,38.0
3531100,Mongaguá,SP,-24.2,-46.6,True,True,True,True,,68.0,0.4914,79.0,11.0,False,61689,61689,False,0.835196,False,22.420114,0.738432,0.771552,39.0
4305454,Cidreira,RS,-30.2,-50.0,True,True,True,True,,83.0,0.4869,83.0,0.0,False,17037,16913,False,0.74364,False,21.949653,0.828791,0.765453,40.0
3520400,Ilhabela,SP,-23.8,-45.4,True,True,True,True,,74.0,0.5227,77.0,3.0,False,34612,34612,False,0.796748,False,21.186565,0.795841,0.763518,41.0
3537602,Peruíbe,SP,-24.4,-46.8,True,True,True,True,,58.0,0.5016,79.0,21.0,False,68089,67826,False,0.839711,False,22.338265,0.682818,0.750398,42.0
3300936,Carapebus,RJ,-22.4,-41.6,True,True,True,True,,34.0,0.3921,62.0,28.0,False,13881,12438,False,0.685017,False,39.885213,0.463271,0.747178,43.0
4304630,Capão da Canoa,RS,-29.6,-49.8,True,True,True,True,,80.0,0.4995,80.0,0.0,False,63315,63315,False,0.836885,False,18.035624,0.818235,0.740529,44.0
4323804,Xangri-lá,RS,-30.0,-50.0,True,True,True,True,,71.0,0.4684,71.0,0.0,False,16876,16876,False,0.746202,False,21.597022,0.742305,0.731985,45.0
4321600,Tramandaí,RS,-30.0,-50.0,True,True,True,True,,71.0,0.4684,71.0,0.0,False,54404,54118,False,0.824465,False,19.524281,0.742305,0.731676,46.0
4310330,Imbé,RS,-30.0,-50.0,True,True,True,True,,71.0,0.4684,71.0,0.0,False,26841,26841,False,0.77923,False,20.618171,0.742305,0.731166,47.0
4118204,Paranaguá,PR,-25.6,-48.2,True,True,True,True,,38.0,0.354,67.0,29.0,False,145574,145334,False,0.888419,False,28.517923,0.46366,0.727151,48.0
3541000,Praia Grande,SP,-24.0,-46.4,True,True,True,True,,72.0,0.5442,80.0,8.0,False,349895,349895,False,0.941267,False,14.61998,0.797219,0.709233,49.0
3509908,Cananéia,SP,-25.2,-47.8,True,True,True,True,,50.0,0.373,79.0,29.0,False,12290,12042,False,0.713917,False,27.643227,0.550467,0.706691,50.0
4321501,Torres,RS,-29.4,-49.6,True,True,True,True,,78.0,0.5567,78.0,0.0,False,41671,40850,False,0.79996,False,16.044145,0.84255,0.70551,51.0
3304557,Rio de Janeiro,RJ,-23.0,-43.4,True,True,True,True,,63.0,0.6112,71.0,8.0,False,6193495,4374900,False,0.840458,False,16.147798,0.784314,0.701448,52.0
