municipality_code,municipality_name,state,grid_lat,grid_lon,has_association,has_svi,has_hazard_value,has_risk_value,absence_reason,compound_count_total,mean_integrated_severity,n_candidate_events,n_rejected_by_hat,point_accepted_zero_events,pop_municipality,pop_10km,degenerate_exposure,Exposure_Index,exposure_at_floor,SVI_Coast_2022,Hazard_Index_mun,Risk_Hazard,risk_rank,category
2605459,Fernando de Noronha,PE,,,False,True,False,False,no grid-point association in the delivered/archived file,,,,,False,3161,3161,False,0.612337,False,39.21867,,,,absent from the risk map
4207007,Içara,SC,,,False,True,False,False,no grid-point association in the delivered/archived file,,,,,False,59141,9870,False,0.288457,False,20.549148,,,,absent from the risk map
2300200,Acaraú,CE,-2.8,-40.2,True,True,True,True,,0.0,0.0,13.0,13.0,True,64805,49773,False,0.719619,False,65.676846,0.0,0.204521,196.0,hazard point accepted zero compound events
2301000,Aquiraz,CE,-3.8,-38.2,True,True,True,True,,0.0,0.0,24.0,24.0,True,80554,54810,False,0.682561,False,57.604966,0.0,0.188313,218.0,hazard point accepted zero compound events
2800308,Aracaju,SE,-11.0,-37.0,True,True,True,True,,0.0,0.0,24.0,24.0,True,603825,603813,False,0.972217,False,23.660544,0.0,0.146385,269.0,hazard point accepted zero compound events
2301109,Aracati,CE,-4.4,-37.6,True,True,True,True,,0.0,0.0,24.0,24.0,True,74637,50423,False,0.675617,False,50.651555,0.0,0.176723,245.0,hazard point accepted zero compound events
2401107,Areia Branca,RN,-4.8,-37.0,True,True,True,True,,0.0,0.0,22.0,22.0,True,24079,23490,False,0.760409,False,41.799896,0.0,0.170775,253.0,hazard point accepted zero compound events
2700508,Barra de Santo Antônio,AL,-9.6,-35.6,True,True,True,True,,0.0,0.0,19.0,19.0,True,16348,16300,False,0.742579,False,52.984007,0.0,0.188369,217.0,hazard point accepted zero compound events
2700607,Barra de São Miguel,AL,-10.0,-35.8,True,True,True,True,,0.0,0.0,20.0,20.0,True,7934,7931,False,0.68895,False,41.682098,0.0,0.162833,262.0,hazard point accepted zero compound events
2800605,Barra dos Coqueiros,SE,-10.8,-36.8,True,True,True,True,,0.0,0.0,23.0,23.0,True,41447,41447,False,0.808933,False,32.36456,0.0,0.15583,267.0,hazard point accepted zero compound events
2601409,Barreiros,PE,-8.8,-35.0,True,True,True,True,,0.0,0.0,20.0,20.0,True,40999,37626,False,0.768701,False,50.051427,0.0,0.186465,220.0,hazard point accepted zero compound events
2302057,Barroquinha,CE,-2.8,-41.2,True,True,True,True,,0.0,0.0,16.0,16.0,True,14454,8185,False,0.520409,False,70.590803,0.0,0.182575,226.0,hazard point accepted zero compound events
2302206,Beberibe,CE,-4.2,-37.8,True,True,True,True,,0.0,0.0,25.0,25.0,True,53139,39579,False,0.695457,False,67.074843,0.0,0.203335,197.0,hazard point accepted zero compound events
2800704,Brejo Grande,SE,-10.6,-36.6,True,True,True,True,,0.0,0.0,27.0,27.0,True,7859,4613,False,0.494143,False,62.888187,0.0,0.168986,257.0,hazard point accepted zero compound events
2503209,Cabedelo,PB,-7.0,-34.8,True,True,True,True,,0.0,0.0,25.0,25.0,True,66782,66782,False,0.840336,False,37.198274,0.0,0.169451,256.0,hazard point accepted zero compound events
2602902,Cabo de Santo Agostinho,PE,-8.4,-34.8,True,True,True,True,,0.0,0.0,22.0,22.0,True,203366,132206,False,0.712231,False,44.355763,0.0,0.170289,255.0,hazard point accepted zero compound events
2401859,Caiçara do Norte,RN,-5.0,-36.2,True,True,True,True,,0.0,0.0,15.0,15.0,True,6256,5694,False,0.632005,False,58.061689,0.0,0.182482,227.0,hazard point accepted zero compound events
2302602,Camocim,CE,-2.8,-40.8,True,True,True,True,,0.0,0.0,15.0,15.0,True,62554,56264,False,0.786398,False,52.997508,0.0,0.193336,211.0,hazard point accepted zero compound events
2102903,Carutapera,MA,-1.0,-45.8,True,True,True,True,,0.0,0.0,23.0,23.0,True,24161,21233,False,0.715019,False,73.788119,0.0,0.214699,191.0,hazard point accepted zero compound events
2303501,Cascavel,CE,-4.0,-38.0,True,True,True,True,,0.0,0.0,25.0,25.0,True,72765,31228,False,0.51734,False,58.570196,0.0,0.167,260.0,hazard point accepted zero compound events
2303709,Caucaia,CE,-3.6,-38.6,True,True,True,True,,0.0,0.0,26.0,26.0,True,355692,283051,False,0.82869,False,42.921873,0.0,0.179894,235.0,hazard point accepted zero compound events
2908606,Conde,BA,-12.0,-37.4,True,True,True,True,,0.0,0.0,20.0,20.0,True,23665,19720,False,0.691437,False,67.401747,0.0,0.20325,198.0,hazard point accepted zero compound events
2702306,Coruripe,AL,-10.2,-36.0,True,True,True,True,,0.0,0.0,20.0,20.0,True,50402,36897,False,0.685415,False,49.977501,0.0,0.176805,244.0,hazard point accepted zero compound events
2304251,Cruz,CE,-2.8,-40.4,True,True,True,True,,0.0,0.0,12.0,12.0,True,30227,22114,False,0.654857,False,52.802006,0.0,0.17757,241.0,hazard point accepted zero compound events
2910503,Entre Rios,BA,-12.4,-37.8,True,True,True,True,,0.0,0.0,27.0,27.0,True,38142,9759,False,0.356724,False,54.641099,0.0,0.134874,276.0,hazard point accepted zero compound events
2910602,Esplanada,BA,-12.2,-37.6,True,True,True,True,,0.0,0.0,22.0,22.0,True,32366,3488,False,0.203862,False,58.251533,0.0,0.103998,277.0,hazard point accepted zero compound events
2802106,Estância,SE,-11.4,-37.2,True,True,True,True,,0.0,0.0,22.0,22.0,True,64709,57169,False,0.780367,False,46.422115,0.0,0.181411,232.0,hazard point accepted zero compound events
2702702,Feliz Deserto,AL,-10.4,-36.2,True,True,True,True,,0.0,0.0,22.0,22.0,True,3958,3487,False,0.58286,False,59.290589,0.0,0.177523,242.0,hazard point accepted zero compound events
2304400,Fortaleza,CE,-3.8,-38.2,True,True,True,True,,0.0,0.0,24.0,24.0,True,2427546,1675622,False,0.830815,False,27.469572,0.0,0.145821,270.0,hazard point accepted zero compound events
2304459,Fortim,CE,-4.4,-37.6,True,True,True,True,,0.0,0.0,24.0,24.0,True,17488,15807,False,0.704892,False,59.913484,0.0,0.194492,210.0,hazard point accepted zero compound events
2404101,Galinhos,RN,-5.0,-36.2,True,True,True,True,,0.0,0.0,15.0,15.0,True,1672,1290,False,0.462832,False,69.436785,0.0,0.171654,252.0,hazard point accepted zero compound events
2104305,Godofredo Viana,MA,-1.2,-45.6,True,True,True,True,,0.0,0.0,25.0,25.0,True,10210,3039,False,0.332165,False,62.481466,0.0,0.13916,274.0,hazard point accepted zero compound events
2404408,Grossos,RN,-4.8,-37.2,True,True,True,True,,0.0,0.0,22.0,22.0,True,9728,9713,False,0.704324,False,53.206174,0.0,0.184242,223.0,hazard point accepted zero compound events
2404507,Guamaré,RN,-5.0,-36.2,True,True,True,True,,0.0,0.0,15.0,15.0,True,14665,9843,False,0.578309,False,53.616758,0.0,0.168811,258.0,hazard point accepted zero compound events
2305357,Icapuí,CE,-4.6,-37.4,True,True,True,True,,0.0,0.0,20.0,20.0,True,20389,20344,False,0.758838,False,53.667813,0.0,0.191332,213.0,hazard point accepted zero compound events
2606804,Igarassu,PE,-7.8,-34.8,True,True,True,True,,0.0,0.0,22.0,22.0,True,115783,112161,False,0.859423,False,49.322024,0.0,0.194814,208.0,hazard point accepted zero compound events
2607604,Ilha de Itamaracá,PE,-7.8,-34.8,True,True,True,True,,0.0,0.0,22.0,22.0,True,24012,24012,False,0.771432,False,62.631235,0.0,0.20653,194.0,hazard point accepted zero compound events
2913606,Ilhéus,BA,-15.0,-38.8,True,True,True,True,,0.0,0.0,24.0,24.0,True,178354,162788,False,0.856056,False,37.873359,0.0,0.172358,250.0,hazard point accepted zero compound events
2607208,Ipojuca,PE,-8.8,-35.0,True,True,True,True,,0.0,0.0,20.0,20.0,True,98694,61658,False,0.660117,False,48.731658,0.0,0.171731,251.0,hazard point accepted zero compound events
2306405,Itapipoca,CE,-3.0,-39.4,True,True,True,True,,0.0,0.0,26.0,26.0,True,130429,9574,False,0.19067,False,56.90454,0.0,0.098901,278.0,hazard point accepted zero compound events
2803203,Itaporanga d'Ajuda,SE,-11.2,-37.0,True,True,True,True,,0.0,0.0,21.0,21.0,True,34338,25872,False,0.674157,False,57.373278,0.0,0.186914,219.0,hazard point accepted zero compound events
2607901,Jaboatão dos Guararapes,PE,-8.2,-34.8,True,True,True,True,,0.0,0.0,21.0,21.0,True,644201,521717,False,0.867558,False,39.864055,0.0,0.177586,240.0,hazard point accepted zero compound events
2917904,Jandaíra,BA,-11.6,-37.4,True,True,True,True,,0.0,0.0,26.0,26.0,True,9161,4137,False,0.427222,False,61.724727,0.0,0.156368,266.0,hazard point accepted zero compound events
2703601,Japaratinga,AL,-9.2,-35.2,True,True,True,True,,0.0,0.0,19.0,19.0,True,8944,8944,False,0.698486,False,63.583146,0.0,0.19893,203.0,hazard point accepted zero compound events
2703759,Jequiá da Praia,AL,-10.0,-35.8,True,True,True,True,,0.0,0.0,20.0,20.0,True,9440,7790,False,0.624684,False,54.328047,0.0,0.176046,247.0,hazard point accepted zero compound events
2307254,Jijoca de Jericoacoara,CE,-2.8,-40.6,True,True,True,True,,0.0,0.0,14.0,14.0,True,25412,8931,False,0.414017,False,49.88575,0.0,0.138825,275.0,hazard point accepted zero compound events
2508604,Lucena,PB,-7.0,-34.8,True,True,True,True,,0.0,0.0,25.0,25.0,True,12403,12403,False,0.723451,False,62.151013,0.0,0.20003,201.0,hazard point accepted zero compound events
2106201,Luís Domingues,MA,-1.0,-45.8,True,True,True,True,,0.0,0.0,23.0,23.0,True,7169,6627,False,0.648772,False,71.17047,0.0,0.202412,199.0,hazard point accepted zero compound events
2407203,Macau,RN,-5.0,-36.6,True,True,True,True,,0.0,0.0,19.0,19.0,True,27383,25982,False,0.756824,False,40.916624,0.0,0.168708,259.0,hazard point accepted zero compound events
2704302,Maceió,AL,-9.6,-35.6,True,True,True,True,,0.0,0.0,19.0,19.0,True,956810,956710,False,0.997543,False,35.613252,0.0,0.179793,236.0,hazard point accepted zero compound events
