grid_lat,grid_lon,thr_hs_abs,thr_zos_abs,zos_mean,n_hs_episodes,n_zos_episodes,n_candidate_events,hat_m,n_rejected_by_hat,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-33.6,-52.8,2.32,0.359737,0.114688,580,665,289,0.646935,62,227,6.88,1.73,3.0,7.0,1.52,3.0,0.4156,0.8619,1.0,0.6062,1.6391,2.772
-33.6,-52.6,2.68,0.322467,0.107205,583,646,289,0.606629,70,219,6.64,1.81,4.0,6.0,1.55,3.0,0.4308,0.8878,1.0,0.6398,1.7386,2.9658
-33.4,-52.8,1.91,0.39731,0.117572,609,689,294,0.680058,67,227,6.88,1.66,3.0,7.0,1.47,3.0,0.4244,0.7919,1.0,0.5996,1.5089,2.3527
-33.4,-52.6,2.27,0.358655,0.11226,591,669,292,0.642206,62,230,6.97,1.7,3.0,7.0,1.49,3.0,0.404,0.8277,0.9994,0.59,1.5946,2.7911
-33.4,-52.4,2.61,0.312581,0.106819,586,631,283,0.587714,74,209,6.33,1.79,4.0,7.0,1.53,3.0,0.4039,0.8344,1.0,0.5946,1.6948,2.8517
-33.2,-52.6,1.87,0.393234,0.114643,601,687,268,0.663173,60,208,6.3,1.59,3.0,7.0,1.43,2.0,0.3979,0.768,0.9723,0.5589,1.4547,2.6598
-33.2,-52.4,2.3,0.347864,0.111139,595,659,265,0.613792,57,208,6.3,1.68,3.0,7.0,1.49,3.0,0.3933,0.7941,0.9602,0.5743,1.529,2.6074
-33.2,-52.2,2.68,0.298496,0.107004,598,610,271,0.559928,82,189,5.73,1.78,3.6,7.0,1.52,3.0,0.3912,0.8101,1.0,0.5814,1.6398,2.7137
-33.0,-52.4,1.86,0.370603,0.11458,600,675,227,0.633565,48,179,5.42,1.55,3.0,6.0,1.4,2.1,0.3606,0.7107,0.8452,0.4958,1.292,2.4891
-33.0,-52.2,2.47,0.325951,0.110431,584,636,246,0.586189,65,181,5.49,1.69,3.0,7.0,1.45,3.0,0.3853,0.8021,0.984,0.55,1.5168,2.5421
-32.8,-52.4,1.84,0.39022,0.11447,604,697,196,0.642113,43,153,4.64,1.48,3.0,6.0,1.35,2.0,0.3713,0.7194,0.8807,0.4896,1.231,2.6564
-32.8,-52.2,2.16,0.350609,0.112836,594,657,218,0.602867,54,164,4.97,1.6,3.0,6.0,1.41,2.85,0.3767,0.7413,0.8866,0.5202,1.3894,2.5588
-32.8,-52.0,2.6,0.310739,0.107181,593,613,242,0.555541,70,172,5.21,1.72,3.45,6.0,1.48,3.0,0.3928,0.7941,1.0,0.5715,1.6094,2.5753
-32.6,-52.2,2.04,0.363758,0.115166,604,670,186,0.61308,50,136,4.12,1.53,3.0,6.0,1.32,2.0,0.3715,0.7102,0.9208,0.4858,1.214,2.6343
-32.6,-52.0,2.51,0.327647,0.109348,583,633,226,0.570541,64,162,4.91,1.7,3.0,6.0,1.44,3.0,0.4023,0.8274,1.0,0.5702,1.5597,2.5365
-32.4,-52.2,1.88,0.38549,0.117442,583,686,180,0.612179,37,143,4.33,1.49,3.0,6.0,1.31,2.0,0.3638,0.7002,0.8353,0.4654,1.2291,2.0222
-32.4,-52.0,2.22,0.347667,0.110113,593,657,221,0.572813,47,174,5.27,1.55,3.0,5.0,1.34,3.0,0.3704,0.7703,0.9587,0.5027,1.3595,2.6992
-32.4,-51.8,2.57,0.314133,0.09879,594,625,245,0.530149,56,189,5.73,1.66,3.6,5.0,1.46,3.0,0.4018,0.858,1.0,0.5815,1.6363,2.6436
-32.2,-52.0,1.99,0.383239,0.114421,619,681,245,0.562711,42,203,6.15,1.49,3.0,5.0,1.35,2.9,0.3854,0.7546,1.0,0.5207,1.3651,2.717
-32.2,-51.8,2.21,0.346649,0.105251,601,651,256,0.522609,42,214,6.49,1.59,3.0,5.0,1.44,3.0,0.3906,0.7729,1.0,0.5566,1.4277,2.6932
