ibge_code,municipality,state,role,evidence_type,evidence,expectation_hazard,expectation_risk,rationale
4202008,Balneário Camboriú,SC,positive_control,documentary,"Beach nourishment of BRL 31 million in 2021; chronic erosion documented",high,ambiguous,"The most visible beach-nourishment case in Brazil. Hazard should be high: exposed central SC coast. Integrated risk is ambiguous by construction, because the municipality is among the wealthiest in the country and the vulnerability layer is a material-deprivation axis"
4208203,Itajaí,SC,positive_control,documentary,"Port access channel closed for 5 days by a ressaca; over BRL 1 million lost by shipowners",high,ambiguous,"Documented operational disruption. Hazard should be high. Risk is ambiguous: the loss is to assets and operations, a dimension this index does not measure"
4211306,Navegantes,SC,positive_control,documentary,"Same closure event; shoreline erosion documented",high,ambiguous,"Same sector and same event as Itajaí"
4208302,Itapema,SC,positive_control,documentary,"Central SC coast, same sector as the documented closures",high,ambiguous,"Weaker individual evidence than Itajaí; included because the baseline review treats the four SC municipalities as one failure block"
3301009,Campos dos Goytacazes,RJ,positive_control,literature,"Contains Farol de São Tomé, among the most documented erosion cases in Brazil",high,low,"Hazard should be high. Risk is expected LOW and that is not a failure: 483k residents with only ~9k in the effective coastal band, so the relative exposure term legitimately dominates. AUD-08 measures this as declared MAUP, not as error"
3203205,Linhares,ES,positive_control,literature,"Contains Regência, Rio Doce mouth; recurrent erosion and flooding",high,low,"Same mechanism as Campos dos Goytacazes"
3302700,Maricá,RJ,positive_control,literature,"Região dos Lagos: documented ressacas and erosion; published local coastal-flood vulnerability assessment",high,high,"Straight coast exposed to S/SW swell, narrow shelf, favourable orientation. Baseline review rates confidence HIGH with no suspected artefact"
3305505,Saquarema,RJ,positive_control,literature,"Região dos Lagos, as above",high,high,"As Maricá"
3300209,Araruama,RJ,positive_control,literature,"Região dos Lagos, as above",high,high,"As Maricá"
3550704,São Sebastião,SP,positive_control,literature,"North coast of São Paulo: ressaca history and the São Sebastião port",high,high,"Baseline review records the municipal maximum of hazard here, confidence HIGH, no suspected artefact"
3506359,Bertioga,SP,positive_control,literature,"North coast of São Paulo, as above",high,high,"As São Sebastião"
4318507,São José do Norte,RS,positive_control,literature,"RS is the best-studied Brazilian sector for surge-driven ressacas and erosion",high,high,"Maximum event frequency of the domain; phase random against spring tide. Confidence HIGH"
4315602,Rio Grande,RS,positive_control,literature,"Same sector; documented surge extremes and coastal erosion",high,high,"As São José do Norte"
4209409,Laguna,SC,positive_control,literature,"Exposed southern SC coast, high wave energy",high,high,"Included as an exposed-coast control against the sheltered SC cases"
2611606,Recife,PE,ambiguous_case,literature,"Chronic coastal erosion and urban occupation on the beach line; Gregório et al. (2017) measure opposite-signed shoreline trends between adjacent sectors of the same urban beach; Rocha (2018) attributes dune degradation primarily to poorly planned human action",ambiguous,ambiguous,"Deliberately NOT a positive control. The local damage mechanism is overtopping over the reef line at spring high tide, below the HAT gate and below the resolution of a 0.2 degree wave grid. A low value may be correct; the test is whether the mechanism is declared, not whether the value is high"
2609600,Olinda,PE,ambiguous_case,literature,"As Recife",ambiguous,ambiguous,"As Recife"
2607901,Jaboatão dos Guararapes,PE,ambiguous_case,literature,"As Recife",ambiguous,ambiguous,"As Recife"
1600303,Macapá,AP,negative_control,mechanism,"Grid point inside the Amazon estuary; thr_hs 0.51 m; zos contaminated by seasonal river discharge",low,low,"Should NOT rank high on compound wave-surge hazard. Baseline review confidence VERY LOW with a suspected artefact"
1502509,Chaves,PA,negative_control,mechanism,"thr_hs 0.24 m; normalised intensity 0.203, near the domain minimum; hotspot driven purely by SVI = 100",low,ambiguous,"Marajó erosion is documented but driven by tide and currents, not by compound wave-surge events. Hazard should be low; risk may still be high through vulnerability, which is legitimate but must be explained"
2105104,Icatu,MA,negative_control,mechanism,"Macrotidal ria coast of the Golfão Maranhense, tidal range to 7.1 m; events phase-locked to spring tide",low,ambiguous,"Hazard should be low for compound meteorological events. High risk driven by SVI is defensible only if the hazard component is honest"
2112407,Turiaçu,MA,negative_control,mechanism,"As Icatu",low,ambiguous,"As Icatu"
2100832,Apicum-Açu,MA,negative_control,mechanism,"As Icatu",low,ambiguous,"As Icatu"
2101103,Axixá,MA,negative_control,mechanism,"As Icatu",low,ambiguous,"As Icatu"
3302502,Magé,RJ,negative_control,mechanism,"Inner Guanabara Bay, sheltered from swell; receives an open-shelf point 35 km away",low,low,"These municipalities do flood, but fluvially and pluvially, not by wave. Baseline review: confidence VERY LOW, clear support error"
3301702,Duque de Caxias,RJ,negative_control,mechanism,"As Magé",low,low,"As Magé"
3301850,Guapimirim,RJ,negative_control,mechanism,"As Magé",low,low,"As Magé"
3303807,Paraty,RJ,negative_control,mechanism,"Baía da Ilha Grande, sheltered; recurrent flooding of the historic centre driven by spring tide plus rain, not swell",low,ambiguous,"Partial agreement only: the flooding is real, the mechanism is not the one detected"
4313508,Osório,RS,underestimation_watch,literature,"RS has the highest event frequency in the domain, yet the baseline review records this municipality as depressed by low SVI and low relative exposure",high,low,"Included to test whether the exposure-vulnerability compensation still acts against the physical evidence"
4317301,Santa Vitória do Palmar,RS,underestimation_watch,literature,"As Osório",high,low,"As Osório"
3301900,Itaboraí,RJ,underestimation_watch,mechanism,"223k residents, hazard 0.63, but the urban core sits back from the shore; the 1 km band counts zero residents",high,low,"Included to test the effective-population decision of AUD-08 at its worst case"
2605459,Fernando de Noronha,PE,coverage,mechanism,"Oceanic archipelago; 19 grid points over it, all rejecting 100 percent of candidates at the HAT gate",low,absent,"Absence must be a declared result, not a silent gap"
4207007,Içara,SC,coverage,mechanism,"No sea frontage since Balneário Rincão was split off it in 2003 and installed in 2013",absent,absent,"Absence must be correct by definition and declared as such"
