grid_lat,grid_lon,surge_q90_anomaly_cm,surge_q99_anomaly_cm,springneap_swing_cm,surge_q99_over_swing,zos_seasonal_amplitude_cm,zos_synoptic_residual_std_cm,seasonal_over_synoptic,latitude_band,hs_q99_m,wave_setup_proxy_cm,storm_component_cm,q_storm_over_tide,n_compound_zos,n_compound_ssh_total,rayleigh_R_compound_zos,rayleigh_p_compound_zos,rayleigh_R_compound_ssh_total,rayleigh_p_compound_ssh_total,branch,selected_R,selected_p,selected_locked
-35.0,-54.8,26.70471222341516,63.385493587856025,30.098847299814224,2.10591099906498,18.509886778042866,20.035065505946744,0.9238745325064606,RS,3.2799999713897705,65.59999942779541,128.98549301565143,4.285396438303056,357,335,0.0123668331925489,0.9469351065452064,0.0541758417410719,0.3743795002517597,keep_tide_SSH_total,0.0541758417410719,0.3743795002517597,False
-35.0,-54.6,23.50029709070272,56.83478870122962,33.54601636528969,1.6942336187505411,17.607706656943016,17.663669097383632,0.9968317771278388,RS,3.5847999191284137,71.69599838256828,128.5307870837979,3.8314769087392935,337,308,0.0175877638263831,0.901137465792917,0.0535508017142102,0.4137694119189722,keep_tide_SSH_total,0.0535508017142102,0.4137694119189722,False
-35.0,-54.4,20.523804686948115,49.74792899934887,36.422547698020935,1.3658552776650488,16.48336301296088,15.574377400700378,1.0583641701285358,RS,3.8399999141693115,76.79999828338623,126.5479272827351,3.474439194422724,329,301,0.0083496329710058,0.9773580220948164,0.0822875755132749,0.130261812372669,keep_tide_SSH_total,0.0822875755132749,0.130261812372669,False
-35.0,-54.2,18.443464564964717,44.22215073077433,38.768020272254944,1.14068632909849,15.533355899676096,13.964833821210904,1.112319423098526,RS,3.9800000190734863,79.60000038146973,123.82215111224406,3.1939250506650114,317,288,0.0115089329878006,0.9589430435035404,0.1112674303258851,0.028143435751445,keep_tide_SSH_total,0.1112674303258851,0.028143435751445,False
-35.0,-54.0,16.65911945235981,39.82267054450764,40.94554781913757,0.9725763279663556,14.881190713407866,12.631303928233867,1.178119915248416,RS,4.090000152587891,81.80000305175781,121.62267359626546,2.970351602901748,311,263,0.0328960430089534,0.7145527415339418,0.1468525728263116,0.0033735466556593,keep_tide_SSH_total,0.1468525728263116,0.0033735466556593,True
-34.8,-54.4,27.11002901893137,64.56925073962681,35.60515306890011,1.8134804985861963,18.965528404121933,20.17361342220085,0.9401155859986176,RS,3.3447999095916705,66.89599819183341,131.46524893146022,3.692309612517595,336,314,0.0185921010626242,0.8904920516311549,0.0647448295611893,0.2683303765235683,keep_tide_SSH_total,0.0647448295611893,0.2683303765235683,False
-34.8,-54.2,23.98511675873885,57.49310223141798,38.50049898028374,1.4933079766280544,18.054147072907742,18.03341663866595,1.0011495566623434,RS,3.7100000381469727,74.20000076293945,131.69310299435745,3.4205557455709346,330,301,0.010459514805856,0.9645932309134916,0.085258293336791,0.1121067226389057,keep_tide_SSH_total,0.085258293336791,0.1121067226389057,False
-34.8,-54.0,20.74834962338605,50.08420439213898,41.11306890845299,1.2182064176153362,16.672505606024014,15.763068093935594,1.0576941942183389,RS,3.940000057220459,78.80000114440918,128.88420553654817,3.1348719265773206,311,281,0.0195454156458623,0.8881366796721645,0.0911261398241859,0.0968966327370824,keep_tide_SSH_total,0.0911261398241859,0.0968966327370824,False
-34.8,-53.8,18.056293876359103,43.46456626195628,42.78350919485092,1.015918681751971,15.299851315901403,13.734350035812138,1.113984373196201,RS,4.104800014495845,82.0960002899169,125.56056655187318,2.934788868767797,302,259,0.0236649097335385,0.8446168687188894,0.1139180194730796,0.0345424138563994,keep_tide_SSH_total,0.1139180194730796,0.0345424138563994,False
-34.8,-53.6,15.730945004930224,37.21870340298623,43.98342818021774,0.8461983283905538,14.340842365744711,11.888129537237552,1.2063161257474908,RS,4.304800071716304,86.09600143432608,123.31470483731232,2.803662878028573,295,245,0.0336951595705057,0.715724722797858,0.1403678357022193,0.007896526978423,keep_tide_SSH_total,0.1403678357022193,0.007896526978423,True
