municipality_name,state,compound_c,mean_overl,mean_compo,Hazard_Index,frequency_minmax,duration_minmax,intensity_minmax,hazard_former_count_only,hazard_current_multimetric_raw,hazard_current_multimetric,hazard_count_only_minus_multimetric
Canavieiras,BA,67.000000,1.750000,0.289500,0.199934,0.086022,0.392000,0.355655,0.064257,0.277892,0.199934,-0.135677
Una,BA,60.000000,1.830000,0.327900,0.269379,0.060932,0.456000,0.416733,0.036145,0.311222,0.269379,-0.233234
Ilhéus,BA,61.000000,1.770000,0.347500,0.260184,0.064516,0.408000,0.447908,0.040161,0.306808,0.260184,-0.220023
Uruçuca,BA,58.000000,1.880000,0.387900,0.358464,0.053763,0.496000,0.512168,0.028112,0.353977,0.358464,-0.330352
Maraú,BA,65.000000,1.830000,0.352700,0.309223,0.078853,0.456000,0.456179,0.056225,0.330344,0.309223,-0.252998
Camamu,BA,63.000000,1.920000,0.342200,0.342651,0.071685,0.528000,0.439478,0.048193,0.346388,0.342651,-0.294458
Cairu,BA,64.000000,1.940000,0.332700,0.345758,0.075269,0.544000,0.424368,0.052209,0.347879,0.345758,-0.293549
Valença,BA,66.000000,1.890000,0.330500,0.320525,0.082437,0.504000,0.420868,0.060241,0.335769,0.320525,-0.260284
Jaguaripe,BA,67.000000,1.970000,0.413300,0.458935,0.086022,0.568000,0.552569,0.064257,0.402197,0.458935,-0.394678
Salvador,BA,66.000000,2.120000,0.410800,0.537027,0.082437,0.688000,0.548592,0.060241,0.439677,0.537027,-0.476786
Lauro de Freitas,BA,63.000000,1.980000,0.433200,0.476517,0.071685,0.576000,0.584221,0.048193,0.410635,0.476517,-0.428324
Camaçari,BA,61.000000,2.000000,0.427700,0.476575,0.064516,0.592000,0.575473,0.040161,0.410663,0.476575,-0.436414
Mata de São João,BA,60.000000,1.950000,0.423300,0.441444,0.060932,0.552000,0.568475,0.036145,0.393802,0.441444,-0.405299
Entre Rios,BA,63.000000,1.940000,0.340700,0.352106,0.071685,0.544000,0.437092,0.048193,0.350926,0.352106,-0.303913
Esplanada,BA,61.000000,1.970000,0.388200,0.416270,0.064516,0.568000,0.512645,0.040161,0.381720,0.416270,-0.376109
Conde,BA,59.000000,1.860000,0.427700,0.393809,0.057348,0.480000,0.575473,0.032129,0.370940,0.393809,-0.361680
Jandaíra,BA,64.000000,1.890000,0.401200,0.393650,0.075269,0.504000,0.533323,0.052209,0.370864,0.393650,-0.341441
Estância,SE,58.000000,1.980000,0.365800,0.389613,0.053763,0.576000,0.477016,0.028112,0.368927,0.389613,-0.361501
Itaporanga d'Ajuda,SE,54.000000,2.020000,0.395200,0.434359,0.039427,0.608000,0.523779,0.012048,0.390402,0.434359,-0.422311
Aracaju,SE,53.000000,2.110000,0.273600,0.347543,0.035842,0.680000,0.330364,0.008032,0.348736,0.347543,-0.339511
Barra dos Coqueiros,SE,56.000000,2.120000,0.319200,0.410942,0.046595,0.688000,0.402895,0.020080,0.379163,0.410942,-0.390862
Pirambu,SE,51.000000,2.080000,0.425000,0.493149,0.028674,0.656000,0.571179,0.000000,0.418617,0.493149,-0.493149
Pacatuba,SE,52.000000,2.190000,0.373700,0.500085,0.032258,0.744000,0.489582,0.004016,0.421947,0.500085,-0.496069
Piaçabuçu,AL,53.000000,1.940000,0.377200,0.367535,0.035842,0.544000,0.495149,0.008032,0.358330,0.367535,-0.359503
Coruripe,AL,56.000000,1.930000,0.395900,0.390105,0.046595,0.536000,0.524893,0.020080,0.369163,0.390105,-0.370025
Jequiá da Praia,AL,55.000000,1.870000,0.394000,0.352179,0.043011,0.488000,0.521871,0.016064,0.350960,0.352179,-0.336115
Marechal Deodoro,AL,54.000000,1.980000,0.427600,0.447926,0.039427,0.576000,0.575314,0.012048,0.396914,0.447926,-0.435878
