grid_lat,grid_lon,compound_count_total,mean_overlap_duration,mean_compound_intensity_norm,compound_count_annual_mean,Hazard_Frequency,Hazard_Duration,Hazard_Intensity,Hazard_Index_raw,Hazard_Index,frequency_minmax,duration_minmax,intensity_minmax,hazard_former_count_only,hazard_current_multimetric_raw,hazard_current_multimetric,hazard_count_only_minus_multimetric
-35.000000,-54.800000,322,1.580000,0.334600,9.760000,1.000000,0.256000,0.427390,0.561130,0.790086,1.000000,0.256000,0.427390,1.000000,0.561130,0.790086,0.209914
-35.000000,-54.600000,294,1.620000,0.380100,8.910000,0.899642,0.288000,0.499761,0.562468,0.792874,0.899642,0.288000,0.499761,0.899642,0.562468,0.792874,0.106768
-35.000000,-54.400000,291,1.560000,0.403300,8.820000,0.888889,0.240000,0.536663,0.555184,0.777697,0.888889,0.240000,0.536663,0.888889,0.555184,0.777697,0.111192
-35.000000,-54.200000,276,1.550000,0.420700,8.360000,0.835125,0.232000,0.564339,0.543822,0.754023,0.835125,0.232000,0.564339,0.835125,0.543822,0.754023,0.081103
-35.000000,-54.000000,252,1.580000,0.433700,7.640000,0.749104,0.256000,0.585017,0.530040,0.725308,0.749104,0.256000,0.585017,0.749104,0.530040,0.725308,0.023796
-34.800000,-54.400000,302,1.520000,0.355400,9.150000,0.928315,0.208000,0.460474,0.532263,0.729940,0.928315,0.208000,0.460474,0.928315,0.532263,0.729940,0.198376
-34.800000,-54.200000,288,1.560000,0.404300,8.730000,0.878136,0.240000,0.538254,0.552130,0.771334,0.878136,0.240000,0.538254,0.878136,0.552130,0.771334,0.106802
-34.800000,-54.000000,270,1.600000,0.429900,8.180000,0.813620,0.272000,0.578972,0.554864,0.777031,0.813620,0.272000,0.578972,0.813620,0.554864,0.777031,0.036589
-34.800000,-53.800000,247,1.610000,0.448200,7.490000,0.731183,0.280000,0.608080,0.539754,0.745548,0.731183,0.280000,0.608080,0.731183,0.539754,0.745548,-0.014366
-34.800000,-53.600000,235,1.600000,0.458700,7.120000,0.688172,0.272000,0.624781,0.528318,0.721719,0.688172,0.272000,0.624781,0.688172,0.528318,0.721719,-0.033547
-34.600000,-54.000000,270,1.580000,0.383800,8.180000,0.813620,0.256000,0.505647,0.525089,0.714992,0.813620,0.256000,0.505647,0.813620,0.525089,0.714992,0.098629
-34.600000,-53.800000,259,1.620000,0.418200,7.850000,0.774194,0.288000,0.560363,0.540852,0.747836,0.774194,0.288000,0.560363,0.774194,0.540852,0.747836,0.026358
-34.600000,-53.600000,258,1.600000,0.450800,7.820000,0.770609,0.272000,0.612216,0.551608,0.770247,0.770609,0.272000,0.612216,0.770609,0.551608,0.770247,0.000362
-34.600000,-53.400000,240,1.580000,0.464000,7.270000,0.706093,0.256000,0.633211,0.531768,0.728908,0.706093,0.256000,0.633211,0.706093,0.531768,0.728908,-0.022815
-34.400000,-53.800000,287,1.490000,0.223300,8.700000,0.874552,0.184000,0.250358,0.436303,0.529999,0.874552,0.184000,0.250358,0.874552,0.436303,0.529999,0.344553
-34.400000,-53.600000,253,1.570000,0.372100,7.670000,0.752688,0.248000,0.487037,0.495908,0.654191,0.752688,0.248000,0.487037,0.752688,0.495908,0.654191,0.098497
-34.400000,-53.400000,249,1.560000,0.443500,7.550000,0.738351,0.240000,0.600604,0.526319,0.717554,0.738351,0.240000,0.600604,0.738351,0.526319,0.717554,0.020798
-34.200000,-53.600000,237,1.430000,0.306200,7.180000,0.695341,0.136000,0.382217,0.404519,0.463774,0.695341,0.136000,0.382217,0.695341,0.404519,0.463774,0.231567
-34.200000,-53.400000,251,1.550000,0.413600,7.610000,0.745520,0.232000,0.553046,0.510189,0.683945,0.745520,0.232000,0.553046,0.745520,0.510189,0.683945,0.061574
-34.200000,-53.200000,244,1.580000,0.453700,7.390000,0.720430,0.256000,0.616828,0.531086,0.727487,0.720430,0.256000,0.616828,0.720430,0.531086,0.727487,-0.007057
-34.000000,-53.400000,238,1.490000,0.360200,7.210000,0.698925,0.184000,0.468109,0.450345,0.559255,0.698925,0.184000,0.468109,0.698925,0.450345,0.559255,0.139670
-34.000000,-53.200000,252,1.540000,0.415900,7.640000,0.749104,0.224000,0.556704,0.509936,0.683419,0.749104,0.224000,0.556704,0.749104,0.509936,0.683419,0.065685
-34.000000,-53.000000,247,1.610000,0.462600,7.490000,0.731183,0.280000,0.630985,0.547389,0.761456,0.731183,0.280000,0.630985,0.731183,0.547389,0.761456,-0.030273
-33.800000,-53.400000,241,1.390000,0.261900,7.300000,0.709677,0.104000,0.311754,0.375144,0.402567,0.709677,0.104000,0.311754,0.709677,0.375144,0.402567,0.307110
