municipality_code,municipality_name,state,grid_lat,grid_lon,distance_to_polygon_km
2109403,Primeira Cruz,MA,-2.2,-43.4,15.242
2109452,Raposa,MA,-2.4,-44.2,6.483
2109601,Rosário,MA,-2.4,-44.0,44.489
2110203,Santa Rita,MA,-2.4,-44.0,77.049
2110278,Santo Amaro do Maranhão,MA,-2.4,-42.8,24.68
2111003,São João Batista,MA,-2.4,-44.2,74.438
2111201,São José de Ribamar,MA,-2.4,-44.2,7.116
2111300,São Luís,MA,-2.4,-44.2,8.381
2111789,Serrano do Maranhão,MA,-1.4,-44.8,23.921
2112407,Turiaçu,MA,-1.4,-45.2,10.974
2112506,Tutóia,MA,-2.6,-42.4,12.618
2202083,Cajueiro da Praia,PI,-2.8,-41.4,11.781
2204659,Ilha Grande,PI,-2.8,-41.6,17.939
2205706,Luís Correia,PI,-2.8,-41.6,9.141
2207702,Parnaíba,PI,-2.8,-41.6,9.01
2300200,Acaraú,CE,-2.8,-40.2,1.251
2300754,Amontada,CE,-2.8,-39.6,24.442
2301000,Aquiraz,CE,-3.8,-38.2,18.408
2301109,Aracati,CE,-4.400000000000001,-37.6,17.561
2302057,Barroquinha,CE,-2.8,-41.2,9.993
2302206,Beberibe,CE,-4.2,-37.8,19.766
2302602,Camocim,CE,-2.8,-40.8,6.635
2303501,Cascavel,CE,-4.0,-38.0,19.968
2303709,Caucaia,CE,-3.6,-38.6,10.245
2304251,Cruz,CE,-2.8,-40.4,1.543
2304400,Fortaleza,CE,-3.8,-38.2,22.542
2304459,Fortim,CE,-4.400000000000001,-37.6,18.602
2305357,Icapuí,CE,-4.6,-37.4,8.171
2306405,Itapipoca,CE,-3.0,-39.4,16.681
2306553,Itarema,CE,-2.8,-39.8,13.304
2307254,Jijoca de Jericoacoara,CE,-2.8,-40.6,4.41
2310209,Paracuru,CE,-3.8,-38.2,89.167
2310258,Paraipaba,CE,-3.2,-39.0,20.974
2312403,São Gonçalo do Amarante,CE,-3.8,-38.2,73.291
2313500,Trairi,CE,-3.2,-39.2,5.549
2401107,Areia Branca,RN,-4.8,-37.0,5.319
2401404,Baía Formosa,RN,-6.4,-34.8,19.391
2401859,Caiçara do Norte,RN,-5.0,-36.2,14.299
2402204,Canguaretama,RN,-6.2,-35.0,10.73
2402600,Ceará-Mirim,RN,-5.6,-35.0,24.925
2403251,Parnamirim,RN,-5.8,-35.0,20.522
2403608,Extremoz,RN,-5.6,-35.0,24.019
2404101,Galinhos,RN,-5.0,-36.2,11.018
2404408,Grossos,RN,-4.8,-37.2,9.672
2404507,Guamaré,RN,-5.0,-36.2,16.857
2407203,Macau,RN,-5.0,-36.6,9.136
2407500,Maxaranguape,RN,-5.4,-35.2,10.701
2408102,Natal,RN,-5.8,-35.0,19.593
2408201,Nísia Floresta,RN,-6.2,-35.0,12.909
2408953,Rio do Fogo,RN,-5.4,-35.2,14.134
2409506,Pedra Grande,RN,-4.8,-35.8,31.705
2410256,Porto do Mangue,RN,-4.8,-36.8,20.844
2411056,Tibau,RN,-4.8,-37.2,6.838
2411601,São Bento do Norte,RN,-4.8,-36.0,28.119
2412559,São Miguel do Gostoso,RN,-5.0,-35.6,13.373
2413201,Senador Georgino Avelino,RN,-6.2,-35.0,10.57
2414209,Tibau do Sul,RN,-6.2,-35.0,5.599
2414407,Touros,RN,-5.2,-35.4,3.064
2501401,Baía da Traição,PB,-6.8,-34.8,17.212
2503209,Cabedelo,PB,-7.0,-34.8,2.789
2504603,Conde,PB,-7.4,-34.6,22.107
2507507,João Pessoa,PB,-7.6,-34.8,41.358
2508604,Lucena,PB,-7.0,-34.8,7.026
2509057,Marcação,PB,-6.8,-34.8,14.304
2509305,Mataraca,PB,-6.6,-34.8,18.246
2511905,Pitimbu,PB,-7.4,-34.6,22.427
2512903,Rio Tinto,PB,-6.8,-34.8,12.587
2513703,Santa Rita,PB,-7.0,-34.8,7.375
2601409,Barreiros,PE,-8.800000000000002,-35.0,11.396
2602902,Cabo de Santo Agostinho,PE,-8.4,-34.8,16.387
2606200,Goiana,PE,-7.6,-34.8,1.96
2606804,Igarassu,PE,-7.8,-34.8,5.327
2607208,Ipojuca,PE,-8.800000000000002,-35.0,22.852
2607604,Ilha de Itamaracá,PE,-7.8,-34.8,4.064
2607901,Jaboatão dos Guararapes,PE,-8.2,-34.8,12.782
2609600,Olinda,PE,-8.0,-34.8,4.106
2610707,Paulista,PE,-8.0,-34.8,5.684
2611606,Recife,PE,-8.2,-34.8,13.086
2613404,São José da Coroa Grande,PE,-9.0,-35.0,19.567
2614204,Sirinhaém,PE,-8.800000000000002,-35.0,15.987
2614857,Tamandaré,PE,-8.800000000000002,-35.0,11.278
2700508,Barra de Santo Antônio,AL,-9.6,-35.6,20.069
2700607,Barra de São Miguel,AL,-10.0,-35.8,20.297
2702306,Coruripe,AL,-10.2,-36.0,14.464
2702702,Feliz Deserto,AL,-10.4,-36.2,12.829
2703601,Japaratinga,AL,-9.2,-35.2,10.937
2703759,Jequiá da Praia,AL,-10.0,-35.8,19.132
2704302,Maceió,AL,-9.6,-35.6,6.32
2704500,Maragogi,AL,-9.0,-35.0,19.389
2704708,Marechal Deodoro,AL,-9.8,-35.8,5.513
2706448,Paripueira,AL,-9.6,-35.6,13.837
2706505,Passo de Camaragibe,AL,-9.6,-35.6,31.405
2706802,Piaçabuçu,AL,-10.4,-36.2,11.496
2707404,Porto de Pedras,AL,-9.2,-35.2,10.945
2707800,Roteiro,AL,-10.0,-35.8,18.622
2708709,São Miguel dos Milagres,AL,-9.6,-35.6,43.279
2800308,Aracaju,SE,-11.0,-37.0,4.512
2800605,Barra dos Coqueiros,SE,-10.8,-36.8,8.648
2800704,Brejo Grande,SE,-10.6,-36.6,11.685
2802106,Estância,SE,-11.4,-37.2,11.645
2803203,Itaporanga d'Ajuda,SE,-11.2,-37.0,17.45
2804904,Pacatuba,SE,-10.6,-36.6,1.873
2805307,Pirambu,SE,-10.8,-36.6,20.962
2900801,Alcobaça,BA,-17.6,-39.0,17.433
2903409,Belmonte,BA,-16.0,-38.8,11.74
2905404,Cairu,BA,-13.6,-38.8,10.892
2905701,Camaçari,BA,-12.8,-38.0,16.959
2905800,Camamu,BA,-13.8,-38.8,15.472
2906303,Canavieiras,BA,-15.6,-38.8,15.032
2906907,Caravelas,BA,-17.8,-39.0,19.05
2908606,Conde,BA,-12.0,-37.4,23.083
2910503,Entre Rios,BA,-12.4,-37.8,7.981
2910602,Esplanada,BA,-12.2,-37.6,13.849
2913457,Igrapiúna,BA,-13.8,-38.8,18.98
2913606,Ilhéus,BA,-15.0,-38.8,21.125
2914901,Itacaré,BA,-14.4,-38.8,22.115
2917300,Ituberá,BA,-13.8,-38.8,19.231
2917805,Jaguaripe,BA,-13.2,-38.6,22.583
2917904,Jandaíra,BA,-11.6,-37.4,3.91
2919207,Lauro de Freitas,BA,-13.0,-38.2,15.254
2920700,Maraú,BA,-14.0,-38.8,14.883
2921005,Mata de São João,BA,-12.6,-37.8,20.644
2922003,Mucuri,BA,-18.2,-39.4,19.33
2922607,Nilo Peçanha,BA,-13.8,-38.8,21.869
2923001,Nova Viçosa,BA,-18.0,-39.4,7.533
2925303,Porto Seguro,BA,-16.6,-39.0,9.402
2925501,Prado,BA,-17.2,-39.0,21.799
2927408,Salvador,BA,-13.0,-38.4,3.265
2927705,Santa Cruz Cabrália,BA,-16.2,-38.8,12.948
2932507,Una,BA,-15.2,-38.8,21.117
2932705,Uruçuca,BA,-14.4,-38.8,23.571
2932903,Valença,BA,-13.4,-38.8,16.37
2933208,Vera Cruz,BA,-13.2,-38.6,19.383
3200409,Anchieta,ES,-21.0,-40.8,21.311
3200607,Aracruz,ES,-19.8,-40.0,3.62
3201605,Conceição da Barra,ES,-18.6,-39.6,13.508
3202207,Fundão,ES,-20.0,-40.0,16.22
3202405,Guarapari,ES,-20.6,-40.4,0.471
3202801,Itapemirim,ES,-21.0,-40.8,1.071
3203205,Linhares,ES,-19.4,-39.6,10.711
3203320,Marataízes,ES,-21.0,-40.8,0.328
3204203,Piúma,ES,-21.0,-40.8,12.709
3204302,Presidente Kennedy,ES,-21.2,-40.8,13.139
3204906,São Mateus,ES,-18.8,-39.6,15.653
3205002,Serra,ES,-20.4,-40.2,17.721
3205200,Vila Velha,ES,-20.4,-40.2,7.489
3205309,Vitória,ES,-20.4,-40.2,11.947
3300100,Angra dos Reis,RJ,-23.2,-44.2,0.228
3300209,Araruama,RJ,-23.0,-42.4,7.487
3300233,Armação dos Búzios,RJ,-22.8,-41.8,3.253
3300258,Arraial do Cabo,RJ,-23.0,-42.2,6.323
3300704,Cabo Frio,RJ,-23.0,-42.0,8.459
3300936,Carapebus,RJ,-22.4,-41.6,14.458
3301009,Campos dos Goytacazes,RJ,-22.0,-40.8,18.427
3301306,Casimiro de Abreu,RJ,-22.6,-41.8,18.739
3301702,Duque de Caxias,RJ,-23.0,-43.0,35.222
3301850,Guapimirim,RJ,-23.0,-43.0,30.295
3301900,Itaboraí,RJ,-23.0,-43.0,18.93
3302007,Itaguaí,RJ,-23.0,-44.0,13.375
3302403,Macaé,RJ,-22.4,-41.6,8.779
3302502,Magé,RJ,-23.0,-43.0,34.632
3302601,Mangaratiba,RJ,-23.0,-44.0,2.98
3302700,Maricá,RJ,-23.0,-42.8,4.391
3303302,Niterói,RJ,-23.0,-43.0,2.953
3303807,Paraty,RJ,-23.2,-44.4,14.803
3304151,Quissamã,RJ,-22.2,-41.4,1.205
3304524,Rio das Ostras,RJ,-22.6,-41.8,13.256
3304557,Rio de Janeiro,RJ,-23.0,-43.4,0.0
3304755,São Francisco de Itabapoana,RJ,-21.6,-40.8,22.101
3304904,São Gonçalo,RJ,-23.0,-43.0,10.344
3305000,São João da Barra,RJ,-21.8,-40.8,20.796
3305505,Saquarema,RJ,-23.0,-42.6,7.465
3506359,Bertioga,SP,-23.8,-45.8,6.363
3509908,Cananéia,SP,-25.2,-47.8,9.597
3510500,Caraguatatuba,SP,-23.6,-45.2,7.472
3518701,Guarujá,SP,-24.0,-46.2,0.089
3520301,Iguape,SP,-24.6,-47.2,4.213
3520400,Ilhabela,SP,-23.8,-45.4,3.137
3520426,Ilha Comprida,SP,-25.0,-47.8,4.971
3522109,Itanhaém,SP,-24.2,-46.6,10.051
3531100,Mongaguá,SP,-24.2,-46.6,11.031
3537602,Peruíbe,SP,-24.4,-46.8,18.697
3541000,Praia Grande,SP,-24.0,-46.4,0.0
3548500,Santos,SP,-24.0,-46.4,5.503
3550704,São Sebastião,SP,-23.8,-45.6,0.275
3551009,São Vicente,SP,-24.0,-46.4,0.803
3555406,Ubatuba,SP,-23.6,-45.0,6.122
4109500,Guaraqueçaba,PR,-25.4,-48.0,13.688
4109609,Guaratuba,PR,-26.0,-48.4,19.611
4115705,Matinhos,PR,-26.0,-48.4,17.51
4118204,Paranaguá,PR,-25.6,-48.2,10.586
4119954,Pontal do Paraná,PR,-25.6,-48.4,0.0
4201307,Araquari,SC,-26.6,-48.6,6.758
4201406,Araranguá,SC,-29.0,-49.2,15.447
4201950,Balneário Arroio do Silva,SC,-29.0,-49.4,1.69
4202008,Balneário Camboriú,SC,-27.0,-48.4,16.812
4202057,Balneário Barra do Sul,SC,-26.6,-48.6,7.738
4202073,Balneário Gaivota,SC,-29.2,-49.4,16.042
4202107,Barra Velha,SC,-26.6,-48.6,6.798
4202305,Biguaçu,SC,-27.4,-48.4,19.276
4202453,Bombinhas,SC,-27.2,-48.4,1.559
4205407,Florianópolis,SC,-27.8,-48.4,5.321
4205704,Garopaba,SC,-28.0,-48.4,19.737
4206009,Governador Celso Ramos,SC,-27.4,-48.4,12.522
4207304,Imbituba,SC,-28.2,-48.6,5.602
4208203,Itajaí,SC,-27.0,-48.4,23.091
4208302,Itapema,SC,-27.2,-48.4,19.38
4208450,Itapoá,SC,-26.2,-48.4,17.306
4208807,Jaguaruna,SC,-28.8,-49.0,10.473
4209409,Laguna,SC,-28.6,-48.8,1.191
4211306,Navegantes,SC,-27.0,-48.4,25.351
4211900,Palhoça,SC,-27.8,-48.4,17.673
4212254,Passo de Torres,SC,-29.4,-49.6,13.733
4212304,Paulo Lopes,SC,-28.0,-48.4,15.323
4212502,Penha,SC,-26.8,-48.4,18.301
4212809,Balneário Piçarras,SC,-26.8,-48.4,26.186
4213500,Porto Belo,SC,-27.2,-48.4,13.392
4216206,São Francisco do Sul,SC,-26.4,-48.4,12.413
4216602,São José,SC,-27.8,-48.4,25.158
4218004,Tijucas,SC,-27.2,-48.4,20.13
4220000,Balneário Rincão,SC,-29.0,-49.2,15.677
4301057,Arroio do Sal,RS,-29.6,-49.8,9.705
4301636,Balneário Pinhal,RS,-30.2,-50.0,21.947
4304630,Capão da Canoa,RS,-29.6,-49.8,13.246
4305454,Cidreira,RS,-30.2,-50.0,19.182
4310330,Imbé,RS,-30.0,-50.0,11.619
4312500,Mostardas,RS,-31.0,-50.6,7.676
4313508,Osório,RS,-30.0,-50.0,13.69
4313656,Palmares do Sul,RS,-30.4,-50.2,8.063
4315602,Rio Grande,RS,-32.4,-52.2,10.909
4317301,Santa Vitória do Palmar,RS,-33.6,-53.0,11.073
4318507,São José do Norte,RS,-32.0,-51.8,8.769
4321352,Tavares,RS,-31.2,-50.8,4.165
4321436,Terra de Areia,RS,-29.6,-49.8,11.861
4321501,Torres,RS,-29.4,-49.6,11.64
4321600,Tramandaí,RS,-30.0,-50.0,11.754
4323804,Xangri-lá,RS,-30.0,-50.0,16.714
