municipality_code,municipality_name,state,grid_lat,grid_lon,distance_to_polygon_km
1500909,Augusto Corrêa,PA,-0.8,-46.4,7.872
1501709,Bragança,PA,-0.8,-46.6,2.185
1502509,Chaves,PA,0.0,-50.4,3.528
1502608,Colares,PA,-1.4,-48.6,49.709
1502905,Curuçá,PA,-0.4,-47.8,17.307
1504109,Magalhães Barata,PA,-0.4,-47.6,33.144
1504307,Maracanã,PA,-0.4,-47.6,19.586
1504406,Marapanim,PA,-0.4,-47.6,18.884
1506112,Quatipuru,PA,-0.6,-47.0,11.927
1506203,Salinópolis,PA,-0.6,-47.2,8.653
1506302,Salvaterra,PA,-0.8,-48.4,11.284
1507102,São Caetano de Odivelas,PA,-0.6,-48.0,6.989
1507474,São João de Pirabas,PA,-0.6,-47.2,4.162
1507904,Soure,PA,-0.2,-48.4,4.324
1508035,Tracuateua,PA,-0.6,-46.8,16.487
1508209,Vigia,PA,-1.4,-48.6,61.108
1508308,Viseu,PA,-1.0,-46.0,8.737
1600105,Amapá,AP,1.4,-49.8,8.714
1600204,Calçoene,AP,2.6,-50.8,4.89
1600303,Macapá,AP,0.8,-50.2,0.0
1600501,Oiapoque,AP,4.2,-51.2,4.609
2100204,Alcântara,MA,-2.4,-44.2,18.793
2100832,Apicum-Açu,MA,-1.4,-45.0,8.243
2100907,Araioses,MA,-2.6,-41.8,14.472
2101103,Axixá,MA,-2.4,-44.0,39.577
2101251,Bacabeira,MA,-2.4,-44.0,51.668
2101301,Bacuri,MA,-1.4,-45.2,9.869
2101350,Bacurituba,MA,-2.4,-44.2,45.152
2101707,Barreirinhas,MA,-2.4,-42.8,15.792
2101905,Bequimão,MA,-2.4,-44.2,49.838
2102408,Cajapió,MA,-2.4,-44.2,48.135
2102606,Cândido Mendes,MA,-1.4,-45.2,24.497
2102903,Carutapera,MA,-1.0,-45.8,8.417
2103109,Cedral,MA,-1.8,-44.4,15.965
2103703,Cururupu,MA,-1.4,-44.8,4.603
2104305,Godofredo Viana,MA,-1.2,-45.6,2.951
2104909,Guimarães,MA,-2.0,-44.4,10.494
2105005,Humberto de Campos,MA,-2.2,-43.6,6.067
2105104,Icatu,MA,-2.4,-44.0,15.264
2106201,Luís Domingues,MA,-1.0,-45.8,13.832
2107506,Paço do Lumiar,MA,-2.4,-44.2,7.086
2108058,Paulino Neves,MA,-2.6,-42.4,14.451
2109056,Porto Rico do Maranhão,MA,-1.8,-44.4,15.047
