grid_lat_legacy,grid_lon_legacy,compound_count_total_legacy,mean_overlap_duration_legacy,mean_compound_intensity_norm_legacy,compound_count_annual_mean_legacy,mean_compound_intensity_norm_abspeak,Hazard_Frequency_legacy,Hazard_Duration_legacy,Hazard_Intensity_legacy,Hazard_Index_raw_legacy,Hazard_Index_legacy,grid_lat_mhws,grid_lon_mhws,compound_count_total_mhws,mean_overlap_duration_mhws,mean_compound_intensity_norm_mhws,compound_count_annual_mean_mhws,Hazard_Frequency_mhws,Hazard_Duration_mhws,Hazard_Intensity_mhws,Hazard_Index_raw_mhws,Hazard_Index_mhws,band
-35.0,-54.8,322,1.58,0.4849,9.76,0.3346,1.0,0.2560000000000001,0.9274596182085167,0.7278198727361723,1.0,-35.0,-54.8,344,1.56,0.5544,10.43,1.0,0.03769633507853404,0.8752941176470589,0.6376634842418643,1.0,RS
-35.0,-54.6,294,1.62,0.5044,8.91,0.3801,0.899641577060932,0.28800000000000014,0.984728340675477,0.7241233059121365,0.9936374073744996,-35.0,-54.6,323,1.59,0.5567,9.79,0.9373134328358209,0.04083769633507854,0.8798039215686274,0.6193183502465089,0.9693381522563261,RS
-35.0,-54.4,291,1.56,0.4842,8.82,0.4033,0.8888888888888888,0.24000000000000007,0.9254038179148312,0.6847642356012399,0.9258919174571136,-35.0,-54.4,317,1.57,0.5493,9.61,0.9194029850746268,0.03874345549738221,0.8652941176470589,0.607813519406356,0.9501091091963623,RS
-35.0,-54.2,276,1.55,0.4766,8.36,0.4207,0.8351254480286738,0.23200000000000007,0.9030837004405285,0.6567363828230675,0.8776499086192173,-35.0,-54.2,307,1.56,0.5441,9.3,0.8895522388059701,0.03769633507853404,0.8550980392156864,0.5941155377000635,0.9272144587904122,RS
-35.0,-54.0,252,1.58,0.4762,7.64,0.4337,0.7491039426523297,0.2560000000000001,0.9019089574155654,0.6356709666892985,0.8413917621481942,-35.0,-54.0,295,1.63,0.5363,8.94,0.8537313432835821,0.04502617801047119,0.8398039215686275,0.5795204809542269,0.9028204473940155,RS
-34.8,-54.4,302,1.52,0.4938,9.15,0.3554,0.9283154121863799,0.20800000000000005,0.95359765051395,0.6966376875667767,0.9463287015087214,-34.8,-54.4,325,1.54,0.5741,9.85,0.9432835820895522,0.035602094240837705,0.9139215686274511,0.6309357483192803,0.988755338905121,RS
-34.8,-54.2,288,1.56,0.5048,8.73,0.4043,0.8781362007168458,0.24000000000000007,0.9859030837004404,0.7013464281390954,0.9544334645136873,-34.8,-54.2,315,1.58,0.5813,9.55,0.9134328358208955,0.03979057591623038,0.9280392156862746,0.6270875424744667,0.9823234915427707,RS
-34.8,-54.0,270,1.6,0.5017,8.18,0.4299,0.8136200716845878,0.27200000000000013,0.976798825256975,0.6874729656471876,0.9305542289031711,-34.8,-54.0,298,1.62,0.5776,9.03,0.8626865671641791,0.04397905759162305,0.9207843137254902,0.6091499794937641,0.952342853344864,RS
-34.8,-53.8,247,1.61,0.4975,7.49,0.4482,0.7311827956989247,0.28000000000000014,0.9644640234948605,0.6585489397312617,0.8807697118762259,-34.8,-53.8,289,1.63,0.5653,8.76,0.835820895522388,0.04502617801047119,0.8966666666666667,0.5925045800665086,0.9245219225737743,RS
-34.8,-53.6,235,1.6,0.4702,7.12,0.4587,0.6881720430107527,0.27200000000000013,0.8842878120411161,0.6148199516839563,0.8055026464842859,-34.8,-53.6,284,1.6,0.5437,8.61,0.8208955223880597,0.04188481675392671,0.854313725490196,0.5723646882107275,0.8908603370104109,RS
