grid_lat_legacy,grid_lon_legacy,compound_count_total_legacy,mean_overlap_duration_legacy,mean_compound_intensity_norm_legacy,compound_count_annual_mean_legacy,mean_compound_intensity_norm_abspeak,Hazard_Frequency_legacy,Hazard_Duration_legacy,Hazard_Intensity_legacy,Hazard_Index_raw_legacy,Hazard_Index_legacy,grid_lat_mhws,grid_lon_mhws,compound_count_total_mhws,mean_overlap_duration_mhws,mean_compound_intensity_norm_mhws,compound_count_annual_mean_mhws,Hazard_Frequency_mhws,Hazard_Duration_mhws,Hazard_Intensity_mhws,Hazard_Index_raw_mhws,Hazard_Index_mhws,band
-34.6,-54.0,270,1.58,0.497,8.18,0.3838,0.8136200716845878,0.2560000000000001,0.9629955947136563,0.6775385554660814,0.913454955992424,-34.6,-54.0,291,1.57,0.5926,8.82,0.8417910447761194,0.03874345549738221,0.9501960784313725,0.610243526234958,0.9541705948967963,RS
-34.6,-53.8,259,1.62,0.5096,7.85,0.4182,0.7741935483870968,0.28800000000000014,1.0,0.6873978494623656,0.930424937669885,-34.6,-53.8,287,1.62,0.5966,8.7,0.8298507462686567,0.04397905759162305,0.9580392156862746,0.6106230065155182,0.9548048539099607,RS
-34.6,-53.6,258,1.6,0.4984,7.82,0.4508,0.7706093189964157,0.27200000000000013,0.967107195301028,0.6699055047658146,0.9003168214996826,-34.6,-53.6,283,1.68,0.592,8.58,0.817910447761194,0.05026178010471204,0.9490196078431372,0.6057306119030145,0.9466277613496916,RS
-34.6,-53.4,240,1.58,0.4788,7.27,0.464,0.7060931899641577,0.2560000000000001,0.9095447870778266,0.6238793256806615,0.821095792483512,-34.6,-53.4,278,1.67,0.563,8.43,0.8029850746268656,0.04921465968586387,0.892156862745098,0.5814521990192758,0.9060490989377561,RS
-34.4,-53.8,287,1.49,0.4182,8.7,0.2233,0.8745519713261649,0.18400000000000002,0.7315712187958884,0.5967077300406843,0.7743275877488147,-34.4,-53.8,309,1.5,0.5394,9.36,0.8955223880597015,0.03141361256544503,0.8458823529411764,0.5909394511887743,0.9219059840169632,RS
-34.4,-53.6,253,1.57,0.4759,7.67,0.3721,0.7526881720430108,0.24800000000000008,0.9010279001468428,0.6339053573966179,0.8383527659119895,-34.4,-53.6,282,1.57,0.58,8.55,0.8149253731343283,0.03874345549738221,0.9254901960784313,0.5930530082367139,0.9254385591629337,RS
-34.4,-53.4,249,1.56,0.4891,7.55,0.4435,0.7383512544802867,0.24000000000000007,0.9397944199706312,0.6393818914836393,0.8477790679522542,-34.4,-53.4,282,1.61,0.5888,8.55,0.8149253731343283,0.04293193717277488,0.9427450980392157,0.6002008027821063,0.9373853014494372,RS
-34.2,-53.6,237,1.43,0.4371,7.18,0.3062,0.6953405017921147,0.13599999999999995,0.7870778267254038,0.5394727761725062,0.675813828161225,-34.2,-53.6,254,1.44,0.5698,7.7,0.7313432835820896,0.02513089005235602,0.9054901960784313,0.5539881232376257,0.8601459558889846,RS
-34.2,-53.4,251,1.55,0.4794,7.61,0.4136,0.7455197132616488,0.23200000000000007,0.9113069016152716,0.6296088716256402,0.8309575827641451,-34.2,-53.4,276,1.57,0.6027,8.36,0.7970149253731343,0.03874345549738221,0.9700000000000001,0.6019194602901722,0.9402578460080749,RS
-34.2,-53.2,244,1.58,0.4906,7.39,0.4537,0.7204301075268817,0.2560000000000001,0.9441997063142437,0.6402099379470418,0.849204315370307,-34.2,-53.2,277,1.62,0.6008,8.39,0.8,0.04397905759162305,0.9662745098039216,0.6034178557985149,0.9427622471723425,RS
-34.0,-53.4,238,1.49,0.4594,7.21,0.3602,0.6989247311827957,0.18400000000000002,0.8525697503671071,0.5784981605166343,0.7429849722132557,-34.0,-53.4,261,1.51,0.6015,7.91,0.7522388059701492,0.032460732984293195,0.9676470588235295,0.5841155325926574,0.9105005642984515,RS
-34.0,-53.2,252,1.54,0.4758,7.64,0.4159,0.7491039426523297,0.22400000000000006,0.9007342143906019,0.6246127190143106,0.8223581213519978,-34.0,-53.2,278,1.56,0.6091,8.43,0.8029850746268656,0.03769633507853404,0.9825490196078431,0.6077434764377476,0.9499920401774318,RS
-34.0,-53.0,247,1.61,0.4983,7.49,0.4626,0.7311827956989247,0.28000000000000014,0.9668135095447872,0.659332101747904,0.8821177034340303,-34.0,-53.0,281,1.64,0.6118,8.52,0.8119402985074626,0.04607329842931936,0.987843137254902,0.6152855780638947,0.9625978228218534,RS
-33.8,-53.4,241,1.39,0.4098,7.3,0.2619,0.7096774193548387,0.10399999999999994,0.7069016152716593,0.5068596782088327,0.6196796186430421,-33.8,-53.4,258,1.41,0.5681,7.82,0.7432835820895523,0.02198952879581151,0.9021568627450981,0.555809991210154,0.8631910052408661,RS
-33.8,-53.2,252,1.52,0.4671,7.64,0.3587,0.7491039426523297,0.20800000000000005,0.8751835535976505,0.6107624987499934,0.7985188906522294,-33.8,-53.2,278,1.53,0.6065,8.43,0.8029850746268656,0.034554973821989535,0.9774509803921569,0.6049970096136708,0.9454016268496132,RS
-33.8,-53.0,263,1.57,0.4788,7.97,0.4259,0.7885304659498208,0.24800000000000008,0.9095447870778266,0.6486917510092158,0.8638033538319848,-33.8,-53.0,292,1.6,0.6145,8.85,0.844776119402985,0.04188481675392671,0.9931372549019609,0.6265993970196243,0.9815076107965774,RS
-33.8,-52.8,264,1.57,0.486,8.0,0.4636,0.7921146953405018,0.24800000000000008,0.9306901615271658,0.6569349522892226,0.8779916897045188,-33.8,-52.8,292,1.66,0.618,8.85,0.844776119402985,0.0481675392670157,1.0,0.6309812195566669,0.9888313390127144,RS
-33.6,-53.0,266,1.51,0.4308,8.06,0.2512,0.7992831541218638,0.20000000000000004,0.7685756240822321,0.5892862594013654,0.761553628394674,-33.6,-53.0,298,1.53,0.5757,9.03,0.8626865671641791,0.034554973821989535,0.9170588235294117,0.6047667881718601,0.9450168373573199,RS
-33.6,-52.8,258,1.57,0.4649,7.82,0.3881,0.7706093189964157,0.24800000000000008,0.8687224669603523,0.6291105953189228,0.8300999412536583,-33.6,-52.8,289,1.6,0.6026,8.76,0.835820895522388,0.04188481675392671,0.9698039215686275,0.6158365446149808,0.9635187020318682,RS
-33.6,-52.6,260,1.6,0.4787,7.88,0.4519,0.7777777777777778,0.27200000000000013,0.9092511013215858,0.6530096263664545,0.8712353530933434,-33.6,-52.6,289,1.66,0.6135,8.76,0.835820895522388,0.0481675392670157,0.9911764705882354,0.625054968459213,0.9789262705140643,RS
-33.4,-52.8,258,1.51,0.4539,7.82,0.3132,0.7706093189964157,0.20000000000000004,0.8364170337738621,0.6023421175900926,0.7840255898079083,-33.4,-52.8,294,1.53,0.5934,8.91,0.8507462686567164,0.034554973821989535,0.9517647058823531,0.612355316120353,0.9577002164274434,RS
-33.4,-52.6,258,1.57,0.4618,7.82,0.376,0.7706093189964157,0.24800000000000008,0.8596182085168868,0.6260758425044343,0.8248764739671667,-33.4,-52.6,292,1.59,0.5967,8.85,0.844776119402985,0.04083769633507854,0.9582352941176471,0.6146163699519035,0.9614793160154216,RS
-33.4,-52.4,252,1.6,0.4558,7.64,0.4264,0.7491039426523297,0.27200000000000013,0.8419970631424374,0.6210336685982557,0.8161977999328321,-33.4,-52.4,283,1.64,0.5839,8.58,0.817910447761194,0.04607329842931936,0.9331372549019608,0.5990403336974914,0.9354457066559236,RS
-33.2,-52.6,235,1.49,0.4333,7.12,0.2932,0.6881720430107527,0.18400000000000002,0.7759177679882525,0.5493632703330018,0.692837512083005,-33.2,-52.6,268,1.48,0.5714,8.12,0.7731343283582089,0.02931937172774869,0.9086274509803922,0.5703603836887833,0.887510365290424,RS
-33.2,-52.4,240,1.56,0.4388,7.27,0.3685,0.7060931899641577,0.24000000000000007,0.7920704845814979,0.5793878915152185,0.7445163920846515,-33.2,-52.4,265,1.57,0.5801,8.03,0.764179104477612,0.03874345549738221,0.9256862745098038,0.5762029448282661,0.8972755553477593,RS
-33.2,-52.2,235,1.6,0.4447,7.12,0.4267,0.6881720430107527,0.27200000000000013,0.8093979441997061,0.5898566624034863,0.7625354155792746,-33.2,-52.2,271,1.59,0.552,8.21,0.7820895522388059,0.04083769633507854,0.8705882352941178,0.564505161289334,0.8777240133475754,RS
-33.0,-52.4,202,1.45,0.4076,6.12,0.2745,0.5698924731182796,0.152,0.7004405286343612,0.47411100058421357,0.5633120471454974,-33.0,-52.4,227,1.46,0.5464,6.88,0.6507462686567164,0.027225130890052355,0.8596078431372549,0.5125264142280078,0.7908473282982954,RS
-33.0,-52.2,216,1.53,0.4408,6.55,0.3937,0.6200716845878136,0.21600000000000005,0.7979441997063144,0.544671961431376,0.6847627527610998,-33.0,-52.2,246,1.54,0.5629,7.46,0.7074626865671642,0.035602094240837705,0.8919607843137254,0.5450085217072425,0.8451375522985184,RS
-32.8,-52.4,186,1.38,0.3967,5.64,0.2697,0.5125448028673835,0.09599999999999992,0.6684287812041115,0.42565786135716505,0.47991369375342163,-32.8,-52.4,196,1.4,0.5493,5.94,0.5582089552238806,0.020942408376963345,0.8652941176470589,0.48148182708263426,0.7389597593899593,RS
-32.8,-52.2,195,1.48,0.419,5.91,0.3307,0.5448028673835126,0.17600000000000002,0.7339207048458148,0.4849078574097758,0.5818957776411103,-32.8,-52.2,218,1.49,0.5513,6.61,0.6238805970149254,0.03036649214659686,0.8692156862745098,0.507820925145344,0.7829826275090461,RS
-32.8,-52.0,218,1.5,0.4381,6.61,0.4114,0.6272401433691757,0.19200000000000003,0.7900146842878121,0.5364182758856626,0.6705563711951308,-32.8,-52.0,242,1.57,0.5556,7.33,0.6955223880597015,0.03874345549738221,0.8776470588235294,0.5373043007935377,0.8322608053257543,RS
-32.6,-52.2,171,1.4,0.4091,5.18,0.3061,0.45878136200716846,0.11199999999999995,0.7048458149779736,0.4252090589950474,0.4791412076236026,-32.6,-52.2,186,1.42,0.5432,5.64,0.5283582089552239,0.02303664921465968,0.8533333333333334,0.4682427305010723,0.7168320843481513,RS
-32.6,-52.0,199,1.5,0.4489,6.03,0.4014,0.5591397849462365,0.19200000000000003,0.8217327459618209,0.5242908436360191,0.6496824320318739,-32.6,-52.0,226,1.54,0.5608,6.85,0.6477611940298508,0.035602094240837705,0.8878431372549019,0.5237354751751968,0.8095820249322523,RS
-32.4,-52.2,169,1.39,0.3998,5.12,0.2737,0.45161290322580644,0.10399999999999994,0.677533039647577,0.4110486476244611,0.4547680708052132,-32.4,-52.2,180,1.4,0.5423,5.46,0.5104477611940299,0.020942408376963345,0.8515686274509804,0.4609862656739912,0.7047037117921581,RS
-32.4,-52.0,201,1.46,0.4221,6.09,0.3362,0.5663082437275986,0.16,0.7430249632892805,0.489777735672293,0.5902778935327277,-32.4,-52.0,221,1.46,0.5426,6.7,0.6328358208955224,0.027225130890052355,0.8521568627450979,0.5040726048435576,0.7767177277041717,RS
-32.4,-51.8,226,1.54,0.4485,6.85,0.4043,0.6559139784946236,0.22400000000000006,0.8205580029368574,0.5668239938104938,0.7228912012822443,-32.4,-51.8,245,1.57,0.5585,7.43,0.7044776119402985,0.03874345549738221,0.8833333333333333,0.5421848002570047,0.840418016469581,RS
-32.2,-52.0,226,1.42,0.4136,6.85,0.2907,0.6559139784946236,0.12799999999999995,0.7180616740088106,0.5006585508344781,0.6090061345211506,-32.2,-52.0,245,1.43,0.5424,7.43,0.7044776119402985,0.02408376963350785,0.851764705882353,0.5267753624853865,0.8146628579142605,RS
-32.2,-51.8,234,1.52,0.4287,7.09,0.3307,0.6845878136200717,0.20800000000000005,0.7624082232011749,0.5516653456070822,0.6967998825363056,-32.2,-51.8,256,1.52,0.5385,7.76,0.7373134328358208,0.033507853403141365,0.8441176470588235,0.5383129777659286,0.8339466965140022,RS
-32.2,-51.6,242,1.59,0.4377,7.33,0.384,0.7132616487455197,0.2640000000000001,0.7888399412628485,0.5887005300027894,0.7605454611602321,-32.2,-51.6,266,1.59,0.5307,8.06,0.7671641791044777,0.04083769633507854,0.8288235294117646,0.5456084682837736,0.846140296164472,RS
-32.0,-51.8,241,1.45,0.384,7.3,0.1813,0.7096774193548387,0.152,0.6311306901615271,0.49760270317212196,0.6037463584297956,-32.0,-51.8,268,1.42,0.4999,8.12,0.7731343283582089,0.02303664921465968,0.7684313725490196,0.5215341167072961,0.8059026994942856,RS
-32.0,-51.6,229,1.57,0.4215,6.94,0.2795,0.6666666666666666,0.24800000000000008,0.7412628487518353,0.5519765051395007,0.6973354555262072,-32.0,-51.6,251,1.53,0.5152,7.61,0.7223880597014926,0.034554973821989535,0.7984313725490196,0.5184581353575006,0.8007615393461128,RS
-32.0,-51.4,235,1.62,0.438,7.12,0.3851,0.6881720430107527,0.28800000000000014,0.7897209985315713,0.5886310138474414,0.7604258087913112,-32.0,-51.4,256,1.59,0.5197,7.76,0.7373134328358208,0.04083769633507854,0.8072549019607844,0.5284686770438946,0.8174930445560298,RS
-32.0,-51.2,233,1.67,0.4326,7.06,0.432,0.6810035842293907,0.328,0.7738619676945666,0.5942885173079858,0.7701635983431588,-32.0,-51.2,254,1.67,0.4985,7.7,0.7313432835820896,0.04921465968586387,0.765686274509804,0.5154147392592524,0.7956748418157593,RS
-31.8,-51.4,238,1.55,0.4142,7.21,0.2752,0.6989247311827957,0.23200000000000007,0.7198237885462555,0.5502495065763505,0.6943629167232559,-31.8,-51.4,255,1.53,0.5097,7.73,0.7343283582089553,0.034554973821989535,0.7876470588235295,0.5188434636181581,0.8014055726065189,RS
-31.8,-51.2,234,1.62,0.4399,7.09,0.3922,0.6845878136200717,0.28800000000000014,0.7953010279001469,0.5892962805067395,0.7615708768888007,-31.8,-51.2,252,1.63,0.515,7.64,0.7253731343283583,0.04502617801047119,0.7980392156862746,0.5228128426750347,0.8080399474935975,RS
-31.8,-51.0,221,1.69,0.4313,6.7,0.4378,0.6379928315412187,0.34400000000000003,0.770044052863436,0.5840122948015516,0.7524759923428281,-31.8,-51.0,245,1.7,0.4889,7.43,0.7044776119402985,0.05235602094240837,0.7468627450980392,0.501232125993582,0.7719701837484214,RS
-31.6,-51.2,228,1.57,0.4072,6.91,0.2698,0.6630824372759857,0.24800000000000008,0.6992657856093979,0.5367827409617946,0.6711836945781605,-31.6,-51.2,249,1.53,0.4902,7.55,0.7164179104477612,0.034554973821989535,0.7494117647058824,0.5001282163252111,0.7701251217181888,RS
-31.6,-51.0,227,1.63,0.4254,6.88,0.3859,0.6594982078853047,0.296,0.7527165932452274,0.5694049337101773,0.7273335581918532,-31.6,-51.0,246,1.61,0.4961,7.46,0.7074626865671642,0.04293193717277488,0.7609803921568628,0.5037916719656006,0.7762481796958393,RS
-31.6,-50.8,220,1.64,0.3994,6.67,0.4358,0.6344086021505376,0.304,0.6763582966226137,0.5382556329243838,0.6737188608514697,-31.6,-50.8,241,1.69,0.4562,7.3,0.6925373134328359,0.05130890052356021,0.6827450980392157,0.47553043733187056,0.7290126744328594,RS
-31.4,-50.8,201,1.65,0.4365,6.09,0.4064,0.5663082437275986,0.312,0.7853157121879587,0.5545413186385191,0.7017500554053517,-31.4,-50.8,221,1.61,0.4892,6.7,0.6328358208955224,0.04293193717277488,0.747450980392157,0.47440624615348476,0.7271337141180875,RS
-31.4,-50.6,210,1.62,0.3981,6.36,0.4423,0.5985663082437276,0.28800000000000014,0.6725403817914831,0.519702230011737,0.6417844335384358,-31.4,-50.6,243,1.68,0.4458,7.36,0.6985074626865672,0.05026178010471204,0.6623529411764706,0.47037406132258325,0.720394366376569,RS
-31.2,-50.8,211,1.57,0.4189,6.39,0.3464,0.6021505376344086,0.24800000000000008,0.7336270190895741,0.5279258522413276,0.6559390696220245,-31.2,-50.8,229,1.52,0.4924,6.94,0.6567164179104478,0.033507853403141365,0.7537254901960785,0.48131658716988923,0.7386835792842675,RS
-31.2,-50.6,222,1.65,0.3904,6.73,0.3765,0.6415770609318996,0.312,0.6499265785609398,0.5345012131642798,0.6672566907850861,-31.2,-50.6,240,1.62,0.4491,7.27,0.6895522388059702,0.04397905759162305,0.6688235294117647,0.4674516086031193,0.7155098122302227,RS
-31.2,-50.4,209,1.61,0.3718,6.33,0.4295,0.5949820788530465,0.28000000000000014,0.5953010279001468,0.4900943689177312,0.5908228879690016,-31.2,-50.4,250,1.63,0.4168,7.58,0.7194029850746269,0.04502617801047119,0.6054901960784314,0.45663978638784314,0.6974390558824958,RS
-31.0,-50.6,195,1.56,0.3865,5.91,0.3317,0.5448028673835126,0.24000000000000007,0.6384728340675477,0.4744252338170201,0.5638529106399004,-31.0,-50.6,206,1.52,0.4567,6.24,0.5880597014925373,0.033507853403141365,0.6837254901960784,0.4350976816972523,0.6614338277784976,RS
-31.0,-50.4,222,1.59,0.3768,6.73,0.3942,0.6415770609318996,0.2640000000000001,0.609985315712188,0.5051874588813625,0.6168013667764723,-31.0,-50.4,234,1.64,0.4412,7.09,0.6716417910447762,0.04607329842931936,0.6533333333333333,0.4570161409358096,0.6980680905818503,RS
-31.0,-50.2,205,1.59,0.3757,6.21,0.4433,0.5806451612903226,0.2640000000000001,0.6067547723935388,0.48379997789462054,0.5799888768954683,-31.0,-50.2,245,1.64,0.4191,7.43,0.7044776119402985,0.04607329842931936,0.61,0.45351697012320596,0.6922196163917831,RS
-30.8,-50.4,207,1.56,0.3772,6.27,0.3451,0.5878136200716846,0.24000000000000007,0.6111600587371512,0.47965789293627864,0.5728594510079716,-30.8,-50.4,216,1.56,0.4509,6.55,0.6179104477611941,0.03769633507853404,0.6723529411764706,0.4426532413387329,0.6740621039962663,RS
-30.8,-50.2,222,1.59,0.3783,6.73,0.4147,0.6415770609318996,0.2640000000000001,0.6143906020558003,0.5066558876625668,0.6193288509473556,-30.8,-50.2,240,1.62,0.4358,7.27,0.6895522388059702,0.04397905759162305,0.6427450980392158,0.45875879814560294,0.7009807479682519,RS
-30.6,-50.4,122,1.41,0.3556,3.7,0.231,0.2831541218637993,0.11999999999999995,0.5477239353891337,0.31695935241764434,0.2928200026872864,-30.6,-50.4,129,1.42,0.4243,3.91,0.3582089552238806,0.02303664921465968,0.6201960784313726,0.33381389428997094,0.49214926059185443,RS
-30.6,-50.2,198,1.58,0.3758,6.0,0.3546,0.5555555555555556,0.2560000000000001,0.6070484581497798,0.4728680045684452,0.5611725816198019,-30.6,-50.2,214,1.57,0.4413,6.49,0.6119402985074627,0.03874345549738221,0.6535294117647059,0.4347377219231836,0.6608321951172624,RS
-30.6,-50.0,216,1.59,0.3771,6.55,0.4229,0.6200716845878136,0.2640000000000001,0.6108663729809104,0.4983126858562414,0.6049683924968762,-30.6,-50.0,235,1.66,0.4328,7.12,0.6746268656716418,0.0481675392670157,0.6368627450980393,0.4532190500122322,0.6917216761159166,RS
-30.4,-50.2,152,1.43,0.3454,4.61,0.258,0.3906810035842294,0.13599999999999995,0.5177679882525696,0.34814966394559965,0.34650528840279365,-30.4,-50.2,157,1.48,0.4184,4.76,0.4417910447761194,0.02931937172774869,0.6086274509803922,0.35991262249475336,0.5357703772716875,RS
-30.4,-50.0,210,1.6,0.3689,6.36,0.3711,0.5985663082437276,0.27200000000000013,0.586784140969163,0.4857834830709636,0.583402919169933,-30.4,-50.0,217,1.62,0.4313,6.58,0.6208955223880597,0.04397905759162305,0.6339215686274511,0.43293204953571124,0.6578142148815415,RS
-30.4,-49.8,214,1.64,0.3778,6.49,0.4353,0.6129032258064516,0.304,0.6129221732745962,0.5099417996936826,0.6249846176769814,-30.4,-49.8,238,1.66,0.4253,7.21,0.6835820895522388,0.0481675392670157,0.6221568627450981,0.4513021638547842,0.6885178144533902,RS
-30.2,-50.0,165,1.58,0.3717,5.0,0.3289,0.43727598566308246,0.2560000000000001,0.5950073421439059,0.42942777593566284,0.48640253376030357,-30.2,-50.0,172,1.59,0.4297,5.21,0.48656716417910445,0.04083769633507854,0.6307843137254903,0.3860630580798911,0.5794779170773523,RS
-30.2,-49.8,208,1.6,0.3742,6.3,0.4069,0.5913978494623656,0.27200000000000013,0.6023494860499264,0.48858244517076405,0.5882205395357952,-30.2,-49.8,220,1.64,0.4245,6.67,0.6298507462686567,0.04607329842931936,0.6205882352941177,0.4321707599973646,0.6565418042292374,RS
-30.0,-50.0,131,1.46,0.346,3.97,0.2627,0.3154121863799283,0.16,0.5195301027900145,0.3316474297233143,0.3181013669359122,-30.0,-50.0,129,1.47,0.4127,3.91,0.3582089552238806,0.028272251308900525,0.5974509803921569,0.327977395641646,0.48239420331310107,SC/PR
-30.0,-49.8,200,1.59,0.3736,6.06,0.3783,0.5627240143369175,0.2640000000000001,0.6005873715124815,0.4757704619497997,0.5661683397947544,-30.0,-49.8,206,1.63,0.4332,6.24,0.5880597014925373,0.04502617801047119,0.6376470588235293,0.4235776461088459,0.6421793716757047,SC/PR
-29.8,-49.8,195,1.54,0.37,5.91,0.3391,0.5448028673835126,0.22400000000000006,0.590014684287812,0.4529391838904416,0.5268707622515403,-29.8,-49.8,199,1.57,0.4291,6.03,0.5671641791044776,0.03874345549738221,0.6296078431372549,0.41183849257970495,0.6225586843456877,SC/PR
-29.8,-49.6,226,1.62,0.3734,6.85,0.3984,0.6559139784946236,0.28800000000000014,0.6,0.5146379928315413,0.6330677838279569,-29.8,-49.6,230,1.71,0.4284,6.97,0.6597014925373135,0.05340314136125654,0.6282352941176471,0.4471133093387391,0.6815166107868542,SC/PR
-29.6,-49.8,168,1.46,0.3566,5.09,0.2769,0.44802867383512546,0.16,0.5506607929515417,0.3862298222622224,0.41204949361175197,-29.6,-49.8,172,1.48,0.4108,5.21,0.48656716417910445,0.02931937172774869,0.5937254901960785,0.3698706753676439,0.5524141532773209,SC/PR
-29.6,-49.6,215,1.61,0.3769,6.52,0.3713,0.6164874551971327,0.28000000000000014,0.6102790014684287,0.5022554855551872,0.6117548052637766,-29.6,-49.6,216,1.65,0.4295,6.55,0.6179104477611941,0.04712041884816753,0.6303921568627451,0.43180767449070223,0.6559349472541924,SC/PR
-29.6,-49.4,233,1.66,0.3749,7.06,0.4146,0.6810035842293907,0.32,0.6044052863436123,0.5351362901910011,0.6683497959822025,-29.6,-49.4,234,1.74,0.4264,7.09,0.6716417910447762,0.05654450261780105,0.6243137254901961,0.45083333971759115,0.6877342271371671,SC/PR
-29.4,-49.6,192,1.56,0.367,5.82,0.3227,0.5340501792114696,0.24000000000000007,0.5812041116005873,0.4517514302706857,0.5248263808615349,-29.4,-49.6,198,1.58,0.4157,6.0,0.564179104477612,0.03979057591623038,0.6033333333333334,0.40243433790905864,0.606840687478381,SC/PR
-29.4,-49.4,231,1.63,0.3688,7.0,0.3834,0.6738351254480287,0.296,0.5864904552129222,0.5187751935536503,0.6401888028863832,-29.4,-49.4,232,1.7,0.4144,7.03,0.6656716417910448,0.05235602094240837,0.6007843137254902,0.43960399215298107,0.6689656236822105,SC/PR
-29.4,-49.2,242,1.67,0.3767,7.33,0.4217,0.7132616487455197,0.328,0.6096916299559471,0.5503177595671556,0.6944803949122449,-29.4,-49.2,249,1.78,0.4084,7.55,0.7164179104477612,0.06073298429319372,0.5890196078431372,0.4553901675280307,0.695350457171421,SC/PR
-29.2,-49.4,227,1.62,0.3602,6.88,0.3445,0.6594982078853047,0.28800000000000014,0.5612334801762114,0.502910562687172,0.6128823349764818,-29.2,-49.4,221,1.66,0.4128,6.7,0.6328358208955224,0.0481675392670157,0.5976470588235294,0.42621680632868914,0.64659043396898,SC/PR
-29.2,-49.2,248,1.68,0.3735,7.52,0.3943,0.7347670250896058,0.336,0.6002936857562408,0.5570202369486155,0.7060168110491243,-29.2,-49.2,250,1.74,0.4125,7.58,0.7194029850746269,0.05654450261780105,0.5970588235294118,0.4576687704072799,0.6991588880375855,SC/PR
-29.2,-49.0,243,1.67,0.3819,7.36,0.4308,0.7168458781362007,0.328,0.6249632892804698,0.5566030558055569,0.7052987518902682,-29.2,-49.0,255,1.78,0.4012,7.73,0.7343283582089553,0.06073298429319372,0.5749019607843138,0.456654434428821,0.6974635384511333,SC/PR
-29.0,-49.4,203,1.5,0.3433,6.15,0.2749,0.5734767025089605,0.19200000000000003,0.5116005873715124,0.42569242996015766,0.4799731938108923,-29.0,-49.4,202,1.5,0.4006,6.12,0.5761194029850746,0.03141361256544503,0.5737254901960784,0.393752835248866,0.5923305229398979,SC/PR
