municipality_code,municipality_name,state,grid_lat,grid_lon,Hazard_Index_legacy,Hazard_Index_mun_legacy,Risk_Hazard_legacy,Hazard_Index_mhws,Hazard_Index_mun_mhws,Risk_Hazard_mhws,Exposure_Index,SVI_Coast_2022,rank_legacy,rank_mhws,rank_change
2100832,Apicum-Açu,MA,-1.4,-45.0,0.44843135092090286,0.5389710912821964,0.9328203947074731,0.593646870754258,0.6148946697764319,1.0,0.7489208916514495,76.682581,3.0,1.0,2.0
2103703,Cururupu,MA,-1.4,-44.8,0.3977952800872802,0.4776411206756258,0.8600350130577751,0.5860310504701067,0.60654764736639,0.9585137722060912,0.7686390281414741,68.390622,13.0,2.0,11.0
1500909,Augusto Corrêa,PA,-0.8,-46.4,0.30860563608315383,0.3696153960265588,0.7950136938020417,0.5376587703752826,0.5535310987988556,0.9445361995159984,0.6634900589571023,83.814396,30.0,3.0,27.0
2112407,Turiaçu,MA,-1.4,-45.2,0.5067401752070145,0.6095942344427513,0.95801450042527,0.5370208833664174,0.5528319676535011,0.9354740982974014,0.6406186093390002,84.936311,2.0,4.0,-2.0
2202083,Cajueiro da Praia,PI,-2.8,-41.4,0.23132622221887236,0.27601523900880093,0.6694223822278901,0.5706751531831552,0.5897174158222944,0.9158044440013458,0.6407180057031862,75.680168,104.0,5.0,99.0
2102903,Carutapera,MA,-1.0,-45.8,0.31493134012247576,0.37727703399353696,0.7849840478028133,0.5020341915802482,0.5144861704187483,0.8959215985593415,0.715018836830689,73.788119,33.0,6.0,27.0
1508308,Viseu,PA,-1.0,-46.0,0.2670761903671362,0.31931529092086586,0.7276978373056642,0.49864458507428394,0.5107711245785272,0.8843780177961393,0.6012920135465497,85.714332,62.0,7.0,55.0
1501709,Bragança,PA,-0.8,-46.6,0.30984557089834064,0.3711171943398469,0.8020448229299106,0.44239771043252185,0.44912393417585533,0.8715767996954281,0.8123391514314638,69.716898,28.0,8.0,20.0
1506112,Quatipuru,PA,-0.6,-47.0,0.3841487498537864,0.46111256140309,0.8224988666584776,0.5069112848601408,0.5198315180483195,0.8689937459167623,0.6947474364442816,69.939083,19.0,9.0,10.0
4318507,São José do Norte,RS,-32.0,-51.8,0.6037463584297956,0.7270872837209418,0.8072490197471897,0.8059026994942856,0.8475293818693611,0.8637870245318185,0.7741153542984256,37.959069,25.0,10.0,15.0
