municipality_code,municipality_name,state,frontage_km,distance_to_coastline_km,pop_10km,pop_municipality,Risk_Hazard,coverage_status,has_measured_frontage
4207007,Içara,Santa Catarina,0.0,4.024387903274285,9870,59141,,no_hazard_association,False
2411056,Tibau,Rio Grande do Norte,0.0,1.4422028979896133,5063,5827,0.0,associated_no_accepted_event_1993_2025,False
2304251,Cruz,Ceará,0.0,0.678568695203573,22114,30227,0.0,associated_no_accepted_event_1993_2025,False
3531100,Mongaguá,São Paulo,0.0,0.5830987101000754,61689,61689,0.333962,associated_with_hazard,False
4321436,Terra de Areia,Rio Grande do Sul,0.0,0.5452154938752612,765,10368,0.231011,associated_with_hazard,False
4208203,Itajaí,Santa Catarina,0.0,0.5447044597357159,217579,263998,0.170952,associated_with_hazard,False
2403251,Parnamirim,Rio Grande do Norte,0.0,0.5328453128494843,115400,252371,0.11765,associated_with_hazard,False
2404408,Grossos,Rio Grande do Norte,0.0,0.5171400897571248,9713,9728,0.0,associated_no_accepted_event_1993_2025,False
4304630,Capão da Canoa,Rio Grande do Sul,0.0,0.4840256005256335,63315,63315,0.297574,associated_with_hazard,False
4321600,Tramandaí,Rio Grande do Sul,0.0,0.481722917535843,54118,54404,0.305599,associated_with_hazard,False
2402204,Canguaretama,Rio Grande do Norte,0.0,0.44817154468116044,2753,29258,0.12689,associated_with_hazard,False
4301636,Balneário Pinhal,Rio Grande do Sul,0.0,0.4006780550606747,13408,14943,0.392858,associated_with_hazard,False
2609600,Olinda,Pernambuco,0.0,0.39678057111213366,346407,346407,0.0,associated_no_accepted_event_1993_2025,False
4211306,Navegantes,Santa Catarina,0.0,0.35433432437078566,81474,86269,0.213029,associated_with_hazard,False
4305454,Cidreira,Rio Grande do Sul,0.0,0.33822955138582644,16913,17037,0.360356,associated_with_hazard,False
2310258,Paraipaba,Ceará,0.0,0.3107858812143186,13540,32235,0.0,associated_no_accepted_event_1993_2025,False
4220000,Balneário Rincão,Santa Catarina,0.0,0.2265539574853588,16025,16025,0.353047,associated_with_hazard,False
3300209,Araruama,Rio de Janeiro,0.0,0.18419390242181763,81680,129723,0.32018,associated_with_hazard,False
2408953,Rio do Fogo,Rio Grande do Norte,0.0,0.1785634608221586,9533,9870,0.0,associated_no_accepted_event_1993_2025,False
2614204,Sirinhaém,Pernambuco,0.0,0.14406438874934419,28996,37353,0.0,associated_no_accepted_event_1993_2025,False
2706448,Paripueira,Alagoas,0.0,0.12754558125738527,13621,13842,0.0,associated_no_accepted_event_1993_2025,False
2708709,São Miguel dos Milagres,Alagoas,0.0,0.07926346396105789,8386,8427,0.0,associated_no_accepted_event_1993_2025,False
4310330,Imbé,Rio Grande do Sul,0.0,0.07301704998147765,26841,26841,0.323694,associated_with_hazard,False
3204906,São Mateus,Espírito Santo,0.0,0.03149279418928758,32354,123809,0.173327,associated_with_hazard,False
2919207,Lauro de Freitas,Bahia,0.0,0.03127890805635477,203189,203236,0.2145,associated_with_hazard,False
4212304,Paulo Lopes,Santa Catarina,1.1408686404720922,0.0,8316,9090,0.296219,associated_with_hazard,True
3301702,Duque de Caxias,Rio de Janeiro,9.784951398171549,0.0,649287,807233,0.385615,associated_with_hazard,True
4205407,Florianópolis,Santa Catarina,94.86690384508084,0.0,536876,536876,0.261843,associated_with_hazard,True
4218004,Tijucas,Santa Catarina,10.031598481636326,0.0,49288,51595,0.250529,associated_with_hazard,True
3302502,Magé,Rio de Janeiro,18.23768991046982,0.0,166026,228147,0.468027,associated_with_hazard,True
4213500,Porto Belo,Santa Catarina,9.313111940342681,0.0,27606,27606,0.280167,associated_with_hazard,True
3304524,Rio das Ostras,Rio de Janeiro,24.332054276235358,0.0,154030,155775,0.31141,associated_with_hazard,True
3300936,Carapebus,Rio de Janeiro,17.29003095425203,0.0,12438,13881,0.281632,associated_with_hazard,True
3204203,Piúma,Espírito Santo,2.1463958211269705,0.0,21986,21986,0.28702,associated_with_hazard,True
3301850,Guapimirim,Rio de Janeiro,6.262648225826822,0.0,12068,51557,0.337326,associated_with_hazard,True
3301900,Itaboraí,Rio de Janeiro,2.312810579929013,0.0,29916,223854,0.252394,associated_with_hazard,True
4212809,Balneário Piçarras,Santa Catarina,0.18738894494523872,0.0,26868,27180,0.234542,associated_with_hazard,True
4216602,São José,Santa Catarina,10.202509261627602,0.0,269900,271013,0.248551,associated_with_hazard,True
4202305,Biguaçu,Santa Catarina,13.599713941404621,0.0,74252,76590,0.306858,associated_with_hazard,True
4202107,Barra Velha,Santa Catarina,7.293893649449281,0.0,44994,45128,0.279626,associated_with_hazard,True
3304904,São Gonçalo,Rio de Janeiro,10.101997204448699,0.0,837612,895560,0.347431,associated_with_hazard,True
3302007,Itaguaí,Rio de Janeiro,13.042431859843585,0.0,107362,116489,0.325045,associated_with_hazard,True
4201307,Araquari,Santa Catarina,11.367567210439692,0.0,29276,45211,0.23612,associated_with_hazard,True
4115705,Matinhos,Paraná,13.544822065855039,0.0,39200,39200,0.253096,associated_with_hazard,True
3522109,Itanhaém,São Paulo,1.2109746486113673,0.0,111936,112541,0.34147,associated_with_hazard,True
3551009,São Vicente,São Paulo,20.429131559287534,0.0,328987,328987,0.355414,associated_with_hazard,True
3548500,Santos,São Paulo,36.25891370818982,0.0,418350,418360,0.261002,associated_with_hazard,True
4208302,Itapema,Santa Catarina,3.367686172480683,0.0,75330,75330,0.226699,associated_with_hazard,True
2109452,Raposa,Maranhão,22.816969559980016,0.0,30845,30845,0.373527,associated_with_hazard,True
2105104,Icatu,Maranhão,106.00590131021241,0.0,22405,24618,0.368353,associated_with_hazard,True
2101707,Barreirinhas,Maranhão,13.224255536899209,0.0,2711,65690,0.141982,associated_with_hazard,True
2105005,Humberto de Campos,Maranhão,126.12038667585438,0.0,17154,25901,0.227714,associated_with_hazard,True
2109403,Primeira Cruz,Maranhão,36.79062083696212,0.0,7269,13521,0.308729,associated_with_hazard,True
2104909,Guimarães,Maranhão,70.45269343149931,0.0,10033,10285,0.393606,associated_with_hazard,True
2103109,Cedral,Maranhão,26.095569474939843,0.0,8996,9914,0.356003,associated_with_hazard,True
1508209,Vigia,Pará,42.24632130991672,0.0,49382,50518,0.171897,associated_with_hazard,True
2101301,Bacuri,Maranhão,57.62296821707747,0.0,6520,16318,0.182223,associated_with_hazard,True
2100832,Apicum-Açu,Maranhão,49.709006331368,0.0,17525,17526,0.175136,associated_with_hazard,True
2103703,Cururupu,Maranhão,199.9654809563356,0.0,29741,31127,0.258674,associated_with_hazard,True
2104305,Godofredo Viana,Maranhão,74.11645809560648,0.0,3039,10210,0.0,associated_no_accepted_event_1993_2025,True
1508308,Viseu,Pará,122.02604412764927,0.0,33687,58873,0.0,associated_no_accepted_event_1993_2025,True
2106201,Luís Domingues,Maranhão,26.568322347088227,0.0,6627,7169,0.0,associated_no_accepted_event_1993_2025,True
1506302,Salvaterra,Pará,39.36975507673236,0.0,23831,24094,0.0,associated_no_accepted_event_1993_2025,True
