band,n_points,mean_R_hs,pct_sig_hs,mean_R_comp_ssh,pct_sig_comp_ssh,mean_R_comp_zos,pct_sig_comp_zos,n_comp_ssh,n_comp_zos,n_comp_production
RS,77,0.022357803946741885,0.0,0.08222000882453177,6.493506493506493,0.041026899589171516,0.0,242.36363636363637,267.46753246753246,232.7792207792208
SC/PR,67,0.025527339490027643,0.0,0.35732664141633874,70.1492537313433,0.04586565134310399,0.0,210.59701492537314,250.32835820895522,205.3582089552239
SP/RJ,156,0.034037076872743356,0.0,0.5918125535293154,100.0,0.045870458064388234,0.0,168.75,230.26923076923077,164.4551282051282
ES/BA-S,57,0.03880779018190692,0.0,0.7910777296930707,100.0,0.05512604748216435,0.0,85.9298245614035,166.10526315789474,84.50877192982456
BA-N,65,0.03128097732858221,0.0,0.8101481242508033,100.0,0.10140575563341228,0.0,56.06153846153846,77.70769230769231,55.353846153846156
NE,62,0.02786965080700858,0.0,0.8267271449130562,100.0,0.08110096828696271,0.0,61.274193548387096,77.11290322580645,59.61290322580645
N_equatorial,192,0.04133983507099155,0.0,0.8081717929074834,100.0,0.07976318814996937,0.0,88.93229166666667,104.61979166666667,85.78645833333333
AP,132,0.032622247643454706,0.0,0.7962911962979209,100.0,0.08049594971877741,0.7575757575757576,79.74242424242425,117.56060606060606,76.59848484848484
