city,date,coastal_sector,source_title,source_url,notes
Tijucas,2002-09-02,Central,Análise da suscetibilidade e da vulnerabilidade costeira de um sistema semiabrigado a eventos extremos: Enseada de Tijucas - Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/195798/PGCN0686-D.pdf?sequence=1,Evento de ressaca/inundação costeira descrito em dissertação UFSC focada na Enseada de Tijucas; data registrada como início do episódio.
Tijucas,2003-05-25,Central,Análise da suscetibilidade e da vulnerabilidade costeira de um sistema semiabrigado a eventos extremos: Enseada de Tijucas - Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/195798/PGCN0686-D.pdf?sequence=1,Evento de ressaca/inundação costeira descrito em dissertação UFSC focada na Enseada de Tijucas; data registrada como início do episódio.
Florianópolis,2005-08-09,Central,Ciclone destelha prédios e deixa Florianópolis sem energia,https://www.dgabc.com.br/Noticia/356185/ciclone-destelha-predios-e-deixa-florianopolis-sem-energia?referencia=navegacao-lateral-detalhe-noticia,Data do evento tomada da data da matéria (2005-08-09).
Tijucas,2006-06-27,Central,Análise da suscetibilidade e da vulnerabilidade costeira de um sistema semiabrigado a eventos extremos: Enseada de Tijucas - Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/195798/PGCN0686-D.pdf?sequence=1,Evento de ressaca/inundação costeira descrito em dissertação UFSC focada na Enseada de Tijucas; data registrada como início do episódio.
Florianópolis,2010-05-26,Central,Ressaca destrói casas e provoca estragos na Praia da Armação/SC,https://revistaemergencia.com.br/geral/ressaca-destroi-casas-e-provoca-estragos-na-praia-da-armacaosc/,Data do evento explícita; publicação em 2010-05-27.
Tijucas,2010-11-01,Central,Análise da suscetibilidade e da vulnerabilidade costeira de um sistema semiabrigado a eventos extremos: Enseada de Tijucas - Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/195798/PGCN0686-D.pdf?sequence=1,Evento de ressaca/inundação costeira descrito em dissertação UFSC focada na Enseada de Tijucas; data registrada como início do episódio.
Tijucas,2011-10-26,Central,Análise da suscetibilidade e da vulnerabilidade costeira de um sistema semiabrigado a eventos extremos: Enseada de Tijucas - Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/195798/PGCN0686-D.pdf?sequence=1,Evento de ressaca/inundação costeira descrito em dissertação UFSC focada na Enseada de Tijucas; data registrada como início do episódio.
Florianópolis,2013-09-26,Central,SC: ressaca provoca ondas de 3 metros e dificulta escoamento de enchente,https://www.terra.com.br/noticias/brasil/cidades/sc-ressaca-provoca-ondas-de-3-metros-e-dificulta-escoamento-de-enchente%2C2b57f19d86b51410VgnVCM3000009acceb0aRCRD.html,Data alinhada à expressão 'nesta quinta-feira' e ao carimbo da publicação.
Florianópolis,2014-08-27,Central,Padrões atmosféricos associados a riscos de inundação costeira no litoral central e centro-norte de Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/244414/PGDN0019-D.pdf?isAllowed=y&sequence=1,Evento compilado a partir de inventário acadêmico UFSC; data tratada como início do episódio para fins de deduplicação.
Florianópolis,2015-03-22,Central,Padrões atmosféricos associados a riscos de inundação costeira no litoral central e centro-norte de Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/244414/PGDN0019-D.pdf?isAllowed=y&sequence=1,Evento compilado a partir de inventário acadêmico UFSC; data tratada como início do episódio para fins de deduplicação.
Palhoça,2015-03-22,Central,Padrões atmosféricos associados a riscos de inundação costeira no litoral central e centro-norte de Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/244414/PGDN0019-D.pdf?isAllowed=y&sequence=1,Evento compilado a partir de inventário acadêmico UFSC; data tratada como início do episódio para fins de deduplicação.
Florianópolis,2015-06-19,Central,Padrões atmosféricos associados a riscos de inundação costeira no litoral central e centro-norte de Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/244414/PGDN0019-D.pdf?isAllowed=y&sequence=1,Evento compilado a partir de inventário acadêmico UFSC; data tratada como início do episódio para fins de deduplicação.
Florianópolis,2015-09-11,Central,Padrões atmosféricos associados a riscos de inundação costeira no litoral central e centro-norte de Santa Catarina,https://repositorio.ufsc.br/bitstream/handle/123456789/244414/PGDN0019-D.pdf?isAllowed=y&sequence=1,Evento compilado a partir de inventário acadêmico UFSC; data tratada como início do episódio para fins de deduplicação.
