Disaster ID,Dates of occurrence (mm/dd/yyyy),Months,Municipalities,Coastal Sectors,EM or SPC,hgt,Wspd (m/s),Wdir (m/s),Hs (m),Hsdir (°),HsPp (s),WP,Number of Human Damage,Material Damage (BRL),Environmental Damage (BRL),Public Economic Losses (BRL),Private Economic Losses (BRL)
26,2011-05-29 00:00:00,May,Barra Velha,North,EM,1763.94921875,6.78681810571051,351.9534713428955,2.645,154.20876,15.3475,3,35,500000,0,230000,0
27,2011-06-04 00:00:00,July,Penha,Central-north,EM,1367.405029296875,5.742473334722591,333.9704078084865,1.2524999,156.98999,9.345,5,2395,900000,80000,0,4000
28,2012-01-27 00:00:00,January,Balneário Barra do Sul,North,*,1464.39892578125,6.91740558302027,325.7815581468401,1.1687499,134.04001,8.18875,2,0,0,0,0,0
29,2015-07-27 00:00:00,July,Balneário Barra do Sul,North,EM,1560.29296875,3.281524036175874,268.2537183797144,1.0575,127.335,9.54875,4,10,446740,0,446740,446740
30,2015-08-18 00:00:00,August,Balneário Barra do Sul,North,*,1652.9921875,7.543374576408095,215.7760777178947,1.0075,81.238754,8.06,2,0,0,0,0,0
31,2016-07-01 00:00:00,July,Balneário Barra do Sul,North,*,2063.91796875,4.438118970915493,201.8253826144562,0.7950001,95.07125,9.7,2,9,0,0,0,448256
32,2016-09-15 00:00:00,September,Florianópolis,Central,*,1115.36328125,7.523091120011774,337.4914457310169,2.3175,157.895,11.42875,3,50,0,0,0,0
32,2016-09-15 00:00:00,September,Porto Belo,Central-north,*,1149.61328125,8.50150574898353,77.50043228806157,1.16375,95.737495,10.541251,3,33,106000,0,0,10000
33,10/28/2016,October,Tijucas,Central,*,674.859375,7.114274383238252,79.71676370603768,1.27875,140.30876,8.959999,3,3035,70000,0,0,0
33,10/28/2016,October,Navegantes,Central-north,EM,683.109375,10.39636955864883,64.83994228274014,1.5475,165.91376,9.565001,3,2900,5921000,0,5921300,0
33,10/28/2016,October,Balneário Barra do Sul,North,EM,626.234375,13.72825553375228,41.57461804273663,1.2937499,171.84625,9.417501,3,10600,1215000,0,930000,680000
33,10/28/2016,October,Balneário Rincão,South,*,665.484375,11.94347520615336,78.65243483548795,3.5137498,204.40997,12.714999,3,1560,441047.36,0,411047.36,0
33,10/29/2016,October,Itajaí,Central-north,*,1664.65625,10.64327487195553,348.5105899019024,1.74125,147.87125,12.916251,3,500,0,0,0,0
33,10/29/2016,October,Itapoá,North,*,1712.40625,5.14463798532025,319.8094207537606,1.2225001,145.3875,12.46,3,6052,2223000,0,200000,150000
33,10/29/2016,October,Araranguá,South,*,1793.15625,12.94976833769624,37.81677597097456,3.5712502,171.78375,14.373749,3,438,0,0,0,0
34,2016-12-12 00:00:00,December,Balneário Barra do Sul,North,*,665.965576171875,1.898420396013486,11.54669054592733,0.6725,132.88374,11.535001,5,1000,0,0,0,0
35,2017-03-25 00:00:00,March,Balneário Barra do Sul,North,EM,1198.590087890625,0.4494441010848846,249.1455419604217,0.99499995,111.45625,10.860001,1,823,0,0,350000,130000
36,2017-05-02 00:00:00,May,Balneário Barra do Sul,North,*,1914.24609375,2.061771083316477,186.1253719401997,0.72375,136.38249,12.602499,5,6,0,0,0,0
37,2017-05-21 00:00:00,May,Balneário Barra do Sul,North,*,1375.81640625,14.8674308473253,234.9416798878012,2.3125,97.25624,10.215,4,823,233345.12,0,233345.12,0
38,2017-05-22 00:00:00,May,Florianópolis,Central,*,1342.2265625,2.713300573102803,108.0342855671299,3.0125,99.945,11.016251,4,0,0,0,0,0
38,2017-05-22 00:00:00,May,Barra Velha,North,*,1325.3515625,0.3228002478313794,163.810793742973,2.51,103.47001,11.0125,4,10,2718400,0,672000,0
39,2017-08-15 00:00:00,August,Itapoá,North,*,1689.8203125,4.332666615376724,285.2551187030577,1.5400002,116.18001,15.2275,4,400,0,0,50000,160000
40,2017-08-26 00:00:00,August,Balneário Barra do Sul,North,*,1789.94140625,10.22993646119075,212.7890693475423,1.28625,87.01625,11.686251,4,0,0,0,0,0
41,2017-09-07 00:00:00,September,Navegantes,Central-north,*,1810.08984375,3.603803546254984,305.0571438116974,1.0725,104.1275,8.945,1,5000,0,0,0,0
42,2017-09-09 00:00:00,September,Balneário Barra do Sul,North,*,1422.90625,6.492896118066268,220.1897216174283,1.0287501,93.37,8.931251,1,1300,804995.96,0,233345.12,600000
43,2017-09-13 00:00:00,September,Florianópolis,Central,EM,1806.703125,4.056316062636145,26.18603280600746,1.7787502,91.854996,9.286251,2,1522,4245194,0,692000,0
