grid_lat,grid_lon,hs_q90_m,zos_q90_m,fes_tide_daily_max_q90_m,VHM0_valid_fraction,zos_valid_fraction,tide_daily_max_valid_fraction,zos_to_fes_q90_ratio,wave_setup_proxy_q90_m,zos_plus_wave_setup_to_fes_q90_ratio,ssh_total_q90_m,hs_q90_ge_0p5_m,conditional_uses_ssh_total,conditional_ssh_q90_m
-35.0000000,-54.8000000,2.1400001,0.3984953,0.2478134,1.0000000,1.0000000,1.0000000,1.6080458,0.4280000,3.3351519,0.5752920,2.1400001,1,0.5752920
-35.0000000,-54.6000000,2.3399999,0.3597412,0.2859284,1.0000000,1.0000000,1.0000000,1.2581513,0.4680000,2.8949247,0.5685020,2.3399999,1,0.5685020
-35.0000000,-54.4000000,2.4979980,0.3211512,0.3156154,1.0000000,1.0000000,1.0000000,1.0175397,0.4995996,2.6004777,0.5619850,2.4979980,1,0.5619850
-35.0000000,-54.2000000,2.5999999,0.2931372,0.3389637,1.0000000,1.0000000,1.0000000,0.8648041,0.5200000,2.3988916,0.5559060,2.5999999,1,0.5559060
-35.0000000,-54.0000000,2.6700001,0.2719199,0.3567761,1.0000000,1.0000000,1.0000000,0.7621584,0.5340000,2.2588955,0.5539870,2.6700001,1,0.5539870
-34.8000000,-54.4000000,2.1900001,0.4010806,0.3109937,1.0000000,1.0000000,1.0000000,1.2896744,0.4380000,2.6980631,0.6257700,2.1900001,1,0.6257700
-34.8000000,-54.2000000,2.4300001,0.3632896,0.3358013,1.0000000,1.0000000,1.0000000,1.0818588,0.4860000,2.5291433,0.6133230,2.4300001,1,0.6133230
-34.8000000,-54.0000000,2.5799999,0.3240333,0.3585924,1.0000000,1.0000000,1.0000000,0.9036257,0.5160000,2.3425853,0.5972470,2.5799999,1,0.5972470
-34.8000000,-53.8000000,2.7000000,0.2850910,0.3747140,1.0000000,1.0000000,1.0000000,0.7608229,0.5400000,2.2019220,0.5782660,2.7000000,1,0.5782660
-34.8000000,-53.6000000,2.8499999,0.2525797,0.3806964,1.0000000,1.0000000,1.0000000,0.6634675,0.5700000,2.1607236,0.5559190,2.8499999,1,0.5559190
-34.6000000,-54.0000000,2.3000000,0.3866088,0.3662999,1.0000000,1.0000000,1.0000000,1.0554434,0.4600000,2.3112450,0.6597080,2.3000000,1,0.6597080
-34.6000000,-53.8000000,2.4700000,0.3496964,0.3841886,1.0000000,1.0000000,1.0000000,0.9102207,0.4940000,2.1960475,0.6406320,2.4700000,1,0.6406320
-34.6000000,-53.6000000,2.6900001,0.3085198,0.3941641,1.0000000,1.0000000,1.0000000,0.7827192,0.5380000,2.1476330,0.6126570,2.6900001,1,0.6126570
-34.6000000,-53.4000000,2.8499999,0.2685761,0.3926237,1.0000000,1.0000000,1.0000000,0.6840547,0.5700000,2.1358264,0.5781630,2.8499999,1,0.5781630
-34.4000000,-53.8000000,1.5900000,0.3992491,0.4044517,1.0000000,1.0000000,1.0000000,0.9871367,0.3180000,1.7733863,0.7027340,1.5900000,1,0.7027340
-34.4000000,-53.6000000,2.2500000,0.3630764,0.4200646,1.0000000,1.0000000,1.0000000,0.8643347,0.4500000,1.9355985,0.6844840,2.2500000,1,0.6844840
-34.4000000,-53.4000000,2.6300001,0.3204650,0.4200276,1.0000000,1.0000000,1.0000000,0.7629618,0.5260000,2.0152605,0.6472970,2.6300001,1,0.6472970
-34.2000000,-53.6000000,1.9500000,0.3937516,0.4530544,1.0000000,1.0000000,1.0000000,0.8691045,0.3900000,1.7299282,0.7371330,1.9500000,1,0.7371330
-34.2000000,-53.4000000,2.4400001,0.3556050,0.4532302,1.0000000,1.0000000,1.0000000,0.7846013,0.4880000,1.8613169,0.7041510,2.4400001,1,0.7041510
-34.2000000,-53.2000000,2.6900001,0.3143233,0.4369322,1.0000000,1.0000000,1.0000000,0.7193869,0.5380000,1.9506993,0.6554820,2.6900001,1,0.6554820
-34.0000000,-53.4000000,2.1500001,0.3857407,0.4888999,1.0000000,1.0000000,1.0000000,0.7889973,0.4300000,1.6685230,0.7601270,2.1500001,1,0.7601270
