band,compound_season_DJF,compound_season_MAM,compound_season_JJA,compound_season_SON,n_points,compound_events
ES/BA-S,0.007211538461538462,0.7451923076923077,0.2403846153846154,0.007211538461538462,135,416
N/NE (north of 12 S),0.044226044226044224,0.6167076167076168,0.21867321867321868,0.12039312039312039,415,407
RS,0.08037525354969574,0.37550709939148075,0.4700811359026369,0.07403651115618662,90,7888
SC/PR,0.05388429752066116,0.37322314049586774,0.46975206611570247,0.10314049586776859,54,3025
SP/RJ,0.030802861685214625,0.3622813990461049,0.5101351351351351,0.0967806041335453,114,5032
