municipality_code,municipality_name,state,pop_10km,dom_10km,residents_per_household_10km,ratio_minus_national,Risk_Hazard,risk_rank
2110203,Santa Rita,MA,4,2,2.0,-0.7050630499988899,0.094079,279.0
4317301,Santa Vitória do Palmar,RS,2795,1250,2.236,-0.4690630499988897,0.468709,124.0
4202008,Balneário Camboriú,SC,136326,56642,2.406800607323188,-0.2982624426757021,0.181407,233.0
4321352,Tavares,RS,5151,2129,2.419445749178018,-0.285617300820872,0.938392,3.0
4301636,Balneário Pinhal,RS,13408,5526,2.4263481722765112,-0.2787148777223787,0.806788,27.0
4205407,Florianópolis,SC,536876,219963,2.440755945318076,-0.26430710468081386,0.607373,78.0
3301009,Campos dos Goytacazes,RJ,12174,4935,2.466869300911854,-0.23819374908703583,0.330524,159.0
4301057,Arroio do Sal,RS,11070,4483,2.469328574615213,-0.23573447538367676,0.834002,20.0
4313656,Palmares do Sul,RS,10953,4435,2.46967305524239,-0.2353899947564999,0.842745,17.0
3303302,Niterói,RJ,480647,194218,2.474780916289942,-0.2302821337089478,0.655386,64.0
3304557,Rio de Janeiro,RJ,4374900,1757947,2.4886415802069117,-0.21642146979197818,0.701448,52.0
4305454,Cidreira,RS,16913,6792,2.490135453474676,-0.2149275965242139,0.765453,40.0
4318507,São José do Norte,RS,24947,9999,2.494949494949495,-0.2101135550493951,1.0,1.0
3548500,Santos,SP,418350,167595,2.4961961872370892,-0.20886686276180066,0.587789,86.0
3304904,São Gonçalo,RJ,837612,335005,2.5002970104923805,-0.2047660395065094,0.850107,15.0
3205309,Vitória,ES,322636,128456,2.511646011085508,-0.19341703891338202,0.386798,147.0
2927408,Salvador,BA,2403202,954477,2.517820754193134,-0.1872422958057558,0.378161,150.0
4321501,Torres,RS,40850,16203,2.5211380608529286,-0.18392498914596134,0.70551,51.0
3305000,São João da Barra,RJ,30827,12176,2.5317838370565044,-0.17327921294238546,0.629786,72.0
3520426,Ilha Comprida,SP,13414,5297,2.5323768170662637,-0.1726862329326262,0.647381,68.0
4216602,São José,SC,269900,105498,2.558342338243379,-0.1467207117555107,0.631028,70.0
4310330,Imbé,RS,26841,10480,2.5611641221374044,-0.1438989278614855,0.731166,47.0
2933208,Vera Cruz,BA,42537,16567,2.567574093076598,-0.1374889569222919,0.426044,138.0
4315602,Rio Grande,RS,188623,73454,2.567906444849838,-0.1371566051490518,0.854556,12.0
4202057,Balneário Barra do Sul,SC,14876,5786,2.5710335292084343,-0.1340295207904556,0.579952,91.0
4321600,Tramandaí,RS,54118,21027,2.573738526656204,-0.13132452334268585,0.731676,46.0
4321436,Terra de Areia,RS,765,297,2.5757575757575757,-0.12930547424131422,0.463648,126.0
3301900,Itaboraí,RJ,29916,11572,2.585205668855859,-0.11985738114303102,0.65966,61.0
4119954,Pontal do Paraná,PR,30362,11724,2.589730467417264,-0.11533258258162604,0.598869,79.0
3205200,Vila Velha,ES,456334,176041,2.592202952721241,-0.11286009727764901,0.450906,128.0
3304755,São Francisco de Itabapoana,RJ,32815,12632,2.597767574414186,-0.10729547558470376,0.690523,53.0
4209409,Laguna,SC,42793,16411,2.607580281518494,-0.09748276848039605,0.808412,26.0
4115705,Matinhos,PR,39200,15011,2.6114182932516155,-0.09364475674727446,0.552191,102.0
3204203,Piúma,ES,21986,8406,2.615512729003093,-0.08955032099579707,0.555049,100.0
3305505,Saquarema,RJ,87708,33490,2.6189310241863244,-0.08613202581256552,0.906462,7.0
3302601,Mangaratiba,RJ,39932,15246,2.6191788009969827,-0.08588424900190716,0.816364,25.0
4202073,Balneário Gaivota,SC,15715,5997,2.6204769051192263,-0.08458614487966365,0.850161,14.0
4201950,Balneário Arroio do Silva,SC,15765,6012,2.6222554890219563,-0.08280756097693365,0.794943,31.0
4312500,Mostardas,RS,11668,4446,2.6243814664867298,-0.08068158351216015,0.916327,5.0
4207304,Imbituba,SC,52485,19985,2.6262196647485614,-0.07884338525032852,0.829476,23.0
2932507,Una,BA,11985,4562,2.627137220517317,-0.07792582948157278,0.164289,261.0
2932903,Valença,BA,65916,25039,2.6325332481329125,-0.07252980186597746,0.359592,152.0
3300209,Araruama,RJ,81680,30887,2.6444782594619096,-0.06058479053698029,0.830049,22.0
3304524,Rio das Ostras,RJ,154030,58213,2.6459725490869737,-0.059090500911916255,0.628967,73.0
4205704,Garopaba,SC,29979,11324,2.6473860826563054,-0.05767696734258454,0.793657,32.0
4201406,Araranguá,SC,57934,21876,2.6482903638690805,-0.05677268612980946,0.791532,34.0
2932705,Uruçuca,BA,5022,1890,2.657142857142857,-0.047920192856032884,0.140355,273.0
1600204,Calçoene,AP,101,38,2.6578947368421053,-0.0471683131567846,0.0,280.0
4304630,Capão da Canoa,RS,63315,23811,2.6590651379614463,-0.04599791203744363,0.740529,44.0
3302403,Macaé,RJ,231563,87066,2.6596260308271886,-0.04543701917170129,0.674915,58.0
3202405,Guarapari,ES,120091,44997,2.668866813343112,-0.03619623665577798,0.555351,99.0
3300233,Armação dos Búzios,RJ,39919,14954,2.669452989166778,-0.035610060832111934,0.680183,55.0
4208450,Itapoá,SC,30679,11486,2.6709907713738463,-0.034072278625043584,0.655158,65.0
3522109,Itanhaém,SP,111936,41797,2.678086944039046,-0.0269761059598439,0.7957,30.0
3204906,São Mateus,ES,32354,12073,2.6798641596951875,-0.02519889030370237,0.308528,170.0
3202207,Fundão,ES,6341,2366,2.680050718512257,-0.025012331486633066,0.415437,139.0
3302700,Maricá,RJ,194972,72699,2.681907591576225,-0.023155458422664754,0.934247,4.0
3300258,Arraial do Cabo,RJ,30935,11530,2.6830008673026886,-0.022062182696201305,0.788346,35.0
4208807,Jaguaruna,SC,18296,6819,2.683091362369849,-0.021971687629041003,0.824715,24.0
3520301,Iguape,SP,25098,9353,2.6834170854271355,-0.021645964571754384,0.772761,38.0
2403251,Parnamirim,RN,115400,43002,2.683596111808753,-0.021466938190136897,0.275803,176.0
2913606,Ilhéus,BA,162788,60653,2.6839233014030635,-0.021139748595826457,0.172358,250.0
3541000,Praia Grande,SP,349895,130177,2.6878404019143165,-0.01722264808457341,0.709233,49.0
3301702,Duque de Caxias,RJ,649287,241123,2.692762614930969,-0.012300435067921,0.911194,6.0
2917300,Ituberá,BA,19876,7381,2.692860046064219,-0.012203003934670775,0.436069,133.0
3300100,Angra dos Reis,RJ,166027,61630,2.693931526853805,-0.01113152314508481,0.837271,18.0
2919207,Lauro de Freitas,BA,203189,75343,2.696853058678311,-0.008209991320578869,0.447243,129.0
3205002,Serra,ES,448882,166361,2.6982405732112693,-0.006822476787620602,0.489335,119.0
2917805,Jaguaripe,BA,8703,3221,2.7019559143123253,-0.0031071356865646216,0.415391,140.0
3300704,Cabo Frio,RJ,220886,81671,2.7045830221253566,-0.00048002787353329524,0.791697,33.0
2905404,Cairu,BA,17106,6316,2.708359721342622,0.003296671343731905,0.345891,155.0
4313508,Osório,RS,4581,1691,2.7090479006505026,0.0039848506516126925,0.429708,137.0
4202305,Biguaçu,SC,74252,27376,2.712302746931619,0.007239696932729078,0.683833,54.0
4212254,Passo de Torres,SC,12883,4746,2.714496418036241,0.009433368037351286,0.847039,16.0
2611606,Recife,PE,1487647,547951,2.7149270646462913,0.009864014647401387,0.15936,263.0
4216206,São Francisco do Sul,SC,52658,19380,2.717131062951496,0.012068012952606288,0.65855,62.0
3200409,Anchieta,ES,25542,9393,2.7192590226764612,0.014195972677571334,0.617092,75.0
4211900,Palhoça,SC,221990,81626,2.7195991473305074,0.014536097331617537,0.785069,36.0
2905701,Camaçari,BA,114610,42092,2.7228451962368148,0.017782146237924845,0.222947,189.0
3537602,Peruíbe,SP,67826,24881,2.7260158353763915,0.02095278537750156,0.750398,42.0
3555406,Ubatuba,SP,92676,33953,2.729537890613495,0.024474840614605142,0.832317,21.0
2903409,Belmonte,BA,10104,3701,2.7300729532558767,0.02500990325698682,0.403268,145.0
3301306,Casimiro de Abreu,RJ,22720,8318,2.731425823515268,0.02636277351637828,0.549093,103.0
4109609,Guaratuba,PR,40665,14884,2.7321284600913733,0.027065410092483422,0.629838,71.0
2607901,Jaboatão dos Guararapes,PE,521717,190813,2.7341795370336404,0.02911648703475045,0.177586,240.0
2906303,Canavieiras,BA,27990,10228,2.73660539694955,0.03154234695066016,0.443022,131.0
2910503,Entre Rios,BA,9759,3565,2.7374474053295934,0.032384355330703496,0.134874,276.0
4202453,Bombinhas,SC,24956,9104,2.741212653778559,0.036149603779668915,0.579698,92.0
3520400,Ilhabela,SP,34612,12621,2.7424134379209253,0.03735038792203538,0.763518,41.0
4206009,Governador Celso Ramos,SC,16638,6065,2.7432811211871395,0.0382180711882496,0.679704,56.0
4220000,Balneário Rincão,SC,16025,5839,2.7444767939715704,0.03941374397268049,0.803643,28.0
2609600,Olinda,PE,346407,126139,2.746232330999929,0.04116928100103889,0.173958,249.0
2914901,Itacaré,BA,17818,6486,2.7471477027443725,0.042084652745482565,0.201688,200.0
2610707,Paulista,PE,340942,124023,2.7490223587560374,0.043959308757147486,0.178093,239.0
3551009,São Vicente,SP,328987,119483,2.7534209887599075,0.04835793876101757,0.784983,37.0
2800308,Aracaju,SE,603813,219282,2.7535912660409885,0.04852821604209856,0.146385,269.0
3304151,Quissamã,RJ,7919,2874,2.755393180236604,0.050330130237714155,0.580282,89.0
2922607,Nilo Peçanha,BA,6282,2279,2.75647213690215,0.05140908690326018,0.409672,143.0
4212809,Balneário Piçarras,SC,26868,9746,2.7568233121280525,0.051760262129162626,0.560516,98.0
4212304,Paulo Lopes,SC,8316,3015,2.7582089552238807,0.05314590522499074,0.83689,19.0
3302007,Itaguaí,RJ,107362,38909,2.7593101853041713,0.05424713530528136,0.797371,29.0
2925303,Porto Seguro,BA,150434,54511,2.759699877089028,0.05463682709013806,0.511002,116.0
3300936,Carapebus,RJ,12438,4504,2.761545293072824,0.056482243073934235,0.747178,43.0
3510500,Caraguatatuba,SP,134661,48654,2.767727216672833,0.06266416667394292,0.673225,59.0
2927705,Santa Cruz Cabrália,BA,24723,8930,2.7685330347144457,0.06346998471555576,0.535037,108.0
3204302,Presidente Kennedy,ES,5686,2053,2.7696054554310763,0.06454240543218637,0.520237,112.0
2408102,Natal,RN,722364,260801,2.7697899931365293,0.06472694313763938,0.325574,160.0
4208302,Itapema,SC,75330,27194,2.7700963447819373,0.06503329478304742,0.51712,114.0
4208203,Itajaí,SC,217579,78494,2.771918872780085,0.06685582278119506,0.504509,117.0
2922003,Mucuri,BA,10555,3806,2.773252758801892,0.0681897088030019,0.43477,136.0
3302502,Magé,RJ,166026,59720,2.7800736771600802,0.07501062716119034,0.944752,2.0
3303807,Paraty,RJ,44292,15887,2.7879398250141625,0.08287677501527257,0.888254,9.0
4213500,Porto Belo,SC,27606,9887,2.7921513098007487,0.08708825980185875,0.578012,93.0
3509908,Cananéia,SP,12042,4312,2.7926716141001857,0.0876085641012958,0.706691,50.0
2304400,Fortaleza,CE,1675622,599538,2.79485537196975,0.08979232197086029,0.145821,270.0
2921005,Mata de São João,BA,17191,6147,2.7966487717585813,0.09158572175969137,0.142679,271.0
2802106,Estância,SE,57169,20413,2.8006172537108704,0.09555420371198053,0.181411,232.0
3203320,Marataízes,ES,41520,14825,2.8006745362563237,0.09561148625743376,0.636233,69.0
4202107,Barra Velha,SC,44994,16058,2.8019678664839955,0.09690481648510563,0.588147,85.0
2507507,João Pessoa,PB,832386,296270,2.809552097748675,0.10448904774978507,0.227792,187.0
4212502,Penha,SC,33389,11883,2.809812336951948,0.10474928695305818,0.552872,101.0
3550704,São Sebastião,SP,81344,28928,2.811946902654867,0.10688385265597722,0.895275,8.0
3506359,Bertioga,SP,64183,22796,2.8155378136515177,0.11047476365262776,0.871935,10.0
2906907,Caravelas,BA,10657,3778,2.820804658549497,0.11574160855060711,0.479785,121.0
2407203,Macau,RN,25982,9193,2.82628086587621,0.12121781587732006,0.168708,259.0
2304251,Cruz,CE,22114,7813,2.830410853705363,0.12534780370647303,0.17757,241.0
4323804,Xangri-lá,RS,16876,5957,2.8329696155783113,0.12790656557942137,0.731985,45.0
4218004,Tijucas,SC,49288,17391,2.834109596917946,0.12904654691905604,0.586449,87.0
3201605,Conceição da Barra,ES,15252,5378,2.835998512458163,0.13093546245927312,0.381916,149.0
2606804,Igarassu,PE,112161,39510,2.838800303720577,0.1337372537216872,0.194814,208.0
3202801,Itapemirim,ES,31338,11038,2.839101286464939,0.1340382364660493,0.650171,67.0
2900801,Alcobaça,BA,12289,4324,2.8420444033302497,0.13698135333135975,0.490184,118.0
2602902,Cabo de Santo Agostinho,PE,132206,46510,2.8425284884970976,0.1374654384982077,0.170289,255.0
2301000,Aquiraz,CE,54810,19272,2.8440224159402243,0.1389593659413344,0.188313,218.0
4109500,Guaraqueçaba,PR,6831,2400,2.84625,0.14118695000111003,0.854423,13.0
4207007,Içara,SC,9870,3466,2.847663012117715,0.1425999621188252,,
2803203,Itaporanga d'Ajuda,SE,25872,9082,2.848711737502753,0.14364868750386295,0.186914,219.0
2704302,Maceió,AL,956710,335827,2.848817992597379,0.14375494259848898,0.179793,236.0
2414209,Tibau do Sul,RN,17601,6171,2.8522119591638306,0.14714890916494072,0.300548,171.0
2920700,Maraú,BA,17327,6072,2.853590250329381,0.14852720033049094,0.343657,156.0
2800605,Barra dos Coqueiros,SE,41447,14506,2.857231490417758,0.15216844041886812,0.15583,267.0
3203205,Linhares,ES,5386,1884,2.858811040339703,0.153747990340813,0.218455,190.0
3301850,Guapimirim,RJ,12068,4216,2.8624288425047437,0.1573657925058538,0.675373,57.0
2913457,Igrapiúna,BA,7790,2717,2.867132867132867,0.16206981713397717,0.43531,135.0
3531100,Mongaguá,SP,61689,21507,2.8683219416934023,0.16325889169451235,0.771552,39.0
2923001,Nova Viçosa,BA,9605,3348,2.8688769414575868,0.16381389145869685,0.465507,125.0
2606200,Goiana,PE,73181,25357,2.886027526915645,0.18096447691675488,0.273929,177.0
3518701,Guarujá,SP,287487,99506,2.8891423632745763,0.18407931327568638,0.869569,11.0
2301109,Aracati,CE,50423,17373,2.9023772520577906,0.1973142020589007,0.176723,245.0
2304459,Fortim,CE,15807,5444,2.90356355620867,0.19850050620978,0.194492,210.0
2503209,Cabedelo,PB,66782,22947,2.910271495184556,0.20520844518566594,0.169451,256.0
2307254,Jijoca de Jericoacoara,CE,8931,3066,2.9129158512720155,0.20785280127312555,0.138825,275.0
2104909,Guimarães,MA,10033,3438,2.91826643397324,0.21320338397435012,0.655066,66.0
2303501,Cascavel,CE,31228,10697,2.919323174721885,0.21426012472299494,0.167,260.0
2404408,Grossos,RN,9713,3321,2.924721469436917,0.2196584194380269,0.184242,223.0
2411056,Tibau,RN,5063,1730,2.9265895953757224,0.22152654537683247,0.170746,254.0
2302206,Beberibe,CE,39579,13513,2.9289573003774145,0.22389425037852462,0.203335,197.0
2100204,Alcântara,MA,18298,6242,2.931432233258571,0.22636918325968125,0.658,63.0
4211306,Navegantes,SC,81474,27779,2.9329349508621623,0.22787190086327236,0.538099,107.0
2401107,Areia Branca,RN,23490,8006,2.934049462902823,0.22898641290393318,0.170775,253.0
2607208,Ipojuca,PE,61658,21005,2.9353963342061413,0.2303332842072514,0.171731,251.0
2310258,Paraipaba,CE,13540,4610,2.937093275488069,0.2320302254891793,0.156887,264.0
2101905,Bequimão,MA,11618,3953,2.9390336453326587,0.23397059533376874,0.594958,83.0
3200607,Aracruz,ES,26952,9151,2.9452518850398866,0.24018883504099664,0.435512,134.0
2303709,Caucaia,CE,283051,95993,2.9486629233381603,0.24359987333927036,0.179894,235.0
2910602,Esplanada,BA,3488,1182,2.9509306260575294,0.24586757605863951,0.103998,277.0
2804904,Pacatuba,SE,6035,2044,2.9525440313111546,0.2474809813122647,0.178217,237.0
2702702,Feliz Deserto,AL,3487,1181,2.9525825571549533,0.2475195071560634,0.177523,242.0
2905800,Camamu,BA,21927,7409,2.95950870562829,0.25444565562940014,0.443474,130.0
4118204,Paranaguá,PR,145334,48925,2.9705467552376086,0.26548370523871867,0.727151,48.0
2111300,São Luís,MA,1038019,349169,2.9728269118965316,0.2677638618976417,0.566441,97.0
2305357,Icapuí,CE,20344,6834,2.97688030436055,0.27181725436166015,0.191332,213.0
2601409,Barreiros,PE,37626,12612,2.983349191246432,0.27828614124754214,0.186465,220.0
2410256,Porto do Mangue,RN,4040,1352,2.9881656804733727,0.2831026304744828,0.181536,231.0
2310209,Paracuru,CE,33006,11029,2.992655725813764,0.2875926758148739,0.194621,209.0
2805307,Pirambu,SE,7810,2606,2.9969301611665387,0.29186711116764874,0.18031,234.0
4201307,Araquari,SC,29276,9768,2.9971334971334973,0.2920704471346074,0.594328,84.0
2925501,Prado,BA,25237,8397,3.0054781469572465,0.30041509695835655,0.523141,111.0
2403608,Extremoz,RN,44507,14807,3.00580806375363,0.30074501375474005,0.378011,151.0
2111201,São José de Ribamar,MA,243840,80925,3.0131603336422614,0.3080972836433715,0.597757,80.0
2509305,Mataraca,PB,3863,1282,3.013260530421217,0.3081974804223271,0.280077,175.0
2513703,Santa Rita,PB,138679,45975,3.016400217509516,0.31133716751062623,0.197409,204.0
2504603,Conde,PB,13268,4397,3.017511939959063,0.31244888996017295,0.268619,179.0
2706802,Piaçabuçu,AL,12759,4211,3.029921633816196,0.3248585838173059,0.182933,225.0
2917904,Jandaíra,BA,4137,1364,3.0329912023460412,0.32792815234715134,0.156368,266.0
2101350,Bacurituba,MA,2503,824,3.037621359223301,0.3325583092244111,0.529409,109.0
2107506,Paço do Lumiar,MA,145384,47855,3.0380106571936056,0.3329476071947157,0.596132,81.0
2312403,São Gonçalo do Amarante,CE,22668,7457,3.039828349202092,0.3347652992032022,0.156526,265.0
2702306,Coruripe,AL,36897,12120,3.0443069306930695,0.33924388069417954,0.176805,244.0
2302602,Camocim,CE,56264,18419,3.0546718062869864,0.3496087562880965,0.193336,211.0
2614857,Tamandaré,PE,19600,6397,3.0639362201031735,0.35887317010428355,0.182223,229.0
2613404,São José da Coroa Grande,PE,17834,5817,3.0658414990544953,0.3607784490556054,0.196133,206.0
2402204,Canguaretama,RN,2753,897,3.069119286510591,0.36405623651170105,0.189312,215.0
2704708,Marechal Deodoro,AL,60303,19623,3.073077511083932,0.3680144610850422,0.185934,221.0
2908606,Conde,BA,19720,6414,3.0745244777050202,0.36946142770613033,0.20325,198.0
2607604,Ilha de Itamaracá,PE,24012,7803,3.0772779700115342,0.37221492001264433,0.20653,194.0
2703759,Jequiá da Praia,AL,7790,2516,3.0961844197138313,0.3911213697149414,0.176046,247.0
2512903,Rio Tinto,PB,3701,1195,3.097071129707113,0.39200807970822327,0.177399,243.0
2207702,Parnaíba,PI,112123,36166,3.1002322623458496,0.3951692123469597,0.241236,184.0
2511905,Pitimbu,PB,16552,5337,3.101367809630879,0.3963047596319891,0.315592,164.0
2402600,Ceará-Mirim,RN,9260,2982,3.1052984574111333,0.4002354074122434,0.25737,181.0
2313500,Trairi,CE,38037,12239,3.1078519486886185,0.40278889868972856,0.19992,202.0
2404507,Guamaré,RN,9843,3166,3.1089703095388503,0.40390725953996043,0.168811,258.0
2300200,Acaraú,CE,49773,15998,3.111201400175022,0.406138350176132,0.204521,196.0
2700508,Barra de Santo Antônio,AL,16300,5227,3.1184235699253873,0.41336051992649736,0.188369,217.0
2411601,São Bento do Norte,RN,2526,809,3.1223733003708283,0.41731025037193836,0.174377,248.0
2700607,Barra de São Miguel,AL,7931,2537,3.1261332282223098,0.42107017822341986,0.162833,262.0
2614204,Sirinhaém,PE,28996,9252,3.134025075659317,0.42896202566042696,0.193252,212.0
2407500,Maxaranguape,RN,7993,2547,3.138201806046329,0.4331387560474389,0.185175,222.0
2706448,Paripueira,AL,13621,4321,3.1522795649155286,0.4472165149166387,0.182444,228.0
2412559,São Miguel do Gostoso,RN,7298,2314,3.1538461538461537,0.44878310384726383,0.18171,230.0
2109056,Porto Rico do Maranhão,MA,5578,1767,3.1567628749292584,0.45169982493036853,0.57419,96.0
2103703,Cururupu,MA,29741,9421,3.156883558008704,0.4518205080098139,0.516263,115.0
2708709,São Miguel dos Milagres,AL,8386,2651,3.1633345907204826,0.4582715407215927,0.183067,224.0
2414407,Touros,RN,21001,6632,3.1666164053075994,0.46155335530870945,0.189239,216.0
2401404,Baía Formosa,RN,8755,2764,3.167510853835022,0.46244780383613193,0.358693,153.0
2202083,Cajueiro da Praia,PI,7271,2295,3.1681917211328976,0.4631286711340077,0.244489,183.0
2800704,Brejo Grande,SE,4613,1455,3.170446735395189,0.46538368539629893,0.168986,257.0
1504406,Marapanim,PA,19274,6077,3.171630738851407,0.4665676888525172,0.547572,104.0
1507474,São João de Pirabas,PA,18928,5961,3.17530615668512,0.47024310668623004,0.52558,110.0
2401859,Caiçara do Norte,RN,5694,1792,3.177455357142857,0.4723923071439673,0.182482,227.0
2103109,Cedral,MA,8996,2831,3.1776757329565526,0.4726126829576627,0.595843,82.0
2302057,Barroquinha,CE,8185,2574,3.1798756798756798,0.47481262987678985,0.182575,226.0
1506112,Quatipuru,PA,10693,3359,3.183387913069366,0.47832486307047617,0.575462,95.0
2704500,Maragogi,AL,29706,9318,3.188023180940116,0.48296013094122614,0.204674,195.0
2102408,Cajapió,MA,7299,2289,3.1887287024901703,0.48366565249128035,0.62627,74.0
2109601,Rosário,MA,20520,6430,3.191290824261275,0.4862277742623853,0.541791,106.0
2508604,Lucena,PB,12403,3881,3.195825818088122,0.4907627680892319,0.20003,201.0
2703601,Japaratinga,AL,8944,2794,3.201145311381532,0.4960822613826421,0.19893,203.0
1502608,Colares,PA,12916,4021,3.2121362845063417,0.5070732345074518,0.22605,188.0
1508209,Vigia,PA,49382,15336,3.2200052164840898,0.5149421664851999,0.22979,185.0
2111003,São João Batista,MA,1303,404,3.2252475247524752,0.5201844747535853,0.356137,154.0
1504109,Magalhães Barata,PA,4235,1310,3.232824427480916,0.527761377482026,0.471927,123.0
2413201,Senador Georgino Avelino,RN,4065,1256,3.236464968152866,0.5314019181539762,0.316218,163.0
2509057,Marcação,PB,8001,2472,3.2366504854368934,0.5315874354380035,0.317549,162.0
2109452,Raposa,MA,30845,9529,3.2369608563332983,0.5318978063344084,0.614611,77.0
2707404,Porto de Pedras,AL,8012,2465,3.2503042596348886,0.5452412096359986,0.190499,214.0
2101251,Bacabeira,MA,5775,1776,3.251689189189189,0.5466261391902991,0.451991,127.0
2707800,Roteiro,AL,6474,1989,3.2549019607843137,0.5498389107854238,0.176127,246.0
1506302,Salvaterra,PA,23831,7312,3.2591630196936543,0.5540999696947644,0.213622,192.0
2409506,Pedra Grande,RN,3099,950,3.2621052631578946,0.5570422131590047,0.17812,238.0
1507102,São Caetano de Odivelas,PA,14433,4416,3.2683423913043477,0.5632793413054578,0.195419,207.0
