hs_percentile,ssh_percentile,H,M,U,P,Y,R_pos,B_raw,B,F_soft,term_recall_raw,term_burden_raw,term_fsoft_raw,w1,w2,w3,term_recall_weighted,term_burden_weighted,term_fsoft_weighted,Score
55,75,96,51,13655,147,22.38,0.6531,1.896465,1.0,10348.6003,0.6531,1.0,70.398641,0.6,0.2,0.2,0.39186,-0.2,-14.079728,-13.887868
55,80,90,57,12012,147,22.38,0.6122,1.669044,1.0,9109.4315,0.6122,1.0,61.968922,0.6,0.2,0.2,0.36732,-0.2,-12.393784,-12.226464
55,85,87,60,10057,147,22.38,0.5918,1.399007,1.0,7624.8892,0.5918,1.0,51.869995,0.6,0.2,0.2,0.35508,-0.2,-10.373999,-10.218919
55,90,79,68,7715,147,22.38,0.5374,1.074907,1.0,5849.3528,0.5374,1.0,39.791516,0.6,0.2,0.2,0.32244,-0.2,-7.958303,-7.835863
60,50,109,38,18270,147,22.38,0.7415,2.534734,1.0,13834.9339,0.7415,1.0,94.115197,0.6,0.2,0.2,0.4449,-0.2,-18.823039,-18.578139
60,55,107,40,17352,147,22.38,0.7279,2.407853,1.0,13139.4143,0.7279,1.0,89.383771,0.6,0.2,0.2,0.43674,-0.2,-17.876754,-17.640014
60,60,106,41,16614,147,22.38,0.7211,2.305934,1.0,12596.9947,0.7211,1.0,85.693841,0.6,0.2,0.2,0.43266,-0.2,-17.138768,-16.906108
60,65,103,44,15672,147,22.38,0.7007,2.175605,1.0,11896.7168,0.7007,1.0,80.930046,0.6,0.2,0.2,0.42042,-0.2,-16.186009,-15.965589
60,70,97,50,14442,147,22.38,0.6599,2.005142,1.0,10969.9779,0.6599,1.0,74.6257,0.6,0.2,0.2,0.39594,-0.2,-14.92514,-14.7292
60,75,94,53,13081,147,22.38,0.6395,1.817026,1.0,9942.2716,0.6395,1.0,67.634501,0.6,0.2,0.2,0.3837,-0.2,-13.5269,-13.3432
60,80,88,59,11454,147,22.38,0.5986,1.591812,1.0,8702.4271,0.5986,1.0,59.200184,0.6,0.2,0.2,0.35916,-0.2,-11.840037,-11.680877
60,85,85,62,9576,147,22.38,0.5782,1.332394,1.0,7270.0202,0.5782,1.0,49.45592,0.6,0.2,0.2,0.34692,-0.2,-9.891184,-9.744264
60,90,76,71,7373,147,22.38,0.517,1.027327,1.0,5603.9499,0.517,1.0,38.122108,0.6,0.2,0.2,0.3102,-0.2,-7.624422,-7.514222
65,50,105,42,16979,147,22.38,0.7143,2.356135,1.0,12859.6937,0.7143,1.0,87.48091,0.6,0.2,0.2,0.42858,-0.2,-17.496182,-17.267602
65,55,103,44,16097,147,22.38,0.7007,2.234218,1.0,12190.6447,0.7007,1.0,82.929556,0.6,0.2,0.2,0.42042,-0.2,-16.585911,-16.365491
65,60,102,45,15406,147,22.38,0.6939,2.138781,1.0,11688.0915,0.6939,1.0,79.510827,0.6,0.2,0.2,0.41634,-0.2,-15.902165,-15.685825
65,65,99,48,14487,147,22.38,0.6735,2.011624,1.0,10999.8348,0.6735,1.0,74.828808,0.6,0.2,0.2,0.4041,-0.2,-14.965762,-14.761662
65,70,94,53,13344,147,22.38,0.6395,1.853298,1.0,10135.4239,0.6395,1.0,68.948462,0.6,0.2,0.2,0.3837,-0.2,-13.789692,-13.605992
65,75,91,56,12109,147,22.38,0.619,1.682559,1.0,9202.7763,0.619,1.0,62.60392,0.6,0.2,0.2,0.3714,-0.2,-12.520784,-12.349384
65,80,85,62,10647,147,22.38,0.5782,1.480101,1.0,8091.795,0.5782,1.0,55.046224,0.6,0.2,0.2,0.34692,-0.2,-11.009245,-10.862325
65,85,82,65,8917,147,22.38,0.5578,1.241094,1.0,6776.241,0.5578,1.0,46.096878,0.6,0.2,0.2,0.33468,-0.2,-9.219376,-9.084696
65,90,72,75,6905,147,22.38,0.4898,0.962231,0.962231,5260.598,0.4898,0.962231,35.786381,0.6,0.2,0.2,0.29388,-0.192446,-7.157276,-7.055842
70,50,96,51,15506,147,22.38,0.6531,2.151745,1.0,11745.0848,0.6531,1.0,79.898536,0.6,0.2,0.2,0.39186,-0.2,-15.979707,-15.787847
70,55,94,53,14690,147,22.38,0.6395,2.038931,1.0,11126.2987,0.6395,1.0,75.689107,0.6,0.2,0.2,0.3837,-0.2,-15.137821,-14.954121
70,60,94,53,14042,147,22.38,0.6395,1.949562,1.0,10652.513,0.6395,1.0,72.466075,0.6,0.2,0.2,0.3837,-0.2,-14.493215,-14.309515
70,65,92,55,13218,147,22.38,0.6259,1.835645,1.0,10039.6787,0.6259,1.0,68.297134,0.6,0.2,0.2,0.37554,-0.2,-13.659427,-13.483887
70,70,87,60,12184,147,22.38,0.5918,1.692351,1.0,9261.1207,0.5918,1.0,63.000821,0.6,0.2,0.2,0.35508,-0.2,-12.600164,-12.445084
70,75,83,64,11036,147,22.38,0.5646,1.533474,1.0,8388.0689,0.5646,1.0,57.061693,0.6,0.2,0.2,0.33876,-0.2,-11.412339,-11.273579
70,80,78,69,9707,147,22.38,0.5306,1.349495,1.0,7375.9653,0.5306,1.0,50.176635,0.6,0.2,0.2,0.31836,-0.2,-10.035327,-9.916967
70,85,74,73,8197,147,22.38,0.5034,1.140693,1.0,6237.823,0.5034,1.0,42.43417,0.6,0.2,0.2,0.30204,-0.2,-8.486834,-8.384794
70,90,66,81,6359,147,22.38,0.449,0.886102,0.886102,4851.7865,0.449,0.886102,33.00535,0.6,0.2,0.2,0.2694,-0.17722,-6.60107,-6.50889
75,50,90,57,13831,147,22.38,0.6122,1.919911,1.0,10480.804,0.6122,1.0,71.297986,0.6,0.2,0.2,0.36732,-0.2,-14.259597,-14.092277
75,55,89,58,13076,147,22.38,0.6054,1.815647,1.0,9905.9622,0.6054,1.0,67.387498,0.6,0.2,0.2,0.36324,-0.2,-13.4775,-13.31426
75,60,89,58,12445,147,22.38,0.6054,1.728623,1.0,9438.6414,0.6054,1.0,64.208445,0.6,0.2,0.2,0.36324,-0.2,-12.841689,-12.678449
75,65,87,60,11703,147,22.38,0.5918,1.626014,1.0,8887.5833,0.5918,1.0,60.45975,0.6,0.2,0.2,0.35508,-0.2,-12.09195,-11.93687
75,70,81,66,10782,147,22.38,0.551,1.498167,1.0,8191.7405,0.551,1.0,55.726126,0.6,0.2,0.2,0.3306,-0.2,-11.145225,-11.014625
75,75,78,69,9791,147,22.38,0.5306,1.36108,1.0,7442.3785,0.5306,1.0,50.628425,0.6,0.2,0.2,0.31836,-0.2,-10.125685,-10.007325
75,80,69,78,8660,147,22.38,0.4694,1.203857,1.0,6584.8171,0.4694,1.0,44.794674,0.6,0.2,0.2,0.28164,-0.2,-8.958935,-8.877295
75,85,65,82,7345,147,22.38,0.4422,1.021948,1.0,5592.6459,0.4422,1.0,38.04521,0.6,0.2,0.2,0.26532,-0.2,-7.609042,-7.543722
75,90,58,89,5738,147,22.38,0.3946,0.799354,0.799354,4384.1694,0.3946,0.799354,29.824282,0.6,0.2,0.2,0.23676,-0.159871,-5.964856,-5.887967
80,50,87,60,11980,147,22.38,0.5918,1.664217,1.0,9095.3734,0.5918,1.0,61.873288,0.6,0.2,0.2,0.35508,-0.2,-12.374658,-12.219578
80,55,86,61,11293,147,22.38,0.585,1.569331,1.0,8563.6518,0.585,1.0,58.256135,0.6,0.2,0.2,0.351,-0.2,-11.651227,-11.500227
80,60,86,61,10742,147,22.38,0.585,1.49334,1.0,8159.6601,0.585,1.0,55.507892,0.6,0.2,0.2,0.351,-0.2,-11.101578,-10.950578
80,65,84,63,10071,147,22.38,0.5714,1.400524,1.0,7656.0153,0.5714,1.0,52.081737,0.6,0.2,0.2,0.34284,-0.2,-10.416347,-10.273507
80,70,78,69,9318,147,22.38,0.5306,1.295847,1.0,7093.9437,0.5306,1.0,48.25812,0.6,0.2,0.2,0.31836,-0.2,-9.651624,-9.533264
80,75,76,71,8453,147,22.38,0.517,1.176275,1.0,6435.9859,0.517,1.0,43.782217,0.6,0.2,0.2,0.3102,-0.2,-8.756443,-8.646243
80,80,66,81,7486,147,22.38,0.449,1.041532,1.0,5697.0781,0.449,1.0,38.755633,0.6,0.2,0.2,0.2694,-0.2,-7.751127,-7.681727
80,85,60,87,6385,147,22.38,0.4082,0.88886,0.88886,4867.3678,0.4082,0.88886,33.111346,0.6,0.2,0.2,0.24492,-0.177772,-6.622269,-6.555121
80,90,51,96,5025,147,22.38,0.3469,0.700055,0.700055,3848.34,0.3469,0.700055,26.179184,0.6,0.2,0.2,0.20814,-0.140011,-5.235837,-5.167708
85,50,72,75,9657,147,22.38,0.4898,1.341772,1.0,7323.6447,0.4898,1.0,49.820712,0.6,0.2,0.2,0.29388,-0.2,-9.964142,-9.870262
85,55,72,75,9145,147,22.38,0.4898,1.27116,1.0,6933.3571,0.4898,1.0,47.165695,0.6,0.2,0.2,0.29388,-0.2,-9.433139,-9.339259
85,60,72,75,8703,147,22.38,0.4898,1.210202,1.0,6610.6353,0.4898,1.0,44.970308,0.6,0.2,0.2,0.29388,-0.2,-8.994062,-8.900182
85,65,71,76,8190,147,22.38,0.483,1.139313,1.0,6229.5538,0.483,1.0,42.377917,0.6,0.2,0.2,0.2898,-0.2,-8.475583,-8.385783
85,70,66,81,7571,147,22.38,0.449,1.053255,1.0,5764.7773,0.449,1.0,39.216172,0.6,0.2,0.2,0.2694,-0.2,-7.843234,-7.773834
85,75,66,81,6903,147,22.38,0.449,0.961128,0.961128,5260.6375,0.449,0.961128,35.78665,0.6,0.2,0.2,0.2694,-0.192226,-7.15733,-7.080155
85,80,56,91,6129,147,22.38,0.381,0.853002,0.853002,4665.899,0.381,0.853002,31.74081,0.6,0.2,0.2,0.2286,-0.1706,-6.348162,-6.290162
85,85,51,96,5311,147,22.38,0.3469,0.739499,0.739499,4061.7555,0.3469,0.739499,27.63099,0.6,0.2,0.2,0.20814,-0.1479,-5.526198,-5.465958
85,90,45,102,4145,147,22.38,0.3061,0.577863,0.577863,3178.9734,0.3061,0.577863,21.625669,0.6,0.2,0.2,0.18366,-0.115573,-4.325134,-4.257046
90,50,53,94,6978,147,22.38,0.3605,0.969678,0.969678,5291.0486,0.3605,0.969678,35.993528,0.6,0.2,0.2,0.2163,-0.193936,-7.198706,-7.176341
90,55,53,94,6627,147,22.38,0.3605,0.92127,0.92127,5028.0493,0.3605,0.92127,34.204417,0.6,0.2,0.2,0.2163,-0.184254,-6.840883,-6.808837
90,60,52,95,6269,147,22.38,0.3537,0.871759,0.871759,4758.7884,0.3537,0.871759,32.37271,0.6,0.2,0.2,0.21222,-0.174352,-6.474542,-6.436674
90,65,49,98,5928,147,22.38,0.3333,0.824316,0.824316,4509.5953,0.3333,0.824316,30.677519,0.6,0.2,0.2,0.19998,-0.164863,-6.135504,-6.100387
90,70,46,101,5446,147,22.38,0.3129,0.757428,0.757428,4142.7139,0.3129,0.757428,28.181727,0.6,0.2,0.2,0.18774,-0.151486,-5.636345,-5.600091
90,75,46,101,5009,147,22.38,0.3129,0.697159,0.697159,3820.5983,0.3129,0.697159,25.990465,0.6,0.2,0.2,0.18774,-0.139432,-5.198093,-5.149785
90,80,42,105,4530,147,22.38,0.2857,0.630546,0.630546,3462.9123,0.2857,0.630546,23.557227,0.6,0.2,0.2,0.17142,-0.126109,-4.711445,-4.666135
90,85,38,109,3928,147,22.38,0.2585,0.54697,0.54697,3015.8326,0.2585,0.54697,20.515868,0.6,0.2,0.2,0.1551,-0.109394,-4.103174,-4.057468
90,90,35,112,3069,147,22.38,0.2381,0.428087,0.428087,2364.1803,0.2381,0.428087,16.082859,0.6,0.2,0.2,0.14286,-0.085617,-3.216572,-3.159329
