hs_percentile,ssh_percentile,H,M,U,P,Y,R_pos,B_raw,B,F_soft,term_recall_raw,term_burden_raw,term_fsoft_raw,w1,w2,w3,term_recall_weighted,term_burden_weighted,term_fsoft_weighted,Score
50,50,114,33,19409,147,22.38,0.7755,2.692509,1.0,14628.251,0.7755,1.0,99.511912,0.6,0.2,0.2,0.4653,-0.2,-19.902382,-19.637082
50,55,113,34,18583,147,22.38,0.7687,2.578453,1.0,14016.4615,0.7687,1.0,95.350078,0.6,0.2,0.2,0.46122,-0.2,-19.070016,-18.808796
50,60,112,35,17802,147,22.38,0.7619,2.470604,1.0,13437.3552,0.7619,1.0,91.41058,0.6,0.2,0.2,0.45714,-0.2,-18.282116,-18.024976
50,65,110,37,16766,147,22.38,0.7483,2.327449,1.0,12653.5798,0.7483,1.0,86.078774,0.6,0.2,0.2,0.44898,-0.2,-17.215755,-16.966775
50,70,105,42,15567,147,22.38,0.7143,2.161399,1.0,11760.0439,0.7143,1.0,80.000299,0.6,0.2,0.2,0.42858,-0.2,-16.00006,-15.77148
50,75,99,48,14216,147,22.38,0.6735,1.974249,1.0,10759.3071,0.6735,1.0,73.192565,0.6,0.2,0.2,0.4041,-0.2,-14.638513,-14.434413
50,80,92,55,12484,147,22.38,0.6259,1.734415,1.0,9446.3765,0.6259,1.0,64.261065,0.6,0.2,0.2,0.37554,-0.2,-12.852213,-12.676673
50,85,88,59,10507,147,22.38,0.5986,1.461206,1.0,7954.2872,0.5986,1.0,54.110797,0.6,0.2,0.2,0.35916,-0.2,-10.822159,-10.662999
50,90,80,67,8077,147,22.38,0.5442,1.12497,1.0,6118.0661,0.5442,1.0,41.619497,0.6,0.2,0.2,0.32652,-0.2,-8.323899,-8.197379
55,50,110,37,19018,147,22.38,0.7483,2.638033,1.0,14373.4057,0.7483,1.0,97.77827,0.6,0.2,0.2,0.44898,-0.2,-19.555654,-19.306674
55,55,108,39,18073,147,22.38,0.7347,2.507427,1.0,13655.1601,0.7347,1.0,92.892246,0.6,0.2,0.2,0.44082,-0.2,-18.578449,-18.337629
55,60,107,40,17304,147,22.38,0.7279,2.401233,1.0,13089.0136,0.7279,1.0,89.040909,0.6,0.2,0.2,0.43674,-0.2,-17.808182,-17.571442
55,65,104,43,16302,147,22.38,0.7075,2.262629,1.0,12338.0867,0.7075,1.0,83.932563,0.6,0.2,0.2,0.4245,-0.2,-16.786513,-16.562013
55,70,99,48,15106,147,22.38,0.6735,2.096993,1.0,11448.3438,0.6735,1.0,77.87989,0.6,0.2,0.2,0.4041,-0.2,-15.575978,-15.371878
