municipality,date,source,near_match_flag
Tijucas,2002-09-02,expanded,False
Tijucas,2003-05-25,expanded,False
Florianópolis,2005-08-09,expanded,False
Tijucas,2006-06-27,expanded,False
Florianópolis,2010-05-26,expanded,False
Tijucas,2010-11-01,expanded,False
Tijucas,2011-10-26,expanded,False
Florianópolis,2013-09-26,expanded,False
Florianópolis,2014-08-27,expanded,False
Florianópolis,2015-03-22,expanded,False
Palhoça,2015-03-22,expanded,False
Florianópolis,2015-06-19,expanded,False
Florianópolis,2015-09-11,expanded,False
Palhoça,2015-09-11,expanded,False
Balneário Camboriú,2015-09-28,expanded,False
Itajaí,2015-10-17,expanded,False
Florianópolis,2016-05-18,expanded,False
Itajaí,2016-05-23,expanded,False
Florianópolis,2016-06-05,expanded,False
Florianópolis,2016-07-18,expanded,False
Porto Belo,2016-08-17,expanded,False
Tijucas,2016-08-17,expanded,False
Balneário Camboriú,2016-09-15,expanded,False
Biguaçu,2016-09-15,expanded,False
Bombinhas,2016-09-15,expanded,False
Itajaí,2016-09-15,expanded,False
Palhoça,2016-09-15,expanded,False
Tijucas,2016-09-15,expanded,False
Balneário Camboriú,2016-10-28,expanded,False
Florianópolis,2016-10-28,expanded,False
São Francisco do Sul,2016-10-28,expanded,False
Florianópolis,2017-05-25,expanded,True
Florianópolis,2017-05-30,expanded,False
Balneário Camboriú,2017-08-21,expanded,False
Itajaí,2017-08-21,expanded,False
Balneário Camboriú,2018-06-14,expanded,False
Florianópolis,2018-06-14,expanded,False
Itajaí,2018-06-14,expanded,False
Florianópolis,2018-06-26,expanded,False
Bombinhas,2018-08-10,expanded,False
Florianópolis,2018-08-10,expanded,False
Itajaí,2018-08-10,expanded,False
Florianópolis,2018-08-14,expanded,False
Balneário Camboriú,2018-08-26,expanded,False
Florianópolis,2018-08-26,expanded,False
Florianópolis,2019-07-02,expanded,False
Itajaí,2019-07-02,expanded,False
Balneário Camboriú,2019-07-04,expanded,False
Joinville,2019-07-04,expanded,False
Florianópolis,2019-08-03,expanded,False
Balneário Camboriú,2019-08-14,expanded,False
Barra Velha,2020-04-03,expanded,False
Imbituba,2020-04-03,expanded,False
Laguna,2020-04-03,expanded,False
Passo de Torres,2020-04-03,expanded,False
Florianópolis,2020-04-06,expanded,True
São Francisco do Sul,1998-02-15,legacy,False
Balneário Piçarras,1998-09-19,legacy,False
Itapoá,2000-08-10,legacy,False
Balneário Camboriú,2001-05-05,legacy,False
Itapoá,2001-05-05,legacy,False
Bombinhas,2001-05-06,legacy,False
Navegantes,2001-05-06,legacy,False
Balneário Barra do Sul,2001-05-06,legacy,False
Barra Velha,2001-05-06,legacy,False
Barra Velha,2001-05-22,legacy,False
Balneário Camboriú,2002-09-21,legacy,False
Içara/Balneário Rincão,2004-03-27,legacy,False
Florianópolis,2004-03-28,legacy,False
Araranguá,2004-03-28,legacy,False
Balneário Arroio do Silva,2004-03-28,legacy,False
Balneário Gaivota,2004-03-28,legacy,False
Passo de Torres,2004-03-28,legacy,False
Itajaí,2005-08-08,legacy,False
Palhoça,2005-08-09,legacy,False
Bombinhas,2005-08-09,legacy,False
Barra Velha,2005-08-09,legacy,False
Itajaí,2006-04-24,legacy,False
Florianópolis,2010-05-13,legacy,False
Barra Velha,2010-05-13,legacy,False
Balneário Barra do Sul,2010-05-28,legacy,False
Navegantes,2010-06-01,legacy,False
Garopaba,2010-06-09,legacy,False
Florianópolis,2010-06-24,legacy,False
Florianópolis,2010-07-16,legacy,False
Balneário Piçarras,2010-09-23,legacy,False
Bombinhas,2010-09-28,legacy,False
Balneário Piçarras,2011-01-23,legacy,False
Navegantes,2011-05-03,legacy,False
Barra Velha,2011-05-29,legacy,False
Penha,2011-06-04,legacy,False
Balneário Barra do Sul,2012-01-27,legacy,False
Balneário Barra do Sul,2015-07-27,legacy,False
Balneário Barra do Sul,2015-08-18,legacy,False
Balneário Barra do Sul,2016-07-01,legacy,False
Florianópolis,2016-09-15,legacy,False
Porto Belo,2016-09-15,legacy,False
Balneário Barra do Sul,2016-12-12,legacy,False
Balneário Barra do Sul,2017-03-25,legacy,False
Balneário Barra do Sul,2017-05-02,legacy,False
Balneário Barra do Sul,2017-05-21,legacy,False
Florianópolis,2017-05-22,legacy,True
Barra Velha,2017-05-22,legacy,False
Itapoá,2017-08-15,legacy,False
