label,alpha_E,alpha_I,alpha_C,thr_hs_pct,thr_ssh_pct,H,U,R_pos,B,F_soft,Score
evidence_heavy,0.7,0.2,0.1,0.9,0.9,35.0,3069.0,0.2381,0.4281,2534.7387,-3.391384
intensity_moderate,0.5,0.4,0.1,0.9,0.9,35.0,3069.0,0.2381,0.4281,2193.5939,-2.927242
default,0.6,0.3,0.1,0.9,0.9,35.0,3069.0,0.2381,0.4281,2364.179,-3.15933
