event_idx,disaster_id,municipality,date,captured,peak_hs_causal,peak_ssh_causal,thr_hs,thr_ssh,source,coastal_sector
0,1,Tijucas,2002-09-02,False,1.309999942779541,0.8106639683246613,1.6399999856948853,0.6637062728404999,expanded,Central
1,2,Tijucas,2003-05-25,False,1.2899999618530273,0.6660841852426529,1.6399999856948853,0.6637062728404999,expanded,Central
2,3,Florianópolis,2005-08-09,True,3.879999876022339,0.5961351990699768,1.899999976158142,0.5721239119768143,expanded,Central
3,4,Tijucas,2006-06-27,True,1.7300000190734863,0.7421226799488068,1.6399999856948853,0.6637062728404999,expanded,Central
4,5,Florianópolis,2010-05-26,False,2.419999837875366,0.45100897550582886,1.899999976158142,0.5721239119768143,expanded,Central
5,6,Tijucas,2010-11-01,False,1.5699999332427979,0.7210783660411835,1.6399999856948853,0.6637062728404999,expanded,Central
6,7,Tijucas,2011-10-26,False,1.7300000190734863,0.7921566367149353,1.6399999856948853,0.6637062728404999,expanded,Central
7,8,Florianópolis,2013-09-26,False,2.7899999618530273,0.5189996659755707,1.899999976158142,0.5721239119768143,expanded,Central
8,9,Florianópolis,2014-08-27,False,1.3700000047683716,0.8834497630596161,1.899999976158142,0.5721239119768143,expanded,Central
9,10,Florianópolis,2015-03-22,False,1.649999976158142,0.7441530823707581,1.899999976158142,0.5721239119768143,expanded,Central
10,11,Palhoça,2015-03-22,False,1.649999976158142,0.7441530823707581,1.899999976158142,0.5721239119768143,expanded,Central
11,12,Florianópolis,2015-06-19,True,2.180000066757202,0.7654739320278168,1.899999976158142,0.5721239119768143,expanded,Central
12,13,Florianópolis,2015-09-11,False,1.7599999904632568,0.7500082850456238,1.899999976158142,0.5721239119768143,expanded,Central
13,14,Palhoça,2015-09-11,False,1.7599999904632568,0.7500082850456238,1.899999976158142,0.5721239119768143,expanded,Central
14,15,Balneário Camboriú,2015-09-28,False,1.7400000095367432,0.7489532828330994,1.8199999332427979,0.7012333750724793,expanded,Central-north
15,16,Itajaí,2015-10-17,False,1.5399999618530273,0.7884632349014282,1.8199999332427979,0.7012333750724793,expanded,Central-north
16,17,Florianópolis,2016-05-18,True,2.0399999618530273,0.7840819954872131,1.899999976158142,0.5721239119768143,expanded,Central
17,18,Itajaí,2016-05-23,False,1.5,0.8358569443225861,1.8199999332427979,0.7012333750724793,expanded,Central-north
18,19,Florianópolis,2016-06-05,False,1.149999976158142,0.6315266489982605,1.899999976158142,0.5721239119768143,expanded,Central
19,20,Florianópolis,2016-07-18,False,1.7400000095367432,0.8209073841571808,1.899999976158142,0.5721239119768143,expanded,Central
20,21,Porto Belo,2016-08-17,False,1.0699999332427979,0.6813821643590927,1.6399999856948853,0.6637062728404999,expanded,Central-north
21,22,Tijucas,2016-08-17,False,1.0699999332427979,0.6813821643590927,1.6399999856948853,0.6637062728404999,expanded,Central
22,23,Balneário Camboriú,2016-09-15,False,1.8499999046325684,1.1611790657043457,1.8199999332427979,0.7012333750724793,expanded,Central-north
23,24,Biguaçu,2016-09-15,False,1.4199999570846558,1.0708127617835999,1.5,0.6278942435979844,expanded,Central
24,25,Bombinhas,2016-09-15,False,1.5999999046325684,1.1153669953346252,1.6399999856948853,0.6637062728404999,expanded,Central-north
25,26,Itajaí,2016-09-15,False,1.8499999046325684,1.1611790657043457,1.8199999332427979,0.7012333750724793,expanded,Central-north
26,27,Palhoça,2016-09-15,False,1.7699999809265137,1.0374670028686523,1.899999976158142,0.5721239119768143,expanded,Central
27,28,Tijucas,2016-09-15,False,1.5999999046325684,1.1153669953346252,1.6399999856948853,0.6637062728404999,expanded,Central
28,29,Balneário Camboriú,2016-10-28,False,2.450000047683716,1.1827972531318665,1.8199999332427979,0.7012333750724793,expanded,Central-north
29,30,Florianópolis,2016-10-28,True,2.3999998569488525,0.9775843322277069,1.899999976158142,0.5721239119768143,expanded,Central
30,31,São Francisco do Sul,2016-10-28,True,1.75,1.4333715438842773,1.3399999141693115,0.8872952967882158,expanded,North
31,32,Florianópolis,2017-05-25,False,2.299999952316284,0.4387684650719166,1.899999976158142,0.5721239119768143,expanded,Central
32,33,Florianópolis,2017-05-30,False,1.7300000190734863,0.5338883101940155,1.899999976158142,0.5721239119768143,expanded,Central
33,34,Balneário Camboriú,2017-08-21,True,2.009999990463257,0.8703059554100037,1.8199999332427979,0.7012333750724793,expanded,Central-north
34,35,Itajaí,2017-08-21,True,2.009999990463257,0.8703059554100037,1.8199999332427979,0.7012333750724793,expanded,Central-north
35,36,Balneário Camboriú,2018-06-14,False,1.4299999475479126,0.9330425560474396,1.8199999332427979,0.7012333750724793,expanded,Central-north
36,37,Florianópolis,2018-06-14,False,1.8899999856948853,0.7718370258808136,1.899999976158142,0.5721239119768143,expanded,Central
37,38,Itajaí,2018-06-14,False,1.4299999475479126,0.9330425560474396,1.8199999332427979,0.7012333750724793,expanded,Central-north
38,39,Florianópolis,2018-06-26,False,1.409999966621399,0.7902628481388092,1.899999976158142,0.5721239119768143,expanded,Central
39,40,Bombinhas,2018-08-10,False,1.0199999809265137,0.9881293773651123,1.6399999856948853,0.6637062728404999,expanded,Central-north
40,41,Florianópolis,2018-08-10,False,1.5799999237060547,0.8809470534324646,1.899999976158142,0.5721239119768143,expanded,Central
41,42,Itajaí,2018-08-10,False,1.209999918937683,1.0210403203964233,1.8199999332427979,0.7012333750724793,expanded,Central-north
42,43,Florianópolis,2018-08-14,False,1.71999990940094,0.5546146333217621,1.899999976158142,0.5721239119768143,expanded,Central
43,44,Balneário Camboriú,2018-08-26,False,1.7599999904632568,1.0120423138141632,1.8199999332427979,0.7012333750724793,expanded,Central-north
44,45,Florianópolis,2018-08-26,True,2.2899999618530273,0.8529301583766937,1.899999976158142,0.5721239119768143,expanded,Central
45,46,Florianópolis,2019-07-02,False,1.3899999856948853,0.6966040730476379,1.899999976158142,0.5721239119768143,expanded,Central
46,47,Itajaí,2019-07-02,False,1.309999942779541,0.8303483724594116,1.8199999332427979,0.7012333750724793,expanded,Central-north
47,48,Balneário Camboriú,2019-07-04,False,1.1699999570846558,1.0047052800655365,1.8199999332427979,0.7012333750724793,expanded,Central-north
48,49,Joinville,2019-07-04,False,1.059999942779541,1.1351898312568665,1.6899999380111694,0.8045958518981935,expanded,North
49,50,Florianópolis,2019-08-03,False,2.3399999141693115,0.8444976806640625,1.899999976158142,0.5721239119768143,expanded,Central
50,51,Balneário Camboriú,2019-08-14,True,2.3399999141693115,0.9852189123630524,1.8199999332427979,0.7012333750724793,expanded,Central-north
51,52,Barra Velha,2020-04-03,False,1.2899999618530273,1.1858673095703125,1.6899999380111694,0.8045958518981935,expanded,North
52,53,Imbituba,2020-04-03,True,3.1399998664855957,0.9261727035045624,2.1399998664855957,0.5274001717567445,expanded,Central-south
53,54,Laguna,2020-04-03,True,4.369999885559082,0.8795941472053528,2.450000047683716,0.5160354703664781,expanded,Central-south
54,55,Passo de Torres,2020-04-03,True,3.990000009536743,0.8424278497695923,2.3479999065399277,0.5269441217184067,expanded,South
55,56,Florianópolis,2020-04-06,True,2.549999952316284,1.0068065226078033,1.899999976158142,0.5721239119768143,expanded,Central
56,57,São Francisco do Sul,1998-02-15,False,1.6399999856948853,0.9467886686325073,1.3399999141693115,0.8872952967882158,legacy,North
57,58,Balneário Piçarras,1998-09-19,True,2.6599998474121094,0.8253957033157349,1.6899999380111694,0.8045958518981935,legacy,Central-north
58,59,Itapoá,2000-08-10,False,1.2699999809265137,0.7755573987960815,1.3399999141693115,0.8872952967882158,legacy,North
