episode_id,municipality,date_start,date_end,hs_peak,ssh_peak,n_days,E_i,I_i,C_season,C_multi,C_exposure,C_i,alpha_E,alpha_I,alpha_C,contrib_E,contrib_I,contrib_C,q_i_raw,q_i,penalty_component
hs90_ssh90_BIG_20030317,Biguaçu,2003-03-17,2003-03-17,1.5,0.6479160860180855,1,0,0.0961,0,0,0,0.0,0.6,0.3,0.1,0.0,0.0288,0.0,0.0288,0.0288,0.9712
hs90_ssh90_FLO_20190203,Florianópolis,2019-02-03,2019-02-03,1.909999966621399,0.58400958776474,1,0,0.0787,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.0236,0.0333,0.0569,0.0569,0.9431
hs90_ssh90_PAL_20190203,Palhoça,2019-02-03,2019-02-03,1.909999966621399,0.58400958776474,1,0,0.0787,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.0236,0.0333,0.0569,0.0569,0.9431
hs90_ssh90_PAS_20030322,Passo de Torres,2003-03-22,2003-03-22,2.4099998474121094,0.5315240770578384,1,0,0.0994,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.0298,0.0333,0.0632,0.0632,0.9368
hs90_ssh90_BAL_20111225,Balneário Gaivota,2011-12-25,2011-12-25,2.5,0.5325479358434677,1,0,0.1011,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.0303,0.0333,0.0637,0.0636,0.9364
hs90_ssh90_BAL_20111225,Balneário Rincão,2011-12-25,2011-12-25,2.559999942779541,0.5145697593688965,1,0,0.1085,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.0325,0.0333,0.0659,0.0659,0.9341
hs90_ssh90_IÇA_20111225,Içara/Balneário Rincão,2011-12-25,2011-12-25,2.559999942779541,0.5145697593688965,1,0,0.1085,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.0325,0.0333,0.0659,0.0659,0.9341
hs90_ssh90_LAG_20050323,Laguna,2005-03-23,2005-03-23,2.4800000190734863,0.5357610583305359,1,0,0.116,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.0348,0.0333,0.0681,0.0681,0.9319
hs90_ssh90_BAL_20191213,Balneário Piçarras,2019-12-13,2019-12-13,1.7300000190734863,0.8158462792634964,1,0,0.1201,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.036,0.0333,0.0694,0.0694,0.9306
hs90_ssh90_JOI_20191213,Joinville,2019-12-13,2019-12-13,1.7300000190734863,0.8158462792634964,1,0,0.1201,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.036,0.0333,0.0694,0.0694,0.9306
hs90_ssh90_PEN_20191213,Penha,2019-12-13,2019-12-13,1.7300000190734863,0.8158462792634964,1,0,0.1201,0,1,0,0.3333,0.6,0.3,0.1,0.0,0.036,0.0333,0.0694,0.0694,0.9306
hs90_ssh90_ARA_20180414,Araranguá,2018-04-14,2018-04-14,2.119999885559082,0.5521611273288727,1,0,0.0164,1,1,0,0.6667,0.6,0.3,0.1,0.0,0.0049,0.0667,0.0716,0.0716,0.9284
