b_target_per_muni,n_municipalities,b_target_total,Score,R_pos,B,F_soft,H,U,thr_hs_pct,thr_ssh_pct,hs_percentile,ssh_percentile
6.0,27,162.0,-3.24495,0.2381,0.8562,2364.1803,35.0,3069.0,0.9,0.9,90,90
12.0,27,324.0,-3.159332,0.2381,0.4281,2364.1803,35.0,3069.0,0.9,0.9,90,90
18.0,27,486.0,-3.130793,0.2381,0.2854,2364.1803,35.0,3069.0,0.9,0.9,90,90
24.0,27,648.0,-3.116523,0.2381,0.214,2364.1803,35.0,3069.0,0.9,0.9,90,90
