label,w1,w2,w3,thr_hs_pct,thr_ssh_pct,H,U,R_pos,B,F_soft,Score
high_recall,0.7,0.15,0.15,0.9,0.9,35.0,3069.0,0.2381,0.4281,2364.1803,-2.309975
balanced,0.5,0.25,0.25,0.9,0.9,35.0,3069.0,0.2381,0.4281,2364.1803,-4.008689
default,0.6,0.2,0.2,0.9,0.9,35.0,3069.0,0.2381,0.4281,2364.1803,-3.159332
