thr_hs_pct,thr_ssh_pct,H,M,U,R_pos,B,F_soft,Score
0.7,0.75,83,64,11036,0.5646,1.0,8388.0689,-11.273563
0.7,0.8,78,69,9707,0.5306,1.0,7375.9653,-9.91696
0.7,0.85,74,73,8197,0.5034,1.0,6237.823,-8.384793
0.7,0.9,66,81,6359,0.449,0.8861,4851.7865,-6.508903
0.75,0.5,90,57,13831,0.6122,1.0,10480.804,-14.09225
0.75,0.55,89,58,13076,0.6054,1.0,9905.9622,-13.314234
0.75,0.6,89,58,12445,0.6054,1.0,9438.6414,-12.678424
0.75,0.65,87,60,11703,0.5918,1.0,8887.5833,-11.936848
0.75,0.7,81,66,10782,0.551,1.0,8191.7405,-11.014613
0.75,0.75,78,69,9791,0.5306,1.0,7442.3785,-10.007318
0.75,0.8,69,78,8660,0.4694,1.0,6584.8171,-8.877302
0.75,0.85,65,82,7345,0.4422,1.0,5592.6459,-7.543736
0.75,0.9,58,89,5738,0.3946,0.7994,4384.1694,-5.887992
0.8,0.5,87,60,11980,0.5918,1.0,9095.3734,-12.219556
0.8,0.55,86,61,11293,0.585,1.0,8563.6518,-11.500207
0.8,0.6,86,61,10742,0.585,1.0,8159.6601,-10.950558
0.8,0.65,84,63,10071,0.5714,1.0,7656.0153,-10.27349
0.8,0.7,78,69,9318,0.5306,1.0,7093.9437,-9.533257
0.8,0.75,76,71,8453,0.517,1.0,6435.9859,-8.646239
0.8,0.8,66,81,7486,0.449,1.0,5697.0781,-7.681739
0.8,0.85,60,87,6385,0.4082,0.8889,4867.3678,-6.555143
0.8,0.9,51,96,5025,0.3469,0.7001,3848.34,-5.167684
0.85,0.5,72,75,9657,0.4898,1.0,7323.6447,-9.870265
0.85,0.55,72,75,9145,0.4898,1.0,6933.3571,-9.339261
0.85,0.6,72,75,8703,0.4898,1.0,6610.6353,-8.900184
0.85,0.65,71,76,8190,0.483,1.0,6229.5538,-8.385787
0.85,0.7,66,81,7571,0.449,1.0,5764.7773,-7.773847
0.85,0.75,66,81,6903,0.449,0.9611,5260.6375,-7.080168
0.85,0.8,56,91,6129,0.381,0.853,4665.899,-6.290191
0.85,0.85,51,96,5311,0.3469,0.7395,4061.7555,-5.465934
