municipality,date,source,near_match_flag,source_expanded,source_legacy,source_class
Garopaba,2010-06-09,legacy,False,False,True,legacy_only
Florianópolis,2010-06-24,legacy,False,False,True,legacy_only
Florianópolis,2010-07-16,legacy,False,False,True,legacy_only
Balneário Piçarras,2010-09-23,legacy,False,False,True,legacy_only
Bombinhas,2010-09-28,legacy,False,False,True,legacy_only
Balneário Piçarras,2011-01-23,legacy,False,False,True,legacy_only
Navegantes,2011-05-03,legacy,False,False,True,legacy_only
Barra Velha,2011-05-29,legacy,False,False,True,legacy_only
Penha,2011-06-04,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2012-01-27,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2015-07-27,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2015-08-18,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2016-07-01,legacy,False,False,True,legacy_only
Florianópolis,2016-09-15,legacy,False,False,True,legacy_only
Porto Belo,2016-09-15,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2016-12-12,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2017-03-25,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2017-05-02,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2017-05-21,legacy,False,False,True,legacy_only
Florianópolis,2017-05-22,legacy,True,False,True,legacy_only
Barra Velha,2017-05-22,legacy,False,False,True,legacy_only
Itapoá,2017-08-15,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2017-08-26,legacy,False,False,True,legacy_only
Navegantes,2017-09-07,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2017-09-09,legacy,False,False,True,legacy_only
Florianópolis,2017-09-13,legacy,False,False,True,legacy_only
Barra Velha,2017-09-13,legacy,False,False,True,legacy_only
Navegantes,2017-09-16,legacy,False,False,True,legacy_only
Balneário Barra do Sul,2017-09-18,legacy,False,False,True,legacy_only
Itapema,2017-09-30,legacy,False,False,True,legacy_only
Garopaba,2017-10-01,legacy,False,False,True,legacy_only
