municipality_code,municipality_name,state,pop_municipality,dom_municipality,pop_1km,dom_1km,pop_2km,dom_2km,pop_5km,dom_5km,pop_10km,dom_10km
3541000,Praia Grande,SP,349895,130177,66212,28480,177267,71769,349664,130087,349895,130177
3518701,Guarujá,SP,287487,99506,182179,64408,242044,84485,287487,99506,287487,99506
3506359,Bertioga,SP,64183,22796,15025,5575,38223,13820,63877,22696,64183,22796
3550704,São Sebastião,SP,81344,28928,20703,7824,59931,21676,81259,28893,81344,28928
3520400,Ilhabela,SP,34612,12621,17255,6363,30202,11094,34503,12578,34612,12621
3510500,Caraguatatuba,SP,134675,48661,44598,17387,99676,36944,133753,48510,134661,48654
3555406,Ubatuba,SP,92691,33959,8985,3322,24498,9050,73234,27198,92676,33953
3303807,Paraty,RJ,44399,15927,8694,3068,26228,9397,38410,13733,44292,15887
3300100,Angra dos Reis,RJ,166050,61640,68635,26243,131516,49199,164768,61161,166027,61630
3302601,Mangaratiba,RJ,39932,15246,29124,11066,36305,13885,38141,14591,39932,15246
3304557,Rio de Janeiro,RJ,6193495,2433368,481291,209053,962780,414748,2327918,957195,4374900,1757947
3303302,Niterói,RJ,480647,194218,214927,90074,308843,127512,450008,182397,480647,194218
3302700,Maricá,RJ,197166,73495,19225,7343,56200,20967,108945,40246,194972,72699
3305505,Saquarema,RJ,89580,34188,17621,7065,26414,10372,51673,19941,87708,33490
3300209,Araruama,RJ,129723,48222,440,182,3565,1391,6911,2711,81680,30887
3300258,Arraial do Cabo,RJ,30935,11530,20819,7816,28080,10413,30935,11530,30935,11530
3300704,Cabo Frio,RJ,221296,81809,66267,25964,140724,53197,214939,79600,220886,81671
3300233,Armação dos Búzios,RJ,39919,14954,19272,7450,35661,13460,39919,14954,39919,14954
3301306,Casimiro de Abreu,RJ,46635,17104,13051,4927,16585,6140,22128,8111,22720,8318
3302403,Macaé,RJ,245856,92581,152959,58521,209054,78981,226574,85311,231563,87066
