rank,municipality_name,state,grid_lat,grid_lon,thr_hs_abs,hat_m,compound_count_total,Hazard_Index_mun,Risk_Hazard
1,São José do Norte,RS,-32.0,-51.8,1.2,0.50218,93,0.773697,0.566342
2,Guaraqueçaba,PR,-25.4,-48.0,1.47,0.972441,45,0.413473,0.505445
3,Magé,RJ,-23.0,-43.0,1.63,0.643499,56,0.626878,0.468027
4,Mangaratiba,RJ,-23.0,-44.0,0.78,0.752706,64,0.502832,0.444282
5,Paraty,RJ,-23.2,-44.4,1.42,0.671855,68,0.612684,0.440631
6,Guarujá,SP,-24.0,-46.2,1.46,0.749386,70,0.627085,0.438005
7,Balneário Gaivota,SC,-29.2,-49.4,1.99,0.449673,80,0.68944,0.434647
8,São Sebastião,SP,-23.8,-45.6,1.2,0.700519,76,0.714088,0.432443
9,Saquarema,RJ,-23.0,-42.6,1.8,0.643954,48,0.584224,0.430434
10,Passo de Torres,SC,-29.4,-49.6,1.89,0.44899,78,0.672289,0.429505
11,Maricá,RJ,-23.0,-42.8,1.74,0.641843,55,0.622428,0.426837
12,Rio Grande,RS,-32.4,-52.2,1.49,0.612179,81,0.655641,0.421935
13,Palmares do Sul,RS,-30.4,-50.2,1.7,0.412557,75,0.622038,0.418606
14,Arroio do Sal,RS,-29.6,-49.8,1.71,0.444409,80,0.65379,0.41496
15,Iguape,SP,-24.6,-47.2,1.56,0.864213,59,0.52218,0.408137
16,Bertioga,SP,-23.8,-45.8,1.35,0.716081,77,0.719189,0.406928
17,Arraial do Cabo,RJ,-23.0,-42.2,1.9,0.656045,43,0.538772,0.406446
18,Mostardas,RS,-31.0,-50.6,1.93,0.388655,80,0.70749,0.402897
19,Angra dos Reis,RJ,-23.2,-44.2,1.56,0.654414,64,0.631632,0.401956
20,Balneário Arroio do Silva,SC,-29.0,-49.4,1.71,0.449269,77,0.672039,0.395732
21,Guimarães,MA,-2.0,-44.4,0.86,2.759919,1,0.146401,0.393606
22,Alcântara,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.393562
23,Balneário Pinhal,RS,-30.2,-50.0,1.93,0.423298,83,0.662642,0.392858
24,São Francisco de Itabapoana,RJ,-21.6,-40.8,1.53,0.934757,22,0.219161,0.386642
